duplicate_item,duplicate_file,mode,classification,real_provider_target,composition_detail,notes
getEnterpriseIdentity,governed-knowledge-provider.ts,Brief,DIRECTLY_SUPPORTED,getEnterpriseBrief,"Project EnterpriseBriefV1.identity (EnterpriseIdentityV1) out of the single getEnterpriseBrief() envelope.","Field-level rename only (profileText/operatingStats -> identity/headlineMetrics). No new query needed."
listLenses,governed-knowledge-provider.ts,Brief,SUPPORTED_BY_COMPOSITION,"getEnterpriseBrief + exploreEntities","The real KnowledgeLens (6 generic cross-industry values) is not the airline-specific 9-lens taxonomy the UI needs. Assembler defines the 9 airline lenses statically and marks each 'resolved' by checking whether getEnterpriseBrief(lens) / exploreEntities(domainKey) actually return non-empty, non-withheld data for that lens's scope.","Lens resolution is an assembler concept layered on top of governed queries, not a provider method. See VIEW_MODEL_ASSEMBLER_INTERFACES.md lens table."
getStrategicView,governed-knowledge-provider.ts,Brief,DIRECTLY_SUPPORTED,getEnterpriseBrief,"EnterpriseBriefQuery already accepts `lens`; the returned EnterpriseBriefV1.interpretation is server-ranked for that lens. No second per-lens query exists or is needed.","Real contract only exposes ONE interpretation per brief call, not a per-lens array (see listAbarvaViews below)."
listAbarvaViews,governed-knowledge-provider.ts,Brief,MISSING_PROVIDER_QUERY,none,"EnterpriseBriefV1.interpretation is `AbarVaInterpretationV1 | null` (singular). There is no array of AbarVa interpretive cards across lenses/domains in the current TS projection shape, even though consumption.strategic_interpretation_v1's registry entry does not itself say 'singular'.","Real gap: widening EnterpriseBriefV1.interpretation to an array (or adding a dedicated multi-interpretation query) is data-plane/contract work, out of PR A scope. Assembler renders the one interpretation it has; do not fabricate additional cards."
listPurposeStatements,governed-knowledge-provider.ts,Brief,MISSING_CONSUMPTION_PROJECTION,none,n/a,"'operating_priority' / 'stated_ambition' statement types have no home in any of the 14 registered projections. executive_perspective_v1 is quote-shaped (LeadershipPerspectiveV1), not statement-shaped."
listGoals,governed-knowledge-provider.ts,Brief,MISSING_CONSUMPTION_PROJECTION,none,n/a,"Duplicate's own comment: 'Goal is not yet a ratified canonical object type.' Confirmed: no goal_v1 projection anywhere in the registry."
listLeadershipPerspectives,governed-knowledge-provider.ts,Brief,DIRECTLY_SUPPORTED,getEnterpriseBrief,"EnterpriseBriefV1.perspectives (LeadershipPerspectiveV1[]) is the real projection. Field reshaping only (who/meta -> attribution/role; evidenceSupports/evidenceChallenges/stillUncertain/ourReading -> evidenceStance.{supporting,challenging,uncertain} + a new 'our reading' field the real contract does not carry).","IMPORTANT: contract-capable != populated today. consumption-server/shape.ts::shapeEnterpriseBrief hardcodes perspectives:[] unconditionally; the real reader has no wired path to executive_perspective_v1 yet. See SOURCE_INCOMPLETE_COMPONENTS.md — this method is DIRECTLY_SUPPORTED at the contract level but resolves to SOURCE_INCOMPLETE at runtime today for airline-demo-new."
listIndustryBenchmarks,governed-knowledge-provider.ts,Brief,DIRECTLY_SUPPORTED,getEnterpriseBrief,"EnterpriseBriefV1.benchmarks filtered to contentClass==='industry_benchmark'.",""
listIndustryPatterns,governed-knowledge-provider.ts,Brief,DIRECTLY_SUPPORTED,getEnterpriseBrief,"Same BenchmarkV1[] array, filtered to contentClass==='industry_pattern'.","Real BenchmarkV1.contentClass union already includes both values; one query serves both duplicate methods."
listDecisionLanes,governed-knowledge-provider.ts,Brief,MISSING_CONSUMPTION_PROJECTION,none,n/a,"Duplicate's own comment: Fund/Resolve/Validate/Act lanes are 'a Decision-object-derived grouping (GAP-06's governance.decision)'. No decision/governance object exists in the registry or consumption-contracts."
listSources,governed-knowledge-provider.ts,Brief,SUPPORTED_BY_COMPOSITION,"getEnterpriseBrief + resolveEvidence(evidenceRefs)","Assembler aggregates the unique EvidenceDescriptor.sourceName/sourceType/sourceDate across every evidenceRef touched by the Brief (via runtime.resolveEvidence), de-duplicated into a source list.","No dedicated consumption.source_registry_summary_v1 projection exists in the 14-projection registry; this is an approximation, not a literal query. A future dedicated registry-of-sources projection would be a genuine product improvement but is not required to ship PR B."
getConditionSummary,governed-knowledge-provider.ts,Brief,SUPPORTED_BY_COMPOSITION,"getEnterpriseBrief + getEvidenceAndGaps","Condition tiles (e.g. 'Open proof gaps') combine EnterpriseBriefV1.domains[].evidenceCoverage/openGapCount with EvidenceGapResultV1.severityCounts.",""
listApplications,governed-knowledge-provider.ts,Explore,DIRECTLY_SUPPORTED,exploreEntities,"exploreEntities({domainKey:'technology'}) already returns EntitySummaryV1[] backed by consumption.application_inventory_v1.","Real projection IS registered and IS read by consumption-server/reader.ts. Foundation-closure record confirms 1,405 real rows for airline-demo-new."
listDataProducts,governed-knowledge-provider.ts,Explore,MISSING_PROVIDER_QUERY,none,n/a,"consumption.data_product_inventory_v1 is NOT one of the 14 names in CONSUMPTION_PROJECTION_REGISTRY.json, is NOT in the ProjectionName union in consumption-contracts/core.ts, and reader.ts's exploreEntities only unions application_inventory_v1 + vendor_contract_inventory_v1. YET clients/airline-demo-new/.../foundation-closure-authority-record-20260729.json reports 6,580 real rows already built at the DB layer under this exact table name. This is a genuine TS-contract/registry drift versus what the data-plane build already produces -- flagging for the data-plane lane, not fixing here."
listIntegrations,governed-knowledge-provider.ts,Explore,MISSING_CONSUMPTION_PROJECTION,none,n/a,"No integration-inventory table appears in the registry OR in the foundation-closure projection counts. No evidence this exists at any layer yet."
listInfrastructure,governed-knowledge-provider.ts,Explore,MISSING_PROVIDER_QUERY,none,n/a,"Same pattern as listDataProducts: consumption.technology_estate_v1 is NOT in the 14-projection registry or the reader, but the foundation-closure record reports 1,405 real rows already built under that name. Flagging for the data-plane lane."
listVendorContracts,governed-knowledge-provider.ts,Explore,DIRECTLY_SUPPORTED,exploreEntities,"exploreEntities({domainKey:'vendors'}) backed by consumption.vendor_contract_inventory_v1.","Registered projection, read by reader.ts, 420 real rows per foundation-closure record."
listPrograms,governed-knowledge-provider.ts,Explore,MISSING_CONSUMPTION_PROJECTION,none,n/a,"No program-inventory table in the registry or the foundation-closure projection counts."
listRisks,governed-knowledge-provider.ts,Explore,MISSING_CONSUMPTION_PROJECTION,none,n/a,"No risk-inventory table (distinct from evidence_gap_v1, which is a data-quality gap concept, not an operational-risk register) in the registry or the foundation-closure projection counts."
listMeasures,governed-knowledge-provider.ts,Explore,SUPPORTED_BY_COMPOSITION,"getEnterpriseBrief + exploreEntities","GovernedMetricValue instances already flow through EnterpriseBriefV1.headlineMetrics and EntityFieldValue[]; assembler can aggregate these into a Measures view. consumption.metric_observation_v1 IS a registered projection but has no dedicated UI-facing query method in the real 8, and reader.ts does not yet implement a read path for it.","Foundation-closure record shows metric_catalog_v1: 0 rows for airline-demo-new today -- composition is contract-capable but will render empty/PROJECTION_UNAVAILABLE until that projection is built."
listRelationshipPresets,governed-knowledge-provider.ts,Relationships,UI_VIEW_MODEL_ONLY,"getRelationships (for resolution check only)","Named focal-graph questions ('preset picker') are pure UI/operational config per the duplicate's own comment. Assembler defines the airline preset list statically and marks each 'resolved' by checking whether its focalNodeId appears in a real getRelationships() node set.",""
listRelationshipNodes,governed-knowledge-provider.ts,Relationships,DIRECTLY_SUPPORTED,getRelationships,"getRelationships(...).data.nodes (RelationshipNodeV1[]).",""
listRelationshipEdges,governed-knowledge-provider.ts,Relationships,DIRECTLY_SUPPORTED,getRelationships,"getRelationships(...).data.edges (RelationshipEdgeV1[]).",""
listRelationshipEdgeDetails,governed-knowledge-provider.ts,Relationships,SUPPORTED_BY_COMPOSITION,"getRelationships + getEvidenceAndGaps","'Extended' fields (relationshipTypeResolved, isGap, isConflict, isStale) are assembler-derived booleans computed from the real RelationshipEdgeV1.authorityState/availabilityState plus a cross-check against EvidenceGapResultV1 for isGap.",""
getRelationshipEvidence,governed-knowledge-provider.ts,Relationships,DIRECTLY_SUPPORTED,getRelationships,"RelationshipProjectionV1.evidenceByEdge[edgeId] (RelationshipEvidenceV1[], which extends EvidenceDescriptor) already carries this.",""
