kpi_id,kpi_name,domain,baseline_value,current_value,target_value,measurement_period,evidence_id,decision_relevance
MER-KPI-001,member first call resolution,operations,72%,75%,84%,2026-Q2,MER-EVID-001,Unified clinical + claims data
MER-KPI-002,prior auth turnaround hours,clinical,49 hrs,45 hrs,29 hrs,2026-Q2,MER-EVID-002,Data foundation for automation
MER-KPI-003,claims auto-adjudication rate,finance,$14M,$18M,$30M,2026-Q2,MER-EVID-003,Prior auth automation
MER-KPI-004,HEDIS gap closure rate,data,69%,72%,83%,2026-Q2,MER-EVID-004,Call center optimization
MER-KPI-005,STAR weighted measure score,operations,52 hrs,48 hrs,32 hrs,2026-Q2,MER-EVID-005,Provider quality performance
MER-KPI-006,cost-of-care PMPM variance,clinical,$17M,$21M,$33M,2026-Q2,MER-EVID-006,End-to-end cost transparency
MER-KPI-007,payment integrity recoveries,finance,66%,69%,81%,2026-Q2,MER-EVID-007,Payment integrity
MER-KPI-008,close cycle days,data,55 hrs,51 hrs,35 hrs,2026-Q2,MER-EVID-008,Automated close
MER-KPI-009,manual reconciliation hours,operations,$20M,$24M,$36M,2026-Q2,MER-EVID-009,Clinical productivity
MER-KPI-010,clinical inbox time saved,clinical,63%,66%,80%,2026-Q2,MER-EVID-010,Lakehouse migration dependency
MER-KPI-011,lakehouse certified data products,finance,58 hrs,54 hrs,38 hrs,2026-Q2,MER-EVID-011,Cost and quality benchmarking
MER-KPI-012,provider quality benchmark adoption,data,$23M,$27M,$39M,2026-Q2,MER-EVID-012,AI governance foundation
