record_type,record_id,label,source_dimension,evidence_ids,projection_status,safe_to_display,claim_basis
metric,meridian-health-08_spend_value-08_spend_value-row-1,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-1-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-2,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-2-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-3,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-3-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-4,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-4-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-5,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-5-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-6,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-6-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-7,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-7-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-8,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-8-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-9,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-9-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-10,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-10-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-11,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-11-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-12,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-12-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-13,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-13-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-14,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-14-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-15,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-15-evidence,v3_context_pack_ready,true,
metric,meridian-health-08_spend_value-08_spend_value-row-16,ai budget spend,08_spend_value,meridian-health-08_spend_value-08_spend_value-row-16-evidence,v3_context_pack_ready,true,
