week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W01,TEAM-MAINFRAME-LEGACY,0.19,672,14,22
2026-W01,TEAM-SAP-CORE,0.48,504,8,18
2026-W01,TEAM-ORDER-LEGACY,1.16,216,6,14
2026-W01,TEAM-STORE-TECH,2.04,120,4,11
2026-W01,TEAM-COMMERCE,8.15,36,3,12
2026-W01,TEAM-ORDER-MODERN,13.77,16,1.5,6
2026-W01,TEAM-CHECKOUT-DTC,17.56,8,1,4
2026-W01,TEAM-DTC-WEB,12.22,18,1.5,5
2026-W01,TEAM-MOBILE,0.58,336,4,9
2026-W01,TEAM-ML-COMMERCE,6.01,30,2,7
2026-W01,TEAM-DEMAND-PLANNING,1.75,120,4,11
2026-W01,TEAM-DATA-PLATFORM,4.66,36,2,8
2026-W01,TEAM-PLATFORM-OBS,3.49,24,2,6
2026-W01,TEAM-STORE-EDGE,0.39,336,6,13
