week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W01,TEAM-MAINFRAME-LEGACY,0.19,672,14,22
2026-W01,TEAM-SAP-CORE,0.48,504,8,18
2026-W01,TEAM-ORDER-LEGACY,1.16,216,6,14
2026-W01,TEAM-STORE-TECH,2.04,120,4,11
2026-W01,TEAM-COMMERCE,8.15,36,3,12
2026-W01,TEAM-ORDER-MODERN,13.77,16,1.5,6
2026-W01,TEAM-CHECKOUT-DTC,17.56,8,1,4
2026-W01,TEAM-DTC-WEB,12.22,18,1.5,5
2026-W01,TEAM-MOBILE,0.58,336,4,9
2026-W01,TEAM-ML-COMMERCE,6.01,30,2,7
2026-W01,TEAM-DEMAND-PLANNING,1.75,120,4,11
2026-W01,TEAM-DATA-PLATFORM,4.66,36,2,8
2026-W01,TEAM-PLATFORM-OBS,3.49,24,2,6
2026-W01,TEAM-STORE-EDGE,0.39,336,6,13
2026-W02,TEAM-MAINFRAME-LEGACY,0.20,665,14,22
2026-W02,TEAM-SAP-CORE,0.49,499,8,18
2026-W02,TEAM-ORDER-LEGACY,1.18,214,6,14
2026-W02,TEAM-STORE-TECH,2.07,119,4,11
2026-W02,TEAM-COMMERCE,8.27,36,3,12
2026-W02,TEAM-ORDER-MODERN,13.99,16,1.5,6
2026-W02,TEAM-CHECKOUT-DTC,17.83,8,1,4
2026-W02,TEAM-DTC-WEB,12.41,18,1.5,5
2026-W02,TEAM-MOBILE,0.59,333,4,9
2026-W02,TEAM-ML-COMMERCE,6.11,30,2,7
2026-W02,TEAM-DEMAND-PLANNING,1.77,119,4,11
2026-W02,TEAM-DATA-PLATFORM,4.73,36,2,8
2026-W02,TEAM-PLATFORM-OBS,3.55,24,2,6
2026-W02,TEAM-STORE-EDGE,0.39,333,6,13
2026-W03,TEAM-MAINFRAME-LEGACY,0.20,659,14,22
2026-W03,TEAM-SAP-CORE,0.50,494,8,18
2026-W03,TEAM-ORDER-LEGACY,1.20,212,6,14
2026-W03,TEAM-STORE-TECH,2.10,118,4,11
2026-W03,TEAM-COMMERCE,8.40,35,3,12
2026-W03,TEAM-ORDER-MODERN,14.20,16,1.5,6
2026-W03,TEAM-CHECKOUT-DTC,18.10,8,1,4
2026-W03,TEAM-DTC-WEB,12.60,18,1.5,5
2026-W03,TEAM-MOBILE,0.60,329,4,9
2026-W03,TEAM-ML-COMMERCE,6.20,29,2,7
2026-W03,TEAM-DEMAND-PLANNING,1.80,118,4,11
2026-W03,TEAM-DATA-PLATFORM,4.80,35,2,8
2026-W03,TEAM-PLATFORM-OBS,3.60,24,2,6
2026-W03,TEAM-STORE-EDGE,0.40,329,6,13
2026-W04,TEAM-MAINFRAME-LEGACY,0.20,652,14,22
2026-W04,TEAM-SAP-CORE,0.51,489,8,18
2026-W04,TEAM-ORDER-LEGACY,1.22,210,6,14
2026-W04,TEAM-STORE-TECH,2.13,116,4,11
2026-W04,TEAM-COMMERCE,8.53,35,3,12
2026-W04,TEAM-ORDER-MODERN,14.41,16,1.5,6
2026-W04,TEAM-CHECKOUT-DTC,18.37,8,1,4
2026-W04,TEAM-DTC-WEB,12.79,17,1.5,5
2026-W04,TEAM-MOBILE,0.61,326,4,9
2026-W04,TEAM-ML-COMMERCE,6.29,29,2,7
2026-W04,TEAM-DEMAND-PLANNING,1.83,116,4,11
2026-W04,TEAM-DATA-PLATFORM,4.87,35,2,8
2026-W04,TEAM-PLATFORM-OBS,3.65,23,2,6
2026-W04,TEAM-STORE-EDGE,0.41,326,6,13
2026-W05,TEAM-MAINFRAME-LEGACY,0.21,645,14,22
2026-W05,TEAM-SAP-CORE,0.52,484,8,18
2026-W05,TEAM-ORDER-LEGACY,1.24,207,6,14
2026-W05,TEAM-STORE-TECH,2.16,115,4,11
2026-W05,TEAM-COMMERCE,8.65,35,3,12
2026-W05,TEAM-ORDER-MODERN,14.63,15,1.5,6
2026-W05,TEAM-CHECKOUT-DTC,18.64,8,1,4
2026-W05,TEAM-DTC-WEB,12.98,17,1.5,5
2026-W05,TEAM-MOBILE,0.62,323,4,9
2026-W05,TEAM-ML-COMMERCE,6.39,29,2,7
2026-W05,TEAM-DEMAND-PLANNING,1.85,115,4,11
2026-W05,TEAM-DATA-PLATFORM,4.94,35,2,8
2026-W05,TEAM-PLATFORM-OBS,3.71,23,2,6
2026-W05,TEAM-STORE-EDGE,0.41,323,6,13
2026-W06,TEAM-MAINFRAME-LEGACY,0.21,638,14,22
2026-W06,TEAM-SAP-CORE,0.52,479,8,18
2026-W06,TEAM-ORDER-LEGACY,1.25,205,6,14
2026-W06,TEAM-STORE-TECH,2.19,114,4,11
2026-W06,TEAM-COMMERCE,8.78,34,3,12
2026-W06,TEAM-ORDER-MODERN,14.84,15,1.5,6
2026-W06,TEAM-CHECKOUT-DTC,18.91,8,1,4
2026-W06,TEAM-DTC-WEB,13.17,17,1.5,5
2026-W06,TEAM-MOBILE,0.63,319,4,9
2026-W06,TEAM-ML-COMMERCE,6.48,29,2,7
2026-W06,TEAM-DEMAND-PLANNING,1.88,114,4,11
2026-W06,TEAM-DATA-PLATFORM,5.02,34,2,8
2026-W06,TEAM-PLATFORM-OBS,3.76,23,2,6
2026-W06,TEAM-STORE-EDGE,0.42,319,6,13
