week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W06,TEAM-MAINFRAME-LEGACY,0.21,638,14,22
2026-W06,TEAM-SAP-CORE,0.52,479,8,18
2026-W06,TEAM-ORDER-LEGACY,1.25,205,6,14
2026-W06,TEAM-STORE-TECH,2.19,114,4,11
2026-W06,TEAM-COMMERCE,8.78,34,3,12
2026-W06,TEAM-ORDER-MODERN,14.84,15,1.5,6
2026-W06,TEAM-CHECKOUT-DTC,18.91,8,1,4
2026-W06,TEAM-DTC-WEB,13.17,17,1.5,5
2026-W06,TEAM-MOBILE,0.63,319,4,9
2026-W06,TEAM-ML-COMMERCE,6.48,29,2,7
2026-W06,TEAM-DEMAND-PLANNING,1.88,114,4,11
2026-W06,TEAM-DATA-PLATFORM,5.02,34,2,8
2026-W06,TEAM-PLATFORM-OBS,3.76,23,2,6
2026-W06,TEAM-STORE-EDGE,0.42,319,6,13
