entity_id,entity_name,entity_scope,parent_entity_id,parent_entity_name,portfolio_company_id,portfolio_company_name,tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,lakeshore-industries,derived/tower_financial_amounts.csv,2,LSH-BUDGET-CORP-SHARED-SERVICES,Corporate shared services IT FY26 budget,it_budget,none,committed,fy26,36500000,LSH-BUDGET-CORP-SHARED-SERVICES,,v7_entity_budget_spine_authoritative_envelope,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-BUDGET-CORP-SHARED-SERVICES,,Headline budget row; additive across corporate shared services and portfolio companies.
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,lakeshore-industries,derived/tower_financial_amounts.csv,3,LSH-BUDGET-CORP-SHARED-SERVICES-RUN,Lakeshore Holdings FY26 run budget component,it_budget,run,committed,fy26,22630000,LSH-BUDGET-CORP-SHARED-SERVICES,LSH-BUDGET-CORP-SHARED-SERVICES,v7_entity_run_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-BUDGET-CORP-SHARED-SERVICES-RUN,,Component row; do not add to headline total separately.
LSH-HOLDCO,Lakeshore Holdings,holdco,,,,,lakeshore-industries,derived/tower_financial_amounts.csv,4,LSH-BUDGET-CORP-SHARED-SERVICES-CHANGE,Lakeshore Holdings FY26 change budget component,it_budget,change,committed,fy26,13870000,LSH-BUDGET-CORP-SHARED-SERVICES,LSH-BUDGET-CORP-SHARED-SERVICES,v7_entity_change_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-BUDGET-CORP-SHARED-SERVICES-CHANGE,,Component row; do not add to headline total separately.
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,lakeshore-industries,derived/tower_financial_amounts.csv,5,LSH-OPCO-NLS-LOCAL-IT-BUDGET,Northline Supply Chain local IT FY26 budget,it_budget,none,committed,fy26,32500000,LSH-OPCO-NLS-LOCAL-IT-BUDGET,,v7_entity_budget_spine_authoritative_envelope,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-NLS-LOCAL-IT-BUDGET,,Headline budget row; additive across corporate shared services and portfolio companies.
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,lakeshore-industries,derived/tower_financial_amounts.csv,6,LSH-OPCO-NLS-LOCAL-IT-BUDGET-RUN,Northline Supply Chain FY26 run budget component,it_budget,run,committed,fy26,22100000,LSH-OPCO-NLS-LOCAL-IT-BUDGET,LSH-OPCO-NLS-LOCAL-IT-BUDGET,v7_entity_run_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-NLS-LOCAL-IT-BUDGET-RUN,,Component row; do not add to headline total separately.
LSH-OPCO-NLS,Northline Supply Chain,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-NLS,Northline Supply Chain,lakeshore-industries,derived/tower_financial_amounts.csv,7,LSH-OPCO-NLS-LOCAL-IT-BUDGET-CHANGE,Northline Supply Chain FY26 change budget component,it_budget,change,committed,fy26,10400000,LSH-OPCO-NLS-LOCAL-IT-BUDGET,LSH-OPCO-NLS-LOCAL-IT-BUDGET,v7_entity_change_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-NLS-LOCAL-IT-BUDGET-CHANGE,,Component row; do not add to headline total separately.
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,lakeshore-industries,derived/tower_financial_amounts.csv,8,LSH-OPCO-BMS-LOCAL-IT-BUDGET,Brightmark Marketing Services local IT FY26 budget,it_budget,none,committed,fy26,15600000,LSH-OPCO-BMS-LOCAL-IT-BUDGET,,v7_entity_budget_spine_authoritative_envelope,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-BMS-LOCAL-IT-BUDGET,,Headline budget row; additive across corporate shared services and portfolio companies.
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,lakeshore-industries,derived/tower_financial_amounts.csv,9,LSH-OPCO-BMS-LOCAL-IT-BUDGET-RUN,Brightmark Marketing Services FY26 run budget component,it_budget,run,committed,fy26,10608000,LSH-OPCO-BMS-LOCAL-IT-BUDGET,LSH-OPCO-BMS-LOCAL-IT-BUDGET,v7_entity_run_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-BMS-LOCAL-IT-BUDGET-RUN,,Component row; do not add to headline total separately.
LSH-OPCO-BMS,Brightmark Marketing Services,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-BMS,Brightmark Marketing Services,lakeshore-industries,derived/tower_financial_amounts.csv,10,LSH-OPCO-BMS-LOCAL-IT-BUDGET-CHANGE,Brightmark Marketing Services FY26 change budget component,it_budget,change,committed,fy26,4992000,LSH-OPCO-BMS-LOCAL-IT-BUDGET,LSH-OPCO-BMS-LOCAL-IT-BUDGET,v7_entity_change_budget_component,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-BMS-LOCAL-IT-BUDGET-CHANGE,,Component row; do not add to headline total separately.
LSH-OPCO-FFF,Forge & Field Consumer Products,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,LSH-OPCO-FFF,Forge & Field Consumer Products,lakeshore-industries,derived/tower_financial_amounts.csv,11,LSH-OPCO-FFF-LOCAL-IT-BUDGET,Forge & Field Consumer Products local IT FY26 budget,it_budget,none,committed,fy26,17300000,LSH-OPCO-FFF-LOCAL-IT-BUDGET,,v7_entity_budget_spine_authoritative_envelope,lakeshore_v7_1_1_holdco_depth_20260706,tenant_file,it_budget,LSH-OPCO-FFF-LOCAL-IT-BUDGET,,Headline budget row; additive across corporate shared services and portfolio companies.
