tenant_key,evidence_id,source_version_id,evidence_type,evidence_summary,locator_type,locator,source_record_id,dimension_keys,business_object_refs,classification,confidence,evidence_date,approved_for_use,known_gaps,content_fingerprint
first-capital-financial,FC-AI-001-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Real_time_scam_APP_fraud_detection_Evidence_SYNTHETIC.md,section,section 5.4,FC-AI-001,,FC-AI-001; FC-AI-001; Financial Services Evidence Steward,review_required,medium,2026-06-18,,none,3898e18091bfa2ea940e35894aaa99f5f0eaa4fc26b50d056a7ab5a451de0d11
first-capital-financial,FC-AI-002-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/AML_alert_triage_false_positive_reduction_Evidence_SYNTHETIC.md,section,section 4.2,FC-AI-002,,FC-AI-002; FC-AI-002; Financial Services Evidence Steward,approved,high,2026-06-18,,none,5a4b6905d84e910d6cd6bc38992bc4bd7b43a5b24d83c1f9916203e8c7bd859e
first-capital-financial,FC-AI-003-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/SAR_narrative_drafting_copilot_Evidence_SYNTHETIC.md,section,section 4.1,FC-AI-003,,FC-AI-003; FC-AI-003; Financial Services Evidence Steward,approved,high,2026-06-18,,none,c0f9ebce02d722f08e8806107d99f14531038ccda2abb23cebd211d29eede456
first-capital-financial,FC-AI-004-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Contact_center_next_best_action_assist_Evidence_SYNTHETIC.md,section,section 1.3,FC-AI-004,risks,FC-AI-004; FC-AI-004; Financial Services Evidence Steward,review_required,medium,2026-06-18,,none,bb21c979dd1c40a532446bc04853a998cbf740ca763189d7b871a0daca7c2cd7
first-capital-financial,FC-AI-005-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Commercial_credit_spreading_automation_Evidence_SYNTHETIC.md,section,section 5.3,FC-AI-005,,FC-AI-005; FC-AI-005; Financial Services Evidence Steward,approved,high,2026-06-18,,none,49c109e6a6fca16ff53b175283e07be7d10719aef488f538c0f246fa9586e3d2
first-capital-financial,FC-AI-006-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Customer_360_lakehouse_foundation_Evidence_SYNTHETIC.md,section,section 1.4,FC-AI-006,,FC-AI-006; FC-AI-006; Financial Services Evidence Steward,approved,medium,2026-06-18,,none,24213fd8243f525cd2b788360a2209f4f0ddeddedb5c5946788e6027a95674dc
first-capital-financial,FC-AI-007-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Certified_semantic_layer_for_KPIs_Evidence_SYNTHETIC.md,section,section 2.3,FC-AI-007,,FC-AI-007; FC-AI-007; Financial Services Evidence Steward,review_required,medium,2026-06-18,,none,4dc6119d993ffd552e61bb5a8885538107d67386231d2a42f3843096fb0b2eb5
first-capital-financial,FC-AI-008-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Engineering_code_assist_productivity_Evidence_SYNTHETIC.md,section,section 3.2,FC-AI-008,,FC-AI-008; FC-AI-008; Financial Services Evidence Steward,review_required,high,2026-06-18,,none,41ac50b20fd871726053bb1e646067635d829fb4e588e4b43e24b271e5401abe
first-capital-financial,FC-AI-009-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Regulatory_close_reconciliation_automation_Evidence_SYNTHETIC.md,section,section 2.4,FC-AI-009,,FC-AI-009; FC-AI-009; Financial Services Evidence Steward,approved,medium,2026-06-18,,none,48ff5c0d45e059a0dc31c88af6a2ab2e95bdae1c44fa55606353a8f546593ca7
first-capital-financial,FC-AI-010-EV-1,SRCV-FIRSTCAPITALFINANCIAL-4E48F7A07F3C,document_excerpt,source-docs/Cards_dispute_chargeback_automation_Evidence_SYNTHETIC.md,section,section 2.4,FC-AI-010,risks,FC-AI-010; FC-AI-010; Financial Services Evidence Steward,review_required,high,2026-06-18,,none,f93f8b411cc9ad07122270ac913b6fca8d118e2bf5ceab731d11c75778dc4677
