artifact_id,relative_path,wave,source_classification,artifact_purpose,synthetic_label,row_count,sha256
720c8381a3655cba,01-public-sources/01-annual-report.html,1,public,annual-report,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,ccaa033c5c75bba029b9e674baf10bcde16ad7946960455a9ad32e29d0890589
9fa0ac871ce61c9c,01-public-sources/01-annual-report.pdf,1,public,annual-report,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,d8ec800471d6da80143d7e7c75420e712d5e0e0c610c430d15601f5ba692a675
d4c7e442a6a264b1,01-public-sources/02-audited-financial-statements.html,1,public,audited-financial-statements,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,596ae901db730259488d042d4615989f80acfa8a2e1c211b2a43fd036b045514
fa157e5d458b34d1,01-public-sources/02-audited-financial-statements.pdf,1,public,audited-financial-statements,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,8be6df1b395ccd7b3f0df7b77b8175b83204f15c431fa1d359d7a84f6c3f996c
c2a0bcb01af3607a,01-public-sources/03-form-990-style-filing.html,1,public,form-990-style-filing,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,6be3b0771ea623f6e65308c27693092c4b1a1273ec29a055b6fe964a97d41d4a
13aacc70e399bf1c,01-public-sources/03-form-990-style-filing.pdf,1,public,form-990-style-filing,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,c872320027901aa3559529aefa06fc88eee0634ae57a0816317952c551adef01
9a9ac711ce2cd828,01-public-sources/04-community-benefit-report.html,1,public,community-benefit-report,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,c4e18b3a6713a93caa96a0b998864217634f13585aeff7626d5bf42a8a8b9c07
39ee7598c590afbd,01-public-sources/04-community-benefit-report.pdf,1,public,community-benefit-report,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,da26bfc08e2aa0225c3a6a1e3927ac1575c5d11d6a1e3dabca4f6d677d82b5bd
bea480d66b98deb9,01-public-sources/05-bond-credit-presentation.html,1,public,bond-credit-presentation,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,cb74924df0d954c3fea9c8fac1ecb02dc6ea2531761e5813041d0d033e109039
61c879e78d0f9fab,01-public-sources/05-bond-credit-presentation.pdf,1,public,bond-credit-presentation,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,0b427d5c27988fc39082c6b2ec310e4b974eb29e874be83be7ace95d6cf927e1
8a335d33db4ff4c5,01-public-sources/06-public-strategy-summary.html,1,public,public-strategy-summary,"Synthetic HC Demo New source artifact - not a real client, not PHI, planning grade.",,478474fdb06af85a88fb8ed69d844239fe78f5e025021e5e280fe7a4033acae8
