signal_id,service_or_process,ticket_or_event_type,monthly_volume,severity_mix,mttr_hours,backlog_count,automation_candidate,root_cause_theme
LAK-OPS-001,Kyriba mapping defect,defect,90,22% high / 58% medium / 20% low,4,21,yes,mapping and master data
LAK-OPS-002,bank file rejection,incident,126,9% high / 51% medium / 40% low,5.1,30,partial,control evidence gap
LAK-OPS-003,SAP IDoc failure,control_exception,162,9% high / 51% medium / 40% low,6.2,39,yes,knowledge gap
LAK-OPS-004,BlackLine reconciliation aging,defect,198,9% high / 51% medium / 40% low,7.300000000000001,48,partial,manual reconciliation
LAK-OPS-005,Power BI refresh failure,incident,234,22% high / 58% medium / 20% low,8.4,57,yes,mapping and master data
LAK-OPS-006,finance service desk repeat issue,control_exception,270,9% high / 51% medium / 40% low,9.5,66,partial,control evidence gap
LAK-OPS-007,payment approval exception,defect,306,9% high / 51% medium / 40% low,10.600000000000001,75,yes,knowledge gap
LAK-OPS-008,SWIFT connectivity alert,incident,342,9% high / 51% medium / 40% low,11.700000000000001,84,partial,manual reconciliation
LAK-OPS-009,supplier master mismatch,control_exception,378,22% high / 58% medium / 20% low,12.8,93,yes,mapping and master data
LAK-OPS-010,close calendar delay,defect,414,9% high / 51% medium / 40% low,13.9,102,partial,control evidence gap
