policy_id,policy_name,policy_type,effective_date,version,policy_owner,applies_to_systems,data_domains,control_requirement,ai_constraint,review_cycle_days,next_review_date,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
POL-001,AI Use and Clinical Safety Review 1,Policy,2026-01-15,v1.0,AI Governance Council,CI-APP-EPIC-HYPERSPACE,Clinical,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous clinical decisioning without human attestation.,180,2027-01-15,GRC,POL-1,GRC Office,2026-05-01,0.84,true,
POL-002,Model Monitoring and Drift Attestation 1,Procedure,2026-02-15,v2.1,Cybersecurity Governance,CI-APP-EPIC-CABOODLE,Research,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-02-15,GRC,POL-2,GRC Office,2026-05-01,0.84,true,
POL-003,Cloud Data Handling Standard 1,Control,2026-03-15,v3.2,AI Governance Council,CI-INT-MIRTH,Revenue Cycle,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-03-15,GRC,POL-3,GRC Office,2026-05-01,0.84,true,
POL-004,Third-Party Risk Review 1,Standard,2026-04-15,v1.3,Cybersecurity Governance,CI-SVC-CONTACT-CENTER,Contact Center,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous clinical decisioning without human attestation.,180,2027-04-15,GRC,POL-4,GRC Office,2026-05-01,0.84,true,
POL-005,Clinical Integration Change Control 1,Policy,2026-05-15,v2.4,AI Governance Council,CI-APP-SALESFORCE-HEALTH,Clinical,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-05-15,GRC,POL-5,GRC Office,2026-05-01,0.84,true,
POL-006,Research Data De-identification 1,Procedure,2026-06-15,v3.0,Cybersecurity Governance,CI-APP-SERVICENOW,Research,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-06-15,GRC,POL-6,GRC Office,2026-05-01,0.84,true,
POL-007,Contact Center Recording Retention 1,Control,2026-07-15,v1.1,AI Governance Council,CI-APP-ORACLE-ERP,Revenue Cycle,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous clinical decisioning without human attestation.,180,2027-07-15,GRC,POL-7,GRC Office,2026-05-01,0.84,true,
POL-008,Revenue Cycle Automation Controls 1,Standard,2026-08-15,v2.2,Cybersecurity Governance,CI-APP-WORKDAY-HCM,Contact Center,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,365,2027-08-15,GRC,POL-8,GRC Office,2026-05-01,0.84,true,
POL-009,AI Use and Clinical Safety Review 2,Policy,2026-09-15,v3.3,AI Governance Council,CI-DATA-RESEARCH-LAKE,Clinical,"Owner attestation, evidence retention, and pre-production review are required.",AI use requires logged monitoring and periodic validation.,730,2027-09-15,GRC,POL-9,GRC Office,2026-05-01,0.84,true,
POL-010,Model Monitoring and Drift Attestation 2,Procedure,2026-10-15,v1.4,Cybersecurity Governance,CI-PLAT-DATABRICKS,Research,"Owner attestation, evidence retention, and pre-production review are required.",No autonomous clinical decisioning without human attestation.,180,2027-10-15,GRC,POL-10,GRC Office,2026-05-01,0.84,true,
