tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,quarantineReasons,disposition
first-capital-financial,FCF-12-00001,2,depends_on,DEPENDS_ON,application_system,card processing platform,,program_initiative,Payments Platform Resilience,,FCF-EVID-07201,high,data retention evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00002,3,feeds,FEEDS,data_asset,payments hub,,ai_use_case,Loan document intake automation,,FCF-EVID-07202,medium,access controls evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00003,4,funds,FUNDS,program_initiative,ACH and wire operations,,risk_control,Core Banking Simplification,,FCF-EVID-07203,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00004,5,blocked_by,,vendor_contract,fraud detection platform,,vendor_contract,Wealth advisor research assistant,,FCF-EVID-07204,high,customer consent evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unknown-relationship-type:blocked_by; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00005,6,owned_by,OWNED_BY,risk_control,AML/KYC case management,,metric_outcome,Regulatory Reporting Automation,,FCF-EVID-07205,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00006,7,supports,SUPPORTS,metric_outcome,CRM and banker desktop,,data_asset,Branch workforce knowledge assistant,,FCF-EVID-07206,medium,operational resilience evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00007,8,depends_on,DEPENDS_ON,application_system,contact center platform,,program_initiative,Cloud Resilience and Zero Trust,,FCF-EVID-07207,medium,third-party risk evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00008,9,feeds,FEEDS,data_asset,mobile banking platform,,ai_use_case,Model risk documentation assistant,,FCF-EVID-07208,high,cyber risk evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00009,10,funds,FUNDS,program_initiative,online banking platform,,risk_control,Wealth Advisor Desktop Modernization,,FCF-EVID-07209,high,fraud loss evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00010,11,blocked_by,,vendor_contract,cloud lakehouse foundation,,vendor_contract,Fraud alert triage copilot,,FCF-EVID-07210,medium,vendor concentration evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unknown-relationship-type:blocked_by; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00011,12,owned_by,OWNED_BY,risk_control,enterprise risk platform,,metric_outcome,Finance and GL Modernization,,FCF-EVID-07211,medium,cloud exit and resilience evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00012,13,supports,SUPPORTS,metric_outcome,general ledger and ERP,,data_asset,Contact center agent assist,,FCF-EVID-07212,high,model risk management evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00013,14,depends_on,DEPENDS_ON,application_system,identity and access management,,program_initiative,Payments Platform Resilience,,FCF-EVID-07213,high,fair lending and bias evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00014,15,feeds,FEEDS,data_asset,model risk management system,,ai_use_case,Loan document intake automation,,FCF-EVID-07214,medium,explainability evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00015,16,funds,FUNDS,program_initiative,regulatory reporting platform,,risk_control,Core Banking Simplification,,FCF-EVID-07215,medium,GLBA privacy evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00016,17,blocked_by,,vendor_contract,document management platform,,vendor_contract,Wealth advisor research assistant,,FCF-EVID-07216,high,PCI DSS evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unknown-relationship-type:blocked_by; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00017,18,owned_by,OWNED_BY,risk_control,core banking platform,,metric_outcome,Regulatory Reporting Automation,,FCF-EVID-07217,high,data retention evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00018,19,supports,SUPPORTS,metric_outcome,loan origination platform,,data_asset,Branch workforce knowledge assistant,,FCF-EVID-07218,medium,access controls evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00019,20,depends_on,DEPENDS_ON,application_system,card processing platform,,program_initiative,Cloud Resilience and Zero Trust,,FCF-EVID-07219,medium,audit logging evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00020,21,feeds,FEEDS,data_asset,payments hub,,ai_use_case,Model risk documentation assistant,,FCF-EVID-07220,high,customer consent evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
first-capital-financial,FCF-12-00021,22,funds,FUNDS,program_initiative,ACH and wire operations,,risk_control,Wealth Advisor Desktop Modernization,,FCF-EVID-07221,high,regulatory reporting accuracy evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
