tenant_key,adapter_id,canonical_object_type,canonical_object_id,source_file,source_row,source_system,source_record_id,lineage_status,extract_date,as_of_date
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:clinical_epic:FY26,20_it_budget_by_domain.csv,2,IT Finance / FP&A,BUD-clinical_epic,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:infrastructure:FY26,20_it_budget_by_domain.csv,3,IT Finance / FP&A,BUD-infrastructure,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:apps:FY26,20_it_budget_by_domain.csv,4,IT Finance / FP&A,BUD-apps,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:data_ai:FY26,20_it_budget_by_domain.csv,5,IT Finance / FP&A,BUD-data_ai,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:digital:FY26,20_it_budget_by_domain.csv,6,IT Finance / FP&A,BUD-digital,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:security:FY26,20_it_budget_by_domain.csv,7,IT Finance / FP&A,BUD-security,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:architecture:FY26,20_it_budget_by_domain.csv,8,IT Finance / FP&A,BUD-architecture,preserved,2026-08-24,2026-08-24
meridian-health,meridian_budget_domain_adapter,Budget,BUDGET:corporate_it:FY26,20_it_budget_by_domain.csv,9,IT Finance / FP&A,BUD-corporate_it,preserved,2026-08-24,2026-08-24
meridian-health,meridian_it_project_adapter,Project,PROJECT:PRJ-MER-001,21_it_project_portfolio.csv,2,PMO / IT portfolio tracker,PRJ-MER-001,preserved,2026-08-24,2026-08-24
meridian-health,meridian_it_project_adapter,Project,PROJECT:PRJ-MER-002,21_it_project_portfolio.csv,3,PMO / IT portfolio tracker,PRJ-MER-002,preserved,2026-08-24,2026-08-24
meridian-health,meridian_it_project_adapter,Project,PROJECT:PRJ-MER-003,21_it_project_portfolio.csv,4,PMO / IT portfolio tracker,PRJ-MER-003,preserved,2026-08-24,2026-08-24
meridian-health,meridian_it_project_adapter,Project,PROJECT:PRJ-MER-004,21_it_project_portfolio.csv,5,PMO / IT portfolio tracker,PRJ-MER-004,preserved,2026-08-24,2026-08-24
meridian-health,meridian_it_project_adapter,Project,PROJECT:PRJ-MER-005,21_it_project_portfolio.csv,6,PMO / IT portfolio tracker,PRJ-MER-005,preserved,2026-08-24,2026-08-24
