line_id,category,subcategory,owner_person_id,owner_name,fy2026_planned_capex_usd,fy2026_planned_opex_usd,fy2025_actual_capex_usd,funding_source,approval_authority,approval_status,linked_program_id,notes
capital:meridian:ent-cap-fy26-it-cybersecurity,Capital — IT,Cybersecurity Modernization,person:meridian:daniel-reyes,Daniel Reyes (CISO),22000000,0,18500000,CIO_change_capital,EVP CIO + CFO joint,approved,program:meridian:cybersecurity-fy2026,Compounded post-2024 ransomware sector trends; FFIEC-equivalent posture for plan side.
capital:meridian:ent-cap-fy26-it-epic-optimization,Capital — IT,Epic Optimization,person:meridian:linda-howard,Linda Howard (EA),38000000,0,32000000,CIO_change_capital,EVP CIO + CFO joint,approved,program:meridian:epic-optimization-fy2026,Continued Epic standardization; Hawaii integration funding deferred (Pacific Queens completed FY2024).
capital:meridian:ent-cap-fy26-it-rcm-modernization,Capital — IT,RCM Modernization,person:meridian:patricia-okafor,Patricia Okafor,18500000,6800000,12200000,Business_capital_RCM,EVP CFO + EVP CDIO joint,approved,program:meridian:rcm-modernization,Co-funded by RCM business unit (capital) + IT (opex). Active strategic program.
capital:meridian:ent-cap-fy26-it-ambient-doc,Capital — IT,Ambient Documentation Rollout,person:meridian:jennifer-wexler,Dr. Jennifer Wexler (CMIO),8500000,4200000,5800000,CIO_transform_capital,EVP CIO + CMO joint + AI Gov Council,approved,program:meridian:ambient-documentation,Scribe pilot to enterprise rollout; gated through AI Governance Council.
capital:meridian:ent-cap-fy26-it-prior-auth,Capital — IT,Prior Auth Automation (Cohere),person:meridian:patricia-okafor,Patricia Okafor,6500000,3200000,4800000,Business_capital_Plan,Plan President + CFO joint,approved,program:meridian:prior-auth-cohere,Plan-side capital; provider-side operational benefit.
capital:meridian:ent-cap-fy26-it-ai-governance,Capital — IT,AI Governance Council Operations,person:meridian:jennifer-wexler,Dr. Jennifer Wexler (CMIO),2200000,4800000,1800000,CIO_transform_capital,EVP CDIO + Board Risk Committee,approved,program:meridian:ai-governance-council,23 use cases under review; FY2026 first full operating cycle.
capital:meridian:ent-cap-fy26-it-data-platform,Capital — IT,Data Platform Modernization,person:meridian:jordan-mckenzie,Jordan McKenzie,11500000,8500000,8200000,CIO_change_capital,EVP CDIO + CFO joint,approved,,Snowflake expansion + Databricks evaluation + Atlas v4 platform; founder directive to size to $30-40M data analytics.
capital:meridian:ent-cap-fy26-it-cloud-migration,Capital — IT,Cloud Migration Workstream,person:meridian:wei-zhang,Wei Zhang,14500000,6200000,11800000,CIO_run_capital,EVP CDIO,approved,,AWS-primary architecture; on-prem retirement on schedule.
capital:meridian:ent-cap-fy26-facilities-sacramento,Capital — Facilities,Sacramento Flagship Modernization,person:meridian:robert-iverson,Robert Iverson (VP Capital),185000000,0,142000000,Corporate_capital,Board Finance Committee,approved,,Continued multi-year flagship modernization.
capital:meridian:ent-cap-fy26-facilities-bay-area,Capital — Facilities,Bay Area Network Investments,person:meridian:robert-iverson,Robert Iverson,124000000,0,98000000,Corporate_capital,Board Finance Committee,approved,,Ambulatory expansion + service-line growth.
capital:meridian:ent-cap-fy26-medical-equipment,Capital — Medical Equipment,Imaging + Surgical Equipment,person:meridian:edward-kawano,Dr. Edward Kawano,112000000,0,98000000,Service_line_capital,EVP CPE + CFO joint,approved,,Imaging modernization + robotic surgery expansion.
capital:meridian:ent-cap-fy26-research-institute,Capital — Research,Meridian Institute Expansion,person:meridian:ralph-eichenberger,Dr. Ralph Eichenberger,38000000,0,32000000,Research_capital_grant_matched,Board Research Committee,approved,,Grant-matched research capital; on-prem GPU stack expansion.
capital:meridian:ent-cap-fy26-hawaii-integration,Capital — Facilities,Hawaii Integration (DEFERRED),person:meridian:kenneth-akamu,Kenneth Akamu,0,0,22000000,Corporate_capital,Board Finance Committee,deferred_to_fy2027,,Funding deferred to FY2027 per existing fixtures (capital allocation pressure).
capital:meridian:ent-cap-fy26-real-estate,Capital — Real Estate,Ambulatory Network Expansion,person:meridian:robert-iverson,Robert Iverson,58000000,0,48000000,Corporate_capital,Board Finance Committee,approved,,Ambulatory clinic footprint expansion.
capital:meridian:ent-opex-fy26-clinical-operations,Operating — Clinical,Clinical Operations (consolidated),person:meridian:sarah-obrien,Sarah O'Brien (COO),0,1820000000,1720000000,Operating_budget,EVP COO + CEO + CFO,approved,,"Includes nursing labor, allied health, ED, surgical, ambulatory."
capital:meridian:ent-opex-fy26-medical-group,Operating — Medical Group,Physician Compensation,person:meridian:elena-castellanos,Dr. Elena Castellanos,0,980000000,920000000,Operating_budget,EVP CPE + CFO,approved,,Physician comp model redesign deferred to FY2027 implementation.
capital:meridian:ent-opex-fy26-plan-mlr,Operating — Plan,Plan Medical Costs,person:meridian:thomas-hartwell,Thomas Hartwell,0,5200000000,4980000000,Plan_premium_budget,Plan President + Plan CFO,approved,,MLR pressure: target 84.5% from 87.2%. Largest single line in Meridian P&L.
capital:meridian:ent-opex-fy26-it-operations,Operating — IT,Total IT Operating Budget,person:meridian:anita-krishnamurthy,Dr. Anita Krishnamurthy (CDIO),0,384000000,365000000,CIO_run_budget,EVP CDIO + CFO,approved,,Industry-standard 2.3% of revenue for healthcare IDN.
