contract_id,vendor,system_or_service,renewal_date,current_annual_value,multi_year_value,renewal_status,owner_person_id,scope,strategic_notes
contract:meridian:001,Epic,Epic Hyperspace,2027-06-30,9200000,27600000,upcoming,person:meridian:maya-ramos,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:002,Epic,Epic Ambulatory,2027-06-30,6800000,20400000,upcoming,person:meridian:maya-ramos,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:003,Epic,Epic MyChart,2027-06-30,2100000,6300000,upcoming,person:meridian:jessica-toth,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:004,Epic,Epic Cogito,2027-06-30,3900000,11700000,upcoming,person:meridian:jordan-mckenzie,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:005,Epic,Epic Bridges,2027-06-30,1800000,5400000,upcoming,person:meridian:linda-howard,shared,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:006,Epic,Epic Healthy Planet,2027-06-30,2600000,7800000,upcoming,person:meridian:priya-sharma,shared,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:007,Epic,Epic Beacon,2027-06-30,1450000,4350000,in_negotiation,person:meridian:maya-ramos,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:008,Epic,Epic Stork,2027-06-30,940000,2820000,upcoming,person:meridian:maya-ramos,provider,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:009,Epic,Epic Cosmos,2027-06-30,1200000,3600000,upcoming,person:meridian:jordan-mckenzie,shared,Innovaccer/Cohere/Epic renewals carry multi-program implications.
contract:meridian:010,Oracle Cerner,Cerner Millennium PowerChart,TBD,3100000,9300000,upcoming,person:meridian:vacant-vp-applications,provider,"Standard renewal; monitor BAA, AI/ML, and exit terms."
contract:meridian:011,HealthEdge,HealthEdge HealthRules Payer,2026-12-31,3200000,9600000,upcoming,person:meridian:owen-li,plan,"Standard renewal; monitor BAA, AI/ML, and exit terms."
