vendor_id,vendor_name,scope,annual_run_rate_usd,renewal_date,criticality,notes,source_file,source_row,value_source
CON-00001,SAP,Managed Service,85440000,2026-09-04,critical,tower=Network; owner=CDO; utilization=91; action=Right-size,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,tenant_file
CON-00002,Infosys,Capacity Reservation,77560000,2028-05-21,critical,tower=EUC; owner=VP Engineering; utilization=42; action=Renegotiate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,tenant_file
CON-00003,Informatica,Perpetual License,47570000,2026-12-09,critical,tower=Digital; owner=CDO; utilization=23; action=Consolidate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,tenant_file
CON-00004,Informatica,Perpetual License,119140000,2026-05-10,critical,tower=Digital; owner=CDO; utilization=31; action=Renew,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,tenant_file
CON-00005,Amadeus,Perpetual License,117570000,2027-08-07,critical,tower=Data & Analytics; owner=CDO; utilization=30; action=Renegotiate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,tenant_file
CON-00006,IBM,Capacity Reservation,94560000,2027-07-31,critical,tower=Mainframe; owner=CTO; utilization=80; action=Consolidate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,tenant_file
CON-00007,Oracle,Enterprise Agreement,77080000,2027-02-21,critical,tower=Security; owner=CIO; utilization=42; action=Benchmark,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,tenant_file
CON-00008,Red Hat,Support & Maintenance,83270000,2025-07-04,critical,tower=Data & Analytics; owner=CISO; utilization=58; action=Renew,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,tenant_file
CON-00009,Accenture,Support & Maintenance,119170000,2028-11-29,critical,tower=Mainframe; owner=CTO; utilization=65; action=Renew,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,tenant_file
CON-00010,Informatica,Support & Maintenance,29610000,2028-09-10,critical,tower=Mainframe; owner=CTO; utilization=41; action=Competitive Bid,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,tenant_file
CON-00011,IBM,Managed Service,47380000,2026-02-01,critical,tower=Security; owner=CIO; utilization=79; action=Benchmark,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,12,tenant_file
CON-00012,IBM,Managed Service,101800000,2026-09-03,critical,tower=Security; owner=CTO; utilization=33; action=Benchmark,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,13,tenant_file
CON-00013,NetApp,Managed Service,58880000,2024-01-15,critical,tower=Mainframe; owner=COO; utilization=57; action=Right-size,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,14,tenant_file
CON-00014,SAP,SaaS Subscription,52760000,2026-05-01,critical,tower=Digital; owner=Chief Digital Officer; utilization=47; action=Terminate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,15,tenant_file
CON-00015,Salesforce,Perpetual License,31220000,2027-08-17,critical,tower=Security; owner=Chief Digital Officer; utilization=95; action=Right-size,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,16,tenant_file
CON-00016,Informatica,SaaS Subscription,31500000,2028-02-15,critical,tower=Network; owner=VP Infrastructure; utilization=72; action=Consolidate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,17,tenant_file
CON-00017,MuleSoft,Managed Service,80900000,2024-03-05,critical,tower=Mainframe; owner=Chief Digital Officer; utilization=62; action=Terminate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,18,tenant_file
CON-00018,TCS,Managed Service,125560000,2023-10-08,critical,tower=Cloud; owner=CISO; utilization=22; action=Renegotiate,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,19,tenant_file
