authority_id,spend_band_label,single_decision_threshold_usd_min,single_decision_threshold_usd_max,approver_role,approver_person_id,approver_name,funding_source_typical,documentation_required,review_cycle,notes
funding-authority:firstcapital:auth-l1-director,Director-level operating spend,0,100000,Director,,(any director within function),CIO_run_budget OR Business_opex,Standard PR; aggregates monthly to VP,Single-shot,Banks tighter than retail at director level due to regulatory scrutiny.
funding-authority:firstcapital:auth-l2-vp-single,VP-level single-decision,100000,500000,VP,,(VP of owning function),CIO_run_budget OR CIO_change_budget OR Business_opex,"Vendor scorecard, business case, finance + risk review",Monthly VP forum,Risk function review required for any vendor introduction.
funding-authority:firstcapital:auth-l3-svp-single,SVP-level single-decision,500000,2000000,SVP,,(SVP of owning function),CIO_change_budget OR CIO_transform_budget OR Business_capital,Business case + sourcing pack + executive sponsor + TPRM review,Quarterly portfolio forum,Third-party risk review (TPRM) is required for new vendors.
funding-authority:firstcapital:auth-l4-cio-or-evp-single,CIO single-decision authority,2000000,5000000,EVP CIO,person:firstcapital:patricia-huang,Patricia Huang (CIO),CIO_change_capital OR CIO_transform_capital,Business case + EPMO charter + finance + MRM intake if AI/ML touching,Monthly EC review,AI initiation gated through MRM (Adekoya-Park).
funding-authority:firstcapital:auth-l5-cfo-cio-cro-joint,CFO + CIO + CRO joint approval,5000000,25000000,CFO + CIO + CRO joint,person:firstcapital:michael-torres,Michael Torres (CFO) + Patricia Huang (CIO) + James Park (CRO),CIO_change_capital OR CIO_transform_capital OR Business_capital,Capital memo + 5-year P&L + risk attestation + sponsor signoff,Monthly EC + quarterly Board Risk Committee summary,Three-signature requirement at this band; CRO is gating voice for risk concentration.
funding-authority:firstcapital:auth-l6-ceo-single,CEO single-decision authority,25000000,50000000,CEO,person:firstcapital:david-morrison,David Morrison,Corporate_capital OR Strategic_capital,Enterprise capital review + Board Risk + Audit Committee summary,Quarterly Board,FedNow build + cybersecurity modernization at this band.
funding-authority:firstcapital:auth-l7-board-risk-committee,Board Risk Committee (with CRO independent attestation),0,,Board Risk Committee,,Board Risk Committee,Any spend creating new risk concentration,Risk register + mitigation plan + monitoring framework + regulatory implications,Quarterly + ad-hoc for material risk events,PARALLEL gate: any AI program + any third-party concentration + any regulatory remediation reaches this committee regardless of dollar threshold.
funding-authority:firstcapital:auth-l8-board-capital-committee,Board Capital Committee,50000000,200000000,Board Capital Committee,,Board Capital Committee,Corporate_capital,Capital plan + investment thesis + 7-year P&L + sensitivity,Quarterly with board materials,CRA investments + branch network + core banking modernization decision will reach this committee.
funding-authority:firstcapital:auth-l9-full-board,Full Board approval,200000000,,Full Board of Directors,,Full Board,Strategic_capital OR M&A_capital,Strategic plan + financing + regulatory readiness + CCAR implications,Annually + special sessions,Core banking replacement (if elected) would reach Full Board.
funding-authority:firstcapital:auth-special-mrm,Model Risk Management attestation (SR 11-7),0,,MRM (Adekoya-Park) reporting to CRO,person:firstcapital:ferris-adekoya-park,Ferris Adekoya-Park,Any AI/ML model deployment regardless of dollar threshold,Model documentation + validation + monitoring + lineage + bias assessment,Bi-weekly during active program cycles,PARALLEL gate to dollar approval; required for any AI/ML model regardless of business sponsor or dollar size. SR 11-7 governance.
funding-authority:firstcapital:auth-special-fair-lending,Fair Lending compliance review,0,,Fair Lending compliance (Castellanos-Liu) reporting to CCO,person:firstcapital:brendan-castellanos-liu,Brendan Castellanos-Liu,Any consumer-facing AI/ML model touching credit decisions,Disparate impact testing + variable selection review + monitoring,Bi-weekly,PARALLEL gate for any consumer credit AI/ML model.
