line_id,category,subcategory,owner_person_id,owner_name,fy2026_planned_capex_usd,fy2026_planned_opex_usd,fy2025_actual_capex_usd,funding_source,approval_authority,approval_status,linked_program_id,notes
capital:firstcapital:ent-cap-fy26-it-fednow-build,Capital — IT,FedNow + Real-Time Payments Build,person:firstcapital:kira-tanaka-riveras,Kira Tanaka-Riveras,32500000,8500000,22500000,CIO_change_capital,EVP CIO + CRO James Park joint,approved,,Build phase for 2026 cutover; CRO concurrence required given payment risk.
capital:firstcapital:ent-cap-fy26-it-core-banking-discovery,Capital — IT,Core Banking Modernization Discovery,person:firstcapital:pia-quintero-walsh,Pia Quintero-Walsh,12000000,0,6500000,CIO_transform_capital,EVP CIO + CFO + CEO joint,approved,,FY2026 evaluation: replace vs. modernize FIS Profile. Largest single transformation decision pending.
capital:firstcapital:ent-cap-fy26-it-cybersecurity,Capital — IT,Cybersecurity Modernization (post-OCC),person:firstcapital:tobias-aboagye,Tobias Aboagye (CISO),38500000,0,32000000,CIO_change_capital,EVP CIO + CRO James Park joint,approved,,FFIEC cyber assessment-driven; OCC findings remediation.
capital:firstcapital:ent-cap-fy26-it-data-platform,Capital — IT,Data Platform & MRM Tooling,person:firstcapital:bjorn-ngangole,Bjorn Ngangole,22500000,8500000,14000000,CIO_change_capital,EVP CIO + CDO Liu joint,approved,,Snowflake expansion + MRM model registry + AI program data infra.
capital:firstcapital:ent-cap-fy26-it-digital-banking,Capital — IT,Consumer Digital Banking Roadmap,person:firstcapital:eira-hauptmann-park,Eira Hauptmann-Park,18500000,4500000,14000000,CIO_change_capital,EVP CIO + Consumer Bank CEO Osei joint,approved,,Mobile feature velocity + personalization (under MRM).
capital:firstcapital:ent-cap-fy26-it-ai-program,Capital — IT,AI Program Portfolio (under MRM),person:firstcapital:ramses-mwakikagile,Ramses Mwakikagile,8500000,4500000,3200000,CIO_transform_capital,EVP CIO + CRO + MRM Adekoya-Park joint,approved,,First full-year AI program; MRM gated; CRO Park is independent voice.
capital:firstcapital:ent-cap-fy26-it-reg-reporting,Capital — IT,Regulatory Reporting Modernization,person:firstcapital:eleanora-ouellette-park,Eleanora Ouellette-Park,12500000,0,9500000,CIO_change_capital,EVP CIO + CRO joint,approved,,Adenza/AxiomSL upgrade + Call Report automation.
capital:firstcapital:ent-cap-fy26-it-cloud-migration,Capital — IT,Cloud Migration & FinOps,person:firstcapital:phaedra-andersen,Phaedra Andersen,14500000,6500000,10800000,CIO_run_capital,EVP CIO,approved,,AWS-primary + Azure secondary architecture; AI workload growth driver.
capital:firstcapital:ent-cap-fy26-it-fraud-aml,Capital — IT,Fraud + AML Platform Expansion,person:firstcapital:saoirse-quintero,Saoirse Quintero,8500000,4500000,5800000,Business_capital_compliance,EVP Compliance + CRO joint,approved,,Post-OCC findings; NICE Actimize + Verafin pilot consolidation.
capital:firstcapital:ent-cap-fy26-it-branch-tech,Capital — IT,Branch Tech & ATM Refresh,person:firstcapital:donovan-marsh-yamaguchi,Donovan Marsh-Yamaguchi,22000000,0,18500000,CIO_run_capital,EVP CIO + Consumer Bank CEO joint,approved,,480-branch + 720-ATM fleet refresh.
capital:firstcapital:ent-cap-fy26-branch-network,Capital — Branches,Branch Network Rationalization,person:firstcapital:donovan-marsh-yamaguchi,Donovan Marsh-Yamaguchi,85000000,0,78000000,Corporate_capital,Board Capital Committee,approved,,Branch consolidation + relocation + select expansions.
capital:firstcapital:ent-cap-fy26-corporate-real-estate,Capital — Real Estate,Corporate Real Estate Modernization,person:firstcapital:nadia-rahman,Nadia Rahman,58000000,0,48000000,Corporate_capital,Board Capital Committee,approved,,HQ + regional office consolidation.
capital:firstcapital:ent-cap-fy26-cra-community,Capital — CRA,Community Reinvestment Investments,person:firstcapital:vivienne-solberg-apt,Vivienne Solberg-Apt,145000000,0,132000000,CRA_balance_sheet_capital,Board Risk + CRA Committee,approved,,CRA-aligned investments; required for regulatory compliance.
capital:firstcapital:ent-cap-fy26-stress-test-buffer,Capital — Risk Buffer,CCAR Stress Capital Reserve,person:firstcapital:james-park,James Park (CRO),0,0,0,CCAR_buffer_capital,Board Risk Committee,approved,,Capital reserve held against CCAR scenarios; not deployed unless stressed.
capital:firstcapital:ent-opex-fy26-comp-benefits,Operating — People,Total Compensation & Benefits,person:firstcapital:rosalind-castellanos,Rosalind Castellanos (CHRO),0,5800000000,5520000000,Operating_budget,EVP CHRO + CFO + CEO,approved,,Largest single operating expense line.
capital:firstcapital:ent-opex-fy26-credit-loss-provisions,Operating — Credit,Provision for Credit Losses,person:firstcapital:james-park,James Park (CRO),0,980000000,740000000,Operating_budget,EVP CRO + CFO + Board Risk,approved,,Counter-cyclical; credit-cycle dependent.
capital:firstcapital:ent-opex-fy26-it-operations,Operating — IT,Total IT Operating Budget,person:firstcapital:patricia-huang,Patricia Huang (CIO),0,1670000000,1525000000,CIO_run_budget,EVP CIO + CFO,approved,,9.2% of revenue per existing fixtures (highest in peer group; compliance-driven).
capital:firstcapital:ent-opex-fy26-occupancy,Operating — Occupancy,Branches + Offices + Data Centers,person:firstcapital:nadia-rahman,Nadia Rahman,0,480000000,465000000,Operating_budget,EVP COO + CFO,approved,,Real estate + utilities + facilities; branch rationalization opportunity.
