contract_id,vendor,system_or_service,renewal_date,current_annual_value,multi_year_value,renewal_status,owner_person_id,scope,strategic_notes
ren:firstcapital:fis-profile-core,FIS Global,FIS Profile Core Banking,2027-12-31,62000000,248000000,Active,person:firstcapital:pia-quintero-walsh,system,Core banking; replace-vs-modernize evaluation in FY2026 must conclude before next renewal cycle.
ren:firstcapital:fis-charlotte,FIS Global,FIS Wealth Charlotte,2027-12-31,18200000,72800000,Active,person:firstcapital:taro-pellegrini-park,system,Wealth platform; bundled with FIS Profile renewal.
ren:firstcapital:microsoft-365,Microsoft,M365 E5 + Copilot pilot,2027-06-30,18800000,56400000,Active,person:firstcapital:antoine-quartararo,system,Anchor productivity contract; Copilot pilot under MRM gating.
ren:firstcapital:aws-platform,Amazon Web Services,AWS Cloud Platform,2027-12-31,32500000,97500000,Active,person:firstcapital:phaedra-andersen,system,EDP renegotiation 2027; Bedrock + AI workload growth driver.
ren:firstcapital:azure-platform,Microsoft,Azure Cloud,2027-06-30,14200000,42600000,Active,person:firstcapital:phaedra-andersen,system,Anchor for Azure OpenAI + secondary cloud.
ren:firstcapital:oracle-erp,Oracle,Oracle ERP Cloud + Database licensing,2027-06-30,6800000,20400000,Active,person:firstcapital:rashid-eldridge,system,Database concentration risk; consolidation tradeoffs.
ren:firstcapital:workday-hcm,Workday,Workday HCM + Adaptive Planning,2027-12-31,9200000,27600000,Active,person:firstcapital:rosalind-castellanos,system,Healthy; growing under hybrid workforce reporting needs.
ren:firstcapital:servicenow,ServiceNow,ServiceNow Platform,2027-09-30,10500000,31500000,Active,person:firstcapital:cassidy-olabode-park,system,Multi-domain expansion.
ren:firstcapital:salesforce-fsc,Salesforce,Financial Services Cloud + Tableau,2027-03-31,6800000,20400000,Active,person:firstcapital:priya-mehta,system,CRM consolidation across LOBs.
ren:firstcapital:snowflake,Snowflake,Snowflake Enterprise Data Cloud,2027-03-31,7600000,22800000,Active,person:firstcapital:bjorn-ngangole,system,Compute spend growing rapidly.
ren:firstcapital:tsys-cards,TSYS,Card Issuing + Authorization,2027-09-30,12800000,51200000,Active,person:firstcapital:aalia-subramaniam,system,Cards platform; concentration risk.
ren:firstcapital:axiom-controllerview,Adenza (Nasdaq),AxiomSL ControllerView + Calypso,2027-06-30,9200000,27600000,Renegotiation,person:firstcapital:eleanora-ouellette-park,system,Adenza price increase post-Nasdaq acquisition; renegotiate.
ren:firstcapital:bloomberg-terminals,Bloomberg,Bloomberg Terminals + AIM,2026-12-31,8400000,16800000,Active,person:firstcapital:persephone-quinn-aboagye,system,Terminal count optimization; markets + treasury.
ren:firstcapital:fednow-volante,Volante Technologies,FedNow Gateway,2026-08-15,4800000,14400000,Active,person:firstcapital:kira-tanaka-riveras,system,Build phase; cutover 2026.
ren:firstcapital:nice-actimize,NICE Actimize,Fraud + AML Platform,2027-04-30,10000000,30000000,Renegotiation,person:firstcapital:saoirse-quintero,system,Expanding under OCC findings; consolidate Verafin pilot decision.
ren:firstcapital:crowdstrike-falcon,CrowdStrike,Falcon EDR,2027-06-30,5400000,16200000,Active,person:firstcapital:estela-pellegrini-bjornsdottir,system,Endpoint coverage; tiering strategy.
ren:firstcapital:palo-alto-firewalls,Palo Alto Networks,Firewalls + Prisma,2027-09-30,7800000,23400000,Active,person:firstcapital:felicity-marsh-aldea,system,FFIEC posture-driven.
ren:firstcapital:nfusion-mortgage,Black Knight,Mortgage Origination + Default,2026-09-30,9200000,18400000,Renegotiation,person:firstcapital:penelope-iglesias,system,Volume in rate environment; price re-cut.
ren:firstcapital:bny-pershing,BNY Pershing,Brokerage Clearing,2027-03-31,7800000,23400000,Active,person:firstcapital:cassius-wojcik-park,system,Wealth clearing; healthy.
ren:firstcapital:zscaler-zia,Zscaler,Zscaler Internet Access,2026-12-31,2600000,5200000,Active,person:firstcapital:felicity-marsh-aldea,system,SASE expansion.
ren:firstcapital:adobe-experience,Adobe,Experience Platform + Campaign,2026-12-31,4200000,8400000,Active,person:firstcapital:priya-mehta,system,Marketing CDP.
ren:firstcapital:databricks,Databricks,Lakehouse Platform,2027-06-30,4800000,14400000,Active,person:firstcapital:ramses-mwakikagile,system,MLOps + AI program enablement.
ren:firstcapital:hyland-ecm,Hyland,Alfresco ECM,2027-03-31,2400000,7200000,Active,person:firstcapital:reginald-hawthorne-bjornsson,system,Document management.
ren:firstcapital:cyberark-pam,CyberArk,Privileged Access,2026-09-30,2200000,4400000,Active,person:firstcapital:bilal-quintero-park,system,PAM.
ren:firstcapital:okta-workforce,Okta,Workforce Identity,2026-09-30,3800000,7600000,Active,person:firstcapital:bilal-quintero-park,system,Workforce SSO/MFA.
