Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
FIRSTCAPITAL-AIGOV-0001,FIRSTCAPITAL-INIT-0001,1,high,required,needed,needed,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0002,FIRSTCAPITAL-INIT-0002,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0003,FIRSTCAPITAL-INIT-0003,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0004,FIRSTCAPITAL-INIT-0004,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0005,FIRSTCAPITAL-INIT-0005,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0006,FIRSTCAPITAL-INIT-0006,6,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0007,FIRSTCAPITAL-INIT-0007,1,medium,required,active,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0008,FIRSTCAPITAL-INIT-0008,2,medium,defined,active,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0009,FIRSTCAPITAL-INIT-0009,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0010,FIRSTCAPITAL-INIT-0010,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0011,FIRSTCAPITAL-INIT-0011,5,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0012,FIRSTCAPITAL-INIT-0012,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0013,FIRSTCAPITAL-INIT-0013,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0014,FIRSTCAPITAL-INIT-0014,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0015,FIRSTCAPITAL-INIT-0015,3,medium,defined,active,active,industry and enterprise AI policy,blocked
FIRSTCAPITAL-AIGOV-0016,FIRSTCAPITAL-INIT-0016,4,high,required,active,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0017,FIRSTCAPITAL-INIT-0017,5,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
FIRSTCAPITAL-AIGOV-0018,FIRSTCAPITAL-INIT-0018,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
