Item_ID,Initiative_ID,Type,Description,Severity,Likelihood,Status,Owner,Due_Date,Mitigation
FIRSTCAPITAL-RAID-0001,FIRSTCAPITAL-INIT-0001,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,high,mitigating,CIO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0002,FIRSTCAPITAL-INIT-0002,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CFO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0003,FIRSTCAPITAL-INIT-0003,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,COO,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0004,FIRSTCAPITAL-INIT-0004,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CISO,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0005,FIRSTCAPITAL-INIT-0005,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,Business Sponsor,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0006,FIRSTCAPITAL-INIT-0006,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-12-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0007,FIRSTCAPITAL-INIT-0007,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,high,open,CFO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0008,FIRSTCAPITAL-INIT-0008,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,COO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0009,FIRSTCAPITAL-INIT-0009,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,CISO,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0010,FIRSTCAPITAL-INIT-0010,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,Business Sponsor,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0011,FIRSTCAPITAL-INIT-0011,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0012,FIRSTCAPITAL-INIT-0012,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CFO,2026-12-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0013,FIRSTCAPITAL-INIT-0013,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,high,mitigating,COO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0014,FIRSTCAPITAL-INIT-0014,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CISO,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0015,FIRSTCAPITAL-INIT-0015,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,Business Sponsor,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0016,FIRSTCAPITAL-INIT-0016,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,open,CIO,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0017,FIRSTCAPITAL-INIT-0017,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,mitigating,CFO,2026-11-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0018,FIRSTCAPITAL-INIT-0018,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,COO,2026-12-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0019,FIRSTCAPITAL-INIT-0019,issue,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,high,open,CISO,2026-07-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0020,FIRSTCAPITAL-INIT-0020,dependency,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,Business Sponsor,2026-08-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0021,FIRSTCAPITAL-INIT-0021,risk,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",high,medium,mitigating,CIO,2026-09-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
FIRSTCAPITAL-RAID-0022,FIRSTCAPITAL-INIT-0022,assumption,"Evidence gap, dependency, adoption drag, or control item that can block value claim.",medium,medium,open,CFO,2026-10-15,"Create named evidence owner, agree metric basis, resolve source lineage, and update steering decision."
