Metric_ID,Function,Owning_CXO,Metric_Name,Definition,Unit,Current_Value,Target_Value,Value_Stream_ID,Primary_Capability_ID
FIRSTCAPITAL-MET-0001,value_capture,CFO,First Capital Financial benefit realization against committed value metric 1,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,40.0,58.0,VS-001,CAP-001
FIRSTCAPITAL-MET-0002,cycle_time,COO,First Capital Financial elapsed time for target process metric 2,Tracks elapsed time for target process for the priority transformation portfolio.,percent,41.0,59.0,VS-002,CAP-002
FIRSTCAPITAL-MET-0003,risk_posture,CRO,First Capital Financial open control and governance pressure metric 3,Tracks open control and governance pressure for the priority transformation portfolio.,percent,42.0,60.0,VS-003,CAP-003
FIRSTCAPITAL-MET-0004,adoption,CIO,First Capital Financial active usage of changed workflow metric 4,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,43.0,61.0,VS-004,CAP-004
FIRSTCAPITAL-MET-0005,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 5,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,44.0,62.0,VS-005,CAP-005
FIRSTCAPITAL-MET-0006,value_capture,CFO,First Capital Financial benefit realization against committed value metric 6,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,45.0,63.0,VS-006,CAP-006
FIRSTCAPITAL-MET-0007,cycle_time,COO,First Capital Financial elapsed time for target process metric 7,Tracks elapsed time for target process for the priority transformation portfolio.,usd,46.0,64.0,VS-007,CAP-007
FIRSTCAPITAL-MET-0008,risk_posture,CRO,First Capital Financial open control and governance pressure metric 8,Tracks open control and governance pressure for the priority transformation portfolio.,percent,47.0,65.0,VS-008,CAP-008
FIRSTCAPITAL-MET-0009,adoption,CIO,First Capital Financial active usage of changed workflow metric 9,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,48.0,66.0,VS-009,CAP-009
FIRSTCAPITAL-MET-0010,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 10,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,49.0,67.0,VS-010,CAP-010
FIRSTCAPITAL-MET-0011,value_capture,CFO,First Capital Financial benefit realization against committed value metric 11,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,50.0,68.0,VS-011,CAP-011
FIRSTCAPITAL-MET-0012,cycle_time,COO,First Capital Financial elapsed time for target process metric 12,Tracks elapsed time for target process for the priority transformation portfolio.,percent,51.0,69.0,VS-012,CAP-012
FIRSTCAPITAL-MET-0013,risk_posture,CRO,First Capital Financial open control and governance pressure metric 13,Tracks open control and governance pressure for the priority transformation portfolio.,usd,52.0,70.0,VS-013,CAP-013
FIRSTCAPITAL-MET-0014,adoption,CIO,First Capital Financial active usage of changed workflow metric 14,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,53.0,71.0,VS-014,CAP-014
FIRSTCAPITAL-MET-0015,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 15,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,54.0,72.0,VS-015,CAP-015
FIRSTCAPITAL-MET-0016,value_capture,CFO,First Capital Financial benefit realization against committed value metric 16,Tracks benefit realization against committed value for the priority transformation portfolio.,usd,55.0,73.0,VS-016,CAP-016
FIRSTCAPITAL-MET-0017,cycle_time,COO,First Capital Financial elapsed time for target process metric 17,Tracks elapsed time for target process for the priority transformation portfolio.,percent,56.0,74.0,VS-001,CAP-017
FIRSTCAPITAL-MET-0018,risk_posture,CRO,First Capital Financial open control and governance pressure metric 18,Tracks open control and governance pressure for the priority transformation portfolio.,percent,57.0,75.0,VS-002,CAP-018
FIRSTCAPITAL-MET-0019,adoption,CIO,First Capital Financial active usage of changed workflow metric 19,Tracks active usage of changed workflow for the priority transformation portfolio.,usd,58.0,76.0,VS-003,CAP-019
FIRSTCAPITAL-MET-0020,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 20,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,percent,59.0,77.0,VS-004,CAP-020
FIRSTCAPITAL-MET-0021,value_capture,CFO,First Capital Financial benefit realization against committed value metric 21,Tracks benefit realization against committed value for the priority transformation portfolio.,percent,60.0,78.0,VS-005,CAP-021
FIRSTCAPITAL-MET-0022,cycle_time,COO,First Capital Financial elapsed time for target process metric 22,Tracks elapsed time for target process for the priority transformation portfolio.,usd,61.0,79.0,VS-006,CAP-022
FIRSTCAPITAL-MET-0023,risk_posture,CRO,First Capital Financial open control and governance pressure metric 23,Tracks open control and governance pressure for the priority transformation portfolio.,percent,62.0,80.0,VS-007,CAP-023
FIRSTCAPITAL-MET-0024,adoption,CIO,First Capital Financial active usage of changed workflow metric 24,Tracks active usage of changed workflow for the priority transformation portfolio.,percent,63.0,81.0,VS-008,CAP-024
FIRSTCAPITAL-MET-0025,cost_to_serve,CFO,First Capital Financial unit cost across served population or customer journey metric 25,Tracks unit cost across served population or customer journey for the priority transformation portfolio.,usd,64.0,82.0,VS-009,CAP-025
