claimId,tenantKey,claimType,claim,valueAsserted,assertingFiles,conflictState,authoritativeCandidate,allowedUse,blockedNarrative,recommendedNextEvidence,smeReviewer,status
APE-DUP-001,apex-retail,duplicate-truth-candidate,Canonical dimension 05_data_assets_integrations.csv exists in 2 roots,05_data_assets_integrations.csv=235 rows; 05_data_assets_integrations.csv=235 rows,datasets/tenant-inputs/active/apex-retail/current/05_data_assets_integrations.csv; datasets/tenant-inputs/candidates/apex-retail/gate-2-1-phase-d-v1/05_data_assets_integrations.csv,DIVERGENT_COPY,datasets/tenant-inputs/active/apex-retail/current/05_data_assets_integrations.csv,Do not quote either copy until reconciled; the non-active copy asserts different content.,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",,open
APE-DUP-002,apex-retail,duplicate-truth-candidate,Canonical dimension 14_metrics_outcomes.csv exists in 2 roots,14_metrics_outcomes.csv=108 rows; 14_metrics_outcomes.csv=108 rows,datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv; datasets/tenant-inputs/candidates/apex-retail/gate-2-1-phase-d-v1/14_metrics_outcomes.csv,DIVERGENT_COPY,datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv,Do not quote either copy until reconciled; the non-active copy asserts different content.,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",,open
APE-UNREG-003,apex-retail,unregistered-artifact-in-active-root,SA08_AI_Benefits_Realization_Usage_Ledger.csv sits in the active input root but is not in the template contract,SA08_AI_Benefits_Realization_Usage_Ledger.csv,datasets/tenant-inputs/active/apex-retail/current/SA08_AI_Benefits_Realization_Usage_Ledger.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
APE-UNREG-004,apex-retail,unregistered-artifact-in-active-root,SA09_AI_Tool_Usage_Feed.csv sits in the active input root but is not in the template contract,SA09_AI_Tool_Usage_Feed.csv,datasets/tenant-inputs/active/apex-retail/current/SA09_AI_Tool_Usage_Feed.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
APE-UNREG-005,apex-retail,unregistered-artifact-in-active-root,SA10_AI_Value_Interview_Evidence.csv sits in the active input root but is not in the template contract,SA10_AI_Value_Interview_Evidence.csv,datasets/tenant-inputs/active/apex-retail/current/SA10_AI_Value_Interview_Evidence.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
APE-UNREG-006,apex-retail,unregistered-artifact-in-active-root,SA11_AI_KPI_Operational_Outcome_Feed.csv sits in the active input root but is not in the template contract,SA11_AI_KPI_Operational_Outcome_Feed.csv,datasets/tenant-inputs/active/apex-retail/current/SA11_AI_KPI_Operational_Outcome_Feed.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
LAK-DUP-001,lakeshore-holdings,duplicate-truth-candidate,Canonical dimension 05_data_assets_integrations.csv exists in 2 roots,05_data_assets_integrations.csv=34 rows; 05_data_assets_integrations.csv=34 rows,datasets/tenant-inputs/active/lakeshore-holdings/current/05_data_assets_integrations.csv; datasets/tenant-inputs/candidates/lakeshore-holdings/gate-2-1-phase-d-v1/05_data_assets_integrations.csv,DIVERGENT_COPY,datasets/tenant-inputs/active/lakeshore-holdings/current/05_data_assets_integrations.csv,Do not quote either copy until reconciled; the non-active copy asserts different content.,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",,open
LAK-DUP-002,lakeshore-holdings,duplicate-truth-candidate,Canonical dimension 14_metrics_outcomes.csv exists in 2 roots,14_metrics_outcomes.csv=12 rows; 14_metrics_outcomes.csv=12 rows,datasets/tenant-inputs/active/lakeshore-holdings/current/14_metrics_outcomes.csv; datasets/tenant-inputs/candidates/lakeshore-holdings/gate-2-1-phase-d-v1/14_metrics_outcomes.csv,DIVERGENT_COPY,datasets/tenant-inputs/active/lakeshore-holdings/current/14_metrics_outcomes.csv,Do not quote either copy until reconciled; the non-active copy asserts different content.,Do not present figures from this dimension until the divergence is reconciled.,"declare a source-of-record root, then regenerate the other copy or retire it",,open
LAK-UNREG-003,lakeshore-holdings,unregistered-artifact-in-active-root,SA08_AI_Benefits_Realization_Usage_Ledger.csv sits in the active input root but is not in the template contract,SA08_AI_Benefits_Realization_Usage_Ledger.csv,datasets/tenant-inputs/active/lakeshore-holdings/current/SA08_AI_Benefits_Realization_Usage_Ledger.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
LAK-UNREG-004,lakeshore-holdings,unregistered-artifact-in-active-root,SA09_AI_Tool_Usage_Feed.csv sits in the active input root but is not in the template contract,SA09_AI_Tool_Usage_Feed.csv,datasets/tenant-inputs/active/lakeshore-holdings/current/SA09_AI_Tool_Usage_Feed.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
LAK-UNREG-005,lakeshore-holdings,unregistered-artifact-in-active-root,SA10_AI_Value_Interview_Evidence.csv sits in the active input root but is not in the template contract,SA10_AI_Value_Interview_Evidence.csv,datasets/tenant-inputs/active/lakeshore-holdings/current/SA10_AI_Value_Interview_Evidence.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
LAK-UNREG-006,lakeshore-holdings,unregistered-artifact-in-active-root,SA11_AI_KPI_Operational_Outcome_Feed.csv sits in the active input root but is not in the template contract,SA11_AI_KPI_Operational_Outcome_Feed.csv,datasets/tenant-inputs/active/lakeshore-holdings/current/SA11_AI_KPI_Operational_Outcome_Feed.csv,UNREGISTERED,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/template-manifest.json,Do not treat as a canonical dimension.,Do not load or project this file as canonical content.,declare it in the template contract or move it out of the active root,,open
