program_code,program_name,initiative_status,funding_status,linked_budget_record_ids,linked_budget_count,approved_funding_usd,result
PROG-DATA-FOUNDATION,Data Foundation / Lakehouse Modernization,active,approved,CHG-DATA-01;CHG-DATA-02;CHG-DATA-03;CHG-DATA-04;CHG-DATA-05;CHG-DATA-06,6,42500000,PASS
PROG-API-MOD,Integration / API Modernization,active,approved,CHG-INT-01;CHG-INT-02;CHG-INT-03;CHG-INT-04;CHG-INT-05,5,25800000,PASS
PROG-DEV-PRODUCTIVITY,Developer Productivity AI / SDLC Automation,active,approved,CHG-INT-06,1,2200000,PASS
PROG-PHI-IAM,Cybersecurity / Identity / PHI Control Uplift,active,approved,CHG-CYBER-01;CHG-CYBER-02;CHG-CYBER-03;CHG-CYBER-04;CHG-CYBER-05,5,24000000,PASS
PROG-EHR-CLIN,EHR / Clinical Analytics Modernization,active,approved,CHG-EHR-01;CHG-EHR-02;CHG-EHR-03;CHG-EHR-04;CHG-EHR-05,5,22000000,PASS
PROG-CONTACT-KNOW,Contact Center Platform / Knowledge Modernization,active,approved,CHG-MBR-01;CHG-MBR-02;CHG-MBR-03;CHG-MBR-04;CHG-MBR-05,5,16000000,PASS
PROG-FINOPS,Cloud Cost Governance / FinOps,active,approved,CHG-CLOUD-01;CHG-CLOUD-02;CHG-CLOUD-03;CHG-CLOUD-04,4,10000000,PASS
PROG-DATA-PRODUCT-OPS,Enterprise Data Product Operating Model,proposed,requested,CHG-OPM-01;CHG-OPM-02;CHG-OPM-03;CHG-OPM-04,4,0,PASS
PROG-AI-GOV,AI Governance / Model Risk Controls,active,approved,CHG-AIGOV-01;CHG-AIGOV-02;CHG-AIGOV-03;CHG-AIGOV-04,4,8000000,PASS
PROG-MSO,Managed Services Optimization,active,approved,RUN-MGS-01;RUN-MGS-02;RUN-MGS-03;RUN-MGS-04;RUN-MGS-05;RUN-MGS-06,6,125000000,PASS
PROG-COPILOT-ADOPT,Microsoft 365 Copilot Productivity Enablement,active,approved,RUN-WKPL-01;RUN-WKPL-04,2,21500000,PASS
PROG-SNOW-AI,ServiceNow AI / ITSM Automation Pilot,active,approved,RUN-MGS-05,1,12000000,PASS
PROG-WORKDAY-AI,Workday HR/Finance AI Workflow Pilot,active,approved,RUN-APP-06,1,1200000,PASS
PROG-AI-ASSIST-CANDIDATE,Member Service AI Assist Candidate,candidate,not_approved,,0,0,PASS
