initiative_id,quarter,committed_usd,projected_value_usd,basis
MR-01,2026Q1,2125000,4350000,portfolio finance workbook
MR-01,2026Q2,2150000,4350000,portfolio finance workbook
MR-01,2026Q3,2175000,4350000,portfolio finance workbook
MR-01,2026Q4,2200000,4350000,portfolio finance workbook
MR-02,2026Q1,1050000,2275000,portfolio finance workbook
MR-02,2026Q2,1075000,2275000,portfolio finance workbook
MR-02,2026Q3,1100000,2275000,portfolio finance workbook
MR-02,2026Q4,1125000,2275000,portfolio finance workbook
MR-03,2026Q1,1525000,3950000,portfolio finance workbook
MR-03,2026Q2,1550000,3950000,portfolio finance workbook
MR-03,2026Q3,1575000,3950000,portfolio finance workbook
MR-03,2026Q4,1600000,3950000,portfolio finance workbook
MR-04,2026Q1,950000,1975000,portfolio finance workbook
MR-04,2026Q2,975000,1975000,portfolio finance workbook
MR-04,2026Q3,1000000,1975000,portfolio finance workbook
MR-04,2026Q4,1025000,1975000,portfolio finance workbook
MR-05,2026Q1,1800000,3150000,portfolio finance workbook
MR-05,2026Q2,1825000,3150000,portfolio finance workbook
MR-05,2026Q3,1850000,3150000,portfolio finance workbook
MR-05,2026Q4,1875000,3150000,portfolio finance workbook
MR-06,2026Q1,1225000,1625000,portfolio finance workbook
MR-06,2026Q2,1250000,1625000,portfolio finance workbook
MR-06,2026Q3,1275000,1625000,portfolio finance workbook
MR-06,2026Q4,1300000,1625000,portfolio finance workbook
MR-07,2026Q1,2950000,3550000,portfolio finance workbook
MR-07,2026Q2,2975000,3550000,portfolio finance workbook
MR-07,2026Q3,3000000,3550000,portfolio finance workbook
MR-07,2026Q4,3025000,3550000,portfolio finance workbook
MR-08,2026Q1,900000,1775000,portfolio finance workbook
MR-08,2026Q2,925000,1775000,portfolio finance workbook
MR-08,2026Q3,950000,1775000,portfolio finance workbook
MR-08,2026Q4,975000,1775000,portfolio finance workbook
MR-09,2026Q1,1400000,3300000,portfolio finance workbook
MR-09,2026Q2,1425000,3300000,portfolio finance workbook
MR-09,2026Q3,1450000,3300000,portfolio finance workbook
MR-09,2026Q4,1475000,3300000,portfolio finance workbook
MR-10,2026Q1,675000,1275000,portfolio finance workbook
MR-10,2026Q2,700000,1275000,portfolio finance workbook
MR-10,2026Q3,725000,1275000,portfolio finance workbook
MR-10,2026Q4,750000,1275000,portfolio finance workbook
MR-11,2026Q1,800000,2050000,portfolio finance workbook
MR-11,2026Q2,825000,2050000,portfolio finance workbook
MR-11,2026Q3,850000,2050000,portfolio finance workbook
MR-11,2026Q4,875000,2050000,portfolio finance workbook
MR-12,2026Q1,1725000,2350000,portfolio finance workbook
MR-12,2026Q2,1750000,2350000,portfolio finance workbook
MR-12,2026Q3,1775000,2350000,portfolio finance workbook
MR-12,2026Q4,1800000,2350000,portfolio finance workbook
MR-13,2026Q1,525000,1075000,portfolio finance workbook
MR-13,2026Q2,550000,1075000,portfolio finance workbook
MR-13,2026Q3,575000,1075000,portfolio finance workbook
MR-13,2026Q4,600000,1075000,portfolio finance workbook
MR-14,2026Q1,625000,900000,portfolio finance workbook
