category,fiscal_year,amount_usd,basis
clinical_apps,FY24,19000000,actual
clinical_apps,FY25,20700000,actual
clinical_apps,FY26,22400000,budget
platform,FY24,22800000,actual
platform,FY25,24500000,actual
platform,FY26,26200000,budget
security,FY24,26600000,actual
security,FY25,28300000,actual
security,FY26,30000000,budget
data_ai,FY24,30400000,actual
data_ai,FY25,32100000,actual
data_ai,FY26,33800000,budget
corporate,FY24,34200000,actual
corporate,FY25,35900000,actual
corporate,FY26,37600000,budget
managed_services,FY24,38000000,actual
managed_services,FY25,39700000,actual
managed_services,FY26,41400000,budget
