vendor,renewal_date,annual_usd,pressure_window,negotiation_notes
Epic,2026-01-15,500000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Workday,2026-02-15,710000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Microsoft,2026-03-15,920000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Innovaccer,2026-04-15,1130000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Nuance/Microsoft,2026-05-15,1340000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Abridge,2026-06-15,1550000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Suki,2026-07-15,1760000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Augmedix,2026-08-15,1970000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Sectra,2026-09-15,2180000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Visage Imaging,2026-10-15,2390000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
GE Healthcare,2026-11-15,2600000,next_6_months,Renewal pressure seeded for Sentinel sourcing analysis.
Philips,2026-12-15,2810000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Tempus,2026-01-15,3020000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Optum,2026-02-15,3230000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Change Healthcare,2026-03-15,3440000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Symplr,2026-04-15,3650000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
QGenda,2026-05-15,3860000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
HealthStream,2026-06-15,4070000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Press Ganey,2026-07-15,4280000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Luma Health,2026-08-15,4490000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Twilio,2026-09-15,4700000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
ServiceNow,2026-10-15,4910000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Splunk,2026-11-15,5120000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
CrowdStrike,2026-12-15,5330000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Zscaler,2026-01-15,5540000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Okta,2026-02-15,5750000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
AWS,2026-03-15,5960000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Azure,2026-04-15,6170000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Confluent,2026-05-15,6380000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Cribl,2026-06-15,6590000,next_12_months,Renewal pressure seeded for Sentinel sourcing analysis.
Pure Storage,2026-07-15,6800000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Cisco,2026-08-15,7010000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
VMware,2026-09-15,7220000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Citrix,2026-10-15,7430000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Deloitte,2026-11-15,7640000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
KPMG,2026-12-15,7850000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Cognizant,2026-01-15,8060000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Pythian,2026-02-15,8270000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Tegria,2026-03-15,8480000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Caradigm,2026-04-15,8690000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Waystar,2026-05-15,8900000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Experian Health,2026-06-15,9110000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Phreesia,2026-07-15,9320000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Advarra,2026-08-15,9530000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
Roche,2026-09-15,9740000,next_18_months,Renewal pressure seeded for Sentinel sourcing analysis.
