app_id,fy25_actual_usd,fy26_budget_usd,cost_basis,owner
MR-APP-EPIC-HYPERSPACE,13000000,13455000,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-EPIC-HYPERDRIVE,6100000,6313500,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-EPIC-BEDROCK,5300000,5485500,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-EPIC-COSMOS,2700000,2862000,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-MYCHART,3700000,3922000,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-BEAKER,4600000,4761000,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-WILLOW,2100000,2173500,finance workbook allocation plus vendor contract mapping,Chief Pharmacy Officer
MR-APP-CUPID,600000,621000,finance workbook allocation plus vendor contract mapping,Chief Cardiologist
MR-APP-STORK,650000,672750,finance workbook allocation plus vendor contract mapping,Women and Children Service Line
MR-APP-ASAP,2450000,2535750,finance workbook allocation plus vendor contract mapping,COO
MR-APP-OPTIME,2050000,2121750,finance workbook allocation plus vendor contract mapping,COO
MR-APP-ANESTHESIA,200000,207000,finance workbook allocation plus vendor contract mapping,Chief Anesthesiologist
MR-APP-RADIANT,1150000,1190250,finance workbook allocation plus vendor contract mapping,Chief Radiologist
MR-APP-COGITO,3350000,3551000,finance workbook allocation plus vendor contract mapping,VP Data and AI
MR-APP-RESOLUTE-HB,2550000,2639250,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-RESOLUTE-PB,2150000,2225250,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-HEALTHY-PLANET,1850000,1961000,finance workbook allocation plus vendor contract mapping,VP Value Based Care
MR-APP-SECTRA-PACS,6450000,6675750,finance workbook allocation plus vendor contract mapping,Chief Radiologist
MR-APP-VISAGE-7,4450000,4717000,finance workbook allocation plus vendor contract mapping,Chief Radiologist
MR-APP-GE-MUSE,230000,238050,finance workbook allocation plus vendor contract mapping,Chief Cardiologist
MR-APP-SUNQUEST-MERCY,700000,724500,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-SUNQUEST-SUTTER,710000,734850,finance workbook allocation plus vendor contract mapping,CMIO
MR-APP-ALLSCRIPTS-MERCY,1150000,1190250,finance workbook allocation plus vendor contract mapping,COO
MR-APP-PARAGON,220000,227700,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-LAWSON-HCM,10000,10350,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-WORKDAY-FIN,6000000,6210000,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-WORKDAY-HCM,3300000,3415500,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-WORKDAY-SCM,1900000,1966500,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-M365-E5,8400000,8694000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-SERVICENOW,2800000,2898000,finance workbook allocation plus vendor contract mapping,CDIO
MR-APP-INNOVACCER,5200000,5512000,finance workbook allocation plus vendor contract mapping,VP Value Based Care
MR-APP-OPTUM-360,4600000,4761000,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-CHANGE-CHC,2000000,2070000,finance workbook allocation plus vendor contract mapping,CFO
MR-APP-PHREESIA,700000,724500,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-LUMA,1300000,1378000,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-PRESS-GANEY,340000,351900,finance workbook allocation plus vendor contract mapping,Chief Experience Officer
MR-APP-QGENDA,600000,636000,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-UKG-KRONOS,1450000,1500750,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-SYMPLR,280000,289800,finance workbook allocation plus vendor contract mapping,CMO
MR-APP-HEALTHSTREAM,160000,165600,finance workbook allocation plus vendor contract mapping,CHRO
MR-APP-ONCORE,440000,455400,finance workbook allocation plus vendor contract mapping,VP Research
MR-APP-REDCAP,-320000,-331200,finance workbook allocation plus vendor contract mapping,VP Research
MR-APP-TEMPUS,950000,1007000,finance workbook allocation plus vendor contract mapping,VP Research
