Benefit_ID,Initiative_ID,Linked_Metric_ID,Benefit_Type,Baseline,Target,Forecast,Realized_to_Date,Unit,Measurement_Method,Benefit_Owner,Realization_Status
LAKESHORE-BEN-0001,LAKESHORE-INIT-0001,LAKESHORE-MET-0001,run_cost,100,120,112,30,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
LAKESHORE-BEN-0002,LAKESHORE-INIT-0002,LAKESHORE-MET-0002,productivity,101,121,113,31,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0003,LAKESHORE-INIT-0003,LAKESHORE-MET-0003,productivity,102,122,114,32,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0004,LAKESHORE-INIT-0004,LAKESHORE-MET-0004,run_cost,103,123,115,33,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0005,LAKESHORE-INIT-0005,LAKESHORE-MET-0005,productivity,104,124,116,34,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0006,LAKESHORE-INIT-0006,LAKESHORE-MET-0006,productivity,105,125,117,35,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0007,LAKESHORE-INIT-0007,LAKESHORE-MET-0007,run_cost,106,126,118,36,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0008,LAKESHORE-INIT-0008,LAKESHORE-MET-0008,productivity,107,127,119,37,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
LAKESHORE-BEN-0009,LAKESHORE-INIT-0009,LAKESHORE-MET-0009,productivity,108,128,120,38,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0010,LAKESHORE-INIT-0010,LAKESHORE-MET-0010,run_cost,109,129,121,39,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0011,LAKESHORE-INIT-0011,LAKESHORE-MET-0011,productivity,110,130,122,40,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0012,LAKESHORE-INIT-0012,LAKESHORE-MET-0012,productivity,111,131,123,41,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0013,LAKESHORE-INIT-0013,LAKESHORE-MET-0013,run_cost,112,132,124,42,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0014,LAKESHORE-INIT-0014,LAKESHORE-MET-0014,productivity,113,133,125,43,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0015,LAKESHORE-INIT-0015,LAKESHORE-MET-0015,productivity,114,134,126,44,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
LAKESHORE-BEN-0016,LAKESHORE-INIT-0016,LAKESHORE-MET-0016,run_cost,115,135,127,45,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0017,LAKESHORE-INIT-0017,LAKESHORE-MET-0017,productivity,116,136,128,46,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0018,LAKESHORE-INIT-0018,LAKESHORE-MET-0018,productivity,117,137,129,47,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0019,LAKESHORE-INIT-0019,LAKESHORE-MET-0019,run_cost,118,138,130,48,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0020,LAKESHORE-INIT-0020,LAKESHORE-MET-0020,productivity,119,139,131,49,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0021,LAKESHORE-INIT-0021,LAKESHORE-MET-0021,productivity,120,140,132,50,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0022,LAKESHORE-INIT-0022,LAKESHORE-MET-0022,run_cost,121,141,133,51,usd_m,finance attestation plus source-system telemetry,Transformation Finance,blocked
LAKESHORE-BEN-0023,LAKESHORE-INIT-0023,LAKESHORE-MET-0023,productivity,122,142,134,52,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0024,LAKESHORE-INIT-0024,LAKESHORE-MET-0024,productivity,123,143,135,53,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0025,LAKESHORE-INIT-0025,LAKESHORE-MET-0025,run_cost,124,144,136,54,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0026,LAKESHORE-INIT-0026,LAKESHORE-MET-0026,productivity,125,145,137,55,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0027,LAKESHORE-INIT-0027,LAKESHORE-MET-0027,productivity,126,146,138,56,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0028,LAKESHORE-INIT-0028,LAKESHORE-MET-0028,run_cost,127,147,139,57,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0029,LAKESHORE-INIT-0029,LAKESHORE-MET-0029,productivity,128,148,140,58,percent,finance attestation plus source-system telemetry,Transformation Finance,blocked
LAKESHORE-BEN-0030,LAKESHORE-INIT-0030,LAKESHORE-MET-0030,productivity,129,149,141,30,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0031,LAKESHORE-INIT-0031,LAKESHORE-MET-0031,run_cost,130,150,142,31,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0032,LAKESHORE-INIT-0032,LAKESHORE-MET-0032,productivity,100,151,143,32,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0033,LAKESHORE-INIT-0033,LAKESHORE-MET-0033,productivity,101,152,144,33,percent,finance attestation plus source-system telemetry,Transformation Finance,tracking
LAKESHORE-BEN-0034,LAKESHORE-INIT-0034,LAKESHORE-MET-0034,run_cost,102,153,145,34,usd_m,finance attestation plus source-system telemetry,Transformation Finance,tracking
