function_id,function_name,executive_owner_role,head_count,description
MER-BF-001,Ambulatory and Primary Care,Chief Medical Officer,18500,"Primary care, clinics, care-team workflows, MyChart adoption"
MER-BF-002,Hospital Operations,Chief Operating Officer,22200,"Acute facilities, perioperative, bed management, transfer center"
MER-BF-003,Health Plan Operations,Chief Health Plan Officer,6200,"Membership, claims, prior auth, utilization management, provider network"
MER-BF-004,Pharmacy Services,Chief Pharmacy Officer,3700,"Retail/specialty pharmacy, PBM interfaces, medication adherence"
MER-BF-005,Revenue Cycle and Coding,VP Revenue Cycle,5100,"Registration, charge capture, coding, denials, payment posting"
MER-BF-006,Member and Patient Contact Center,Chief Customer Experience Officer,4200,"Scheduling, claims questions, benefits, care navigation"
MER-BF-007,"Quality, STAR and HEDIS",Chief Quality Officer,1250,"Clinical quality, HEDIS, STAR, attribution, provider performance"
MER-BF-008,Finance and Actuarial,CFO,1800,"GL, FP&A, capitation, cost-of-care, product margin"
MER-BF-009,Population Health and VBC,SVP Population Health,1600,"Risk stratification, care gaps, chronic disease panels"
MER-BF-010,"Data, Analytics and AI",Chief Data Officer,980,"Enterprise analytics, ML, semantic layer, data governance"
MER-BF-011,"Cybersecurity, Privacy and Compliance",CISO,760,"HIPAA, HITRUST, SOC, third-party risk, model governance"
MER-BF-012,Digital and IT,Chief Digital & Information Officer,6100,"EHR, payer core, cloud migration, applications, service management"
MER-BF-013,Provider Network Management,Chief Network Officer,910,"Contracts, credentialing, network adequacy, provider benchmarking"
MER-BF-014,Clinical Informatics,Chief Clinical Informatics Officer,640,"Epic optimization, clinical decision support, safety review"
MER-BF-015,Enterprise Transformation Office,Chief Strategy Officer,430,"Databricks on AWS migration, automation portfolio, value office"
