dimension_key,dimension_name,column_ordinal,column_name,client_field,required_level,allowed_format,client_instruction,example_value,module_use
v7_00_portfolio_entity_registry,Portfolio Entity Registry,1,tenant_key,Tenant Key,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,lakeshore-industries,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,2,entity_id,Entity Id,Required for holdco clients,Text,Use the stable ID from V7_00_portfolio_entity_registry. Do not type a display name in this field.,LSH-HOLDCO,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,3,entity_name,Entity Name,Required for holdco clients,Text,Use the exact portfolio company or holdco name from the entity registry.,Lakeshore Holdings,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,4,entity_short_name,Entity Short Name,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Lakeshore,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,5,entity_type,Entity Type,Required,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,holding_company,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,6,entity_scope,Entity Scope,Required for holdco clients,Text,"Classify as holdco, portfolio_company, shared_services, business_unit, region, or site.",holdco,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,7,parent_entity_id,Parent Entity Id,Required for holdco clients,Text,Use the parent entity ID. For operating companies this should be the holdco ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,8,parent_entity_name,Parent Entity Name,Required for holdco clients,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,,"Home, Intelligence, Tower, Moves, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,9,revenue_usd,Revenue Usd,Required,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",7120000000,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,10,employee_count,Employee Count,Required,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,11800,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,11,corporate_it_budget_usd,Corporate It Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",36500000,"Home, Tower, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,12,opco_local_technology_budget_usd,Opco Local Technology Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",154100000,"Home, Tower, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,13,total_direct_technology_budget_usd,Total Direct Technology Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",190600000,"Home, Tower, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,14,ai_data_budget_usd,Ai Data Budget Usd,Recommended,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",11800000,"Home, Tower, Source"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,15,headquarters,Headquarters,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Chicago, IL","Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,16,industry,Industry,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Industrial holding company,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,17,sub_industry,Sub Industry,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,"Diversified industrial, supply chain, foodservice, packaging, field services","Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,18,business_model,Business Model,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,Portfolio company rollup with corporate shared services and OpCo-led operations,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,19,cxo_sponsor,Cxo Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,Corporate CIO,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,20,finance_sponsor,Finance Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,CFO,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,21,innovation_sponsor,Innovation Sponsor,Recommended,Text,Use a business-readable role or title that an executive would recognize.,VP Innovation,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,22,currency,Currency,Recommended,Text,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,USD,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,23,revenue_period_label,Revenue Period Label,Required,Number,"Enter raw USD numbers, not text like $1.2M. The product formats units for display.",FY2025,"Home, Intelligence"
v7_00_portfolio_entity_registry,Portfolio Entity Registry,24,employee_count_basis,Employee Count Basis,Required,Number,Provide a business-readable value. Avoid internal IDs unless the field explicitly asks for an ID.,headcount,"Home, Intelligence"
