role,schema,usage,select,insert,update,delete,execute,default_privileges
hc_demo_new_admin,source_registry,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,evidence,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,working,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,knowledge,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,metrics,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,governance,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,publication,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,consumption,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,audit,yes,yes,yes,yes,yes,yes,all
hc_demo_new_admin,operations,yes,yes,yes,yes,yes,yes,all
hc_demo_new_ingest,source_registry,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_ingest,evidence,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_ingest,working,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_ingest,operations,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_reviewer,working,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_reviewer,governance,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_reviewer,operations,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_publisher,knowledge,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_publisher,metrics,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_publisher,publication,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_publisher,consumption,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_publisher,operations,yes,yes,yes,yes,no,limited,select_insert_update
hc_demo_new_reader,knowledge,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_reader,metrics,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_reader,publication,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_reader,consumption,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,knowledge,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,metrics,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,publication,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,consumption,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,governance,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,evidence,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,audit,yes,yes,no,no,no,limited_read,select_only
hc_demo_new_evaluator,operations,yes,yes,no,no,no,limited_read,select_only
