schema,table,tenant_column,rls_required,policy_name,accepted_states_visible_to_reader,writer_role,reader_role,evaluator_role,boundary
operations,job_run,tenant_key,yes,hcdn_operations_job_run_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
operations,backfill_queue,tenant_key,yes,hcdn_operations_backfill_queue_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
source_registry,source,tenant_key,yes,hcdn_source_registry_source_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
source_registry,source_version,tenant_key,yes,hcdn_source_registry_source_version_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
source_registry,source_manifest,tenant_key,yes,hcdn_source_registry_source_manifest_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
evidence,evidence_item,tenant_key,yes,hcdn_evidence_evidence_item_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,runtime_denied_hidden_truth
working,entity_candidate,tenant_key,yes,hcdn_working_entity_candidate_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,fact_candidate,tenant_key,yes,hcdn_working_fact_candidate_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,relationship_candidate,tenant_key,yes,hcdn_working_relationship_candidate_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,metric_candidate,tenant_key,yes,hcdn_working_metric_candidate_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,entity_resolution_candidate,tenant_key,yes,hcdn_working_entity_resolution_candidate_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,normalization_result,tenant_key,yes,hcdn_working_normalization_result_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
working,quarantine_item,tenant_key,yes,hcdn_working_quarantine_item_tenant_policy,not_visible,hc_demo_new_ingest,hc_demo_new_reader,hc_demo_new_evaluator,reader_denied_candidates
knowledge,entity,tenant_key,yes,hcdn_knowledge_entity_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
knowledge,fact_assertion,tenant_key,yes,hcdn_knowledge_fact_assertion_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
knowledge,relationship_assertion,tenant_key,yes,hcdn_knowledge_relationship_assertion_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
metrics,metric_definition,tenant_key,yes,hcdn_metrics_metric_definition_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
metrics,metric_observation,tenant_key,yes,hcdn_metrics_metric_observation_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
metrics,metric_target,tenant_key,yes,hcdn_metrics_metric_target_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,review_batch,tenant_key,yes,hcdn_governance_review_batch_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,review_batch_approval,tenant_key,yes,hcdn_governance_review_batch_approval_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,review_decision,tenant_key,yes,hcdn_governance_review_decision_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,authority_transition,tenant_key,yes,hcdn_governance_authority_transition_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,knowledge_gap,tenant_key,yes,hcdn_governance_knowledge_gap_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,knowledge_conflict,tenant_key,yes,hcdn_governance_knowledge_conflict_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,completion_work_item,tenant_key,yes,hcdn_governance_completion_work_item_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
governance,supersession_record,tenant_key,yes,hcdn_governance_supersession_record_tenant_policy,not_visible,hc_demo_new_reviewer,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
publication,domain_publication,tenant_key,yes,hcdn_publication_domain_publication_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
publication,knowledge_baseline,tenant_key,yes,hcdn_publication_knowledge_baseline_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
publication,publication_activation,tenant_key,yes,hcdn_publication_publication_activation_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_publisher,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,enterprise_brief,tenant_key,yes,hcdn_consumption_enterprise_brief_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,domain_overview,tenant_key,yes,hcdn_consumption_domain_overview_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,entity_inventory,tenant_key,yes,hcdn_consumption_entity_inventory_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,entity_detail,tenant_key,yes,hcdn_consumption_entity_detail_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_projection,tenant_key,yes,hcdn_consumption_relationship_projection_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_node_v1,tenant_key,yes,hcdn_consumption_relationship_node_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_edge_v1,tenant_key,yes,hcdn_consumption_relationship_edge_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_graph_v1,tenant_key,yes,hcdn_consumption_relationship_graph_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_evidence_v1,tenant_key,yes,hcdn_consumption_relationship_evidence_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,relationship_query_index_v1,tenant_key,yes,hcdn_consumption_relationship_query_index_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,entity_impact_summary_v1,tenant_key,yes,hcdn_consumption_entity_impact_summary_v1_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,metric_projection,tenant_key,yes,hcdn_consumption_metric_projection_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,evidence_gap_projection,tenant_key,yes,hcdn_consumption_evidence_gap_projection_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,strategic_insight,tenant_key,yes,hcdn_consumption_strategic_insight_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,executive_perspective,tenant_key,yes,hcdn_consumption_executive_perspective_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,industry_assessment,tenant_key,yes,hcdn_consumption_industry_assessment_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,search_document,tenant_key,yes,hcdn_consumption_search_document_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
consumption,module_packet_projection,tenant_key,yes,hcdn_consumption_module_packet_projection_tenant_policy,"accepted,planning_grade,published,built,activated",hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
audit,change_event,tenant_key,yes,hcdn_audit_change_event_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
audit,access_event,tenant_key,yes,hcdn_audit_access_event_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
audit,model_execution,tenant_key,yes,hcdn_audit_model_execution_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
audit,rule_execution,tenant_key,yes,hcdn_audit_rule_execution_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
audit,publication_lineage,tenant_key,yes,hcdn_audit_publication_lineage_tenant_policy,not_visible,hc_demo_new_admin,hc_demo_new_reader,hc_demo_new_evaluator,tenant_scoped
