tenant_key,ai_asset_id,ai_asset_name,asset_type,business_area,business_function,owner_role,tool_or_model,parent_system_id,stage,status,monthly_users_or_cases,monthly_users,risk_tier,regulated_workflow,approved_data_scope,approval_status,model_risk_status,measured_value_usd,evidence_id,evidence_status,next_gate,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
apex-retail,APX-AI-001,Retail lakehouse and customer inventory graph,,Data and AI,,Chief Data Officer,Databricks ML,,,,,120,high,,,review_required,,not_loaded,APX-EVID-001,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,2,tenant_file,
apex-retail,APX-AI-002,AI demand forecasting and replenishment,,Merchandising,,Chief Merchandising Officer,Azure OpenAI,,,,,205,medium,,,approved_pilot,,not_loaded,APX-EVID-002,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,3,tenant_file,
apex-retail,APX-AI-003,Store labor scheduling optimization,,Store Operations,,COO,AWS Bedrock,,,,,290,medium,,,approved_pilot,,not_loaded,APX-EVID-003,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,4,tenant_file,
apex-retail,APX-AI-004,Shrink anomaly detection,,Loss Prevention,,Chief Risk Officer,ServiceNow Now Assist,,,,,375,medium,,,approved_pilot,,not_loaded,APX-EVID-004,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,5,tenant_file,
apex-retail,APX-AI-005,Search and personalization AI,,Digital Commerce,,Chief Digital Officer,Copilot,,,,,460,high,,,approved_pilot,,not_loaded,APX-EVID-005,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,6,tenant_file,
apex-retail,APX-AI-006,Retail media measurement clean room,,Marketing,,Chief Marketing Officer,Claude Code,,,,,545,medium,,,review_required,,not_loaded,APX-EVID-006,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,7,tenant_file,
apex-retail,APX-AI-007,BOPIS exception prediction,,Omnichannel Fulfillment,,Chief Supply Chain Officer,Databricks ML,,,,,630,medium,,,approved_pilot,,not_loaded,APX-EVID-007,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,8,tenant_file,
apex-retail,APX-AI-008,Returns fraud triage,,Risk,,Chief Risk Officer,Azure OpenAI,,,,,715,medium,,,approved_pilot,,not_loaded,APX-EVID-008,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,9,tenant_file,
apex-retail,APX-AI-009,Finance margin bridge automation,,Finance,,CFO,AWS Bedrock,,,,,800,high,,,approved_pilot,,not_loaded,APX-EVID-009,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,10,tenant_file,
apex-retail,APX-AI-010,ServiceNow store support agent,,IT Operations,,VP IT Operations,ServiceNow Now Assist,,,,,885,medium,,,approved_pilot,,not_loaded,APX-EVID-010,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,11,tenant_file,
apex-retail,APX-AI-011,Assortment localization copilot,,Merchandising,,Chief Merchandising Officer,Copilot,,,,,970,medium,,,review_required,,not_loaded,APX-EVID-011,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,12,tenant_file,
apex-retail,APX-AI-012,Store associate task assistant,,Store Operations,,COO,Claude Code,,,,,1055,medium,,,approved_pilot,,not_loaded,APX-EVID-012,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,13,tenant_file,
apex-retail,APX-AI-013,Supply chain ETA and carrier exception AI,,Supply Chain,,Chief Supply Chain Officer,Databricks ML,,,,,1140,high,,,approved_pilot,,not_loaded,APX-EVID-013,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,14,tenant_file,
apex-retail,APX-AI-014,AI code productivity program,,Technology,,CIO,Azure OpenAI,,,,,1225,medium,,,approved_pilot,,not_loaded,APX-EVID-014,,,none,value,,forecast,fy26,not_loaded,tower_standardized_v1,family-6-governance-ai-evidence/F17_ai-automation-footprint.csv,15,tenant_file,
