tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,persona_id,persona_name,business_area,population_count,ai_relevance,work_context
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-001,Store manager,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-001,Store manager,Store Operations,1840,data_thin:ai_relevance_missing,"labor, inventory, shrink, service"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-002,Department lead,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-002,Department lead,Store Operations,14800,data_thin:ai_relevance_missing,"tasking, replenishment, service"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-003,Merchandise planner,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-003,Merchandise planner,Merchandising,940,data_thin:ai_relevance_missing,"assortment, demand, markdowns"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-004,Supply chain planner,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-004,Supply chain planner,Supply Chain,720,data_thin:ai_relevance_missing,"forecasting, allocation, constraints"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-005,Ecommerce product manager,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-005,Ecommerce product manager,Digital,410,data_thin:ai_relevance_missing,"conversion, search, checkout"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-006,Loyalty marketer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-006,Loyalty marketer,Marketing,360,data_thin:ai_relevance_missing,"segments, offers, retail media"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-007,Loss prevention analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-007,Loss prevention analyst,Risk,520,data_thin:ai_relevance_missing,"shrink, fraud, exception reporting"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-008,Finance analyst,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-008,Finance analyst,Finance,680,data_thin:ai_relevance_missing,"margin, close, vendor funding"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-009,Data engineer,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-009,Data engineer,Data and AI,520,data_thin:ai_relevance_missing,"lakehouse, POS, clickstream, inventory"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-010,Contact center agent,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-010,Contact center agent,Customer Care,2100,data_thin:ai_relevance_missing,"order status, returns, loyalty"
apex-retail,Retail Demo,v6.0,workforce_persona,APX-PER-011,Store associate,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,D19-personas-workforce/D19_personas-workforce.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Tower,adoption|productivity|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing|data_thin:ai_relevance_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-PER-011,Store associate,Store Operations,128000,data_thin:ai_relevance_missing,"selling, service, fulfillment"
