tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,data_asset_id,data_asset_name,data_owner,system_of_record,lineage,consumers,quality_score,governance_status
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-001,POS transaction lake,v4_synthetic_pack,APX-IT-007,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-001,POS transaction lake,APX-IT-007,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,partial_lineage
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-002,Customer 360 / loyalty graph,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-002,Customer 360 / loyalty graph,APX-IT-005,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,identity_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-003,Inventory availability product,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-003,Inventory availability product,APX-IT-004,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,store_accuracy_gaps
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-004,Clickstream and search telemetry,v4_synthetic_pack,APX-IT-002,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-004,Clickstream and search telemetry,APX-IT-002,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,bronze,consent_review
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-005,Shrink and exception analytics,v4_synthetic_pack,APX-IT-009,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-005,Shrink and exception analytics,APX-IT-009,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,camera_pos_link_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-006,Supply chain visibility mart,v4_synthetic_pack,APX-IT-004,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-006,Supply chain visibility mart,APX-IT-004,Merchandising,Merchandising -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,carrier_api_variance
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-007,Merchandise planning cube,v4_synthetic_pack,APX-IT-003,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-007,Merchandise planning cube,APX-IT-003,Order Management,Order Management -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,gold,manual_overrides
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-008,Labor productivity mart,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-008,Labor productivity mart,APX-IT-006,Store POS,Store POS -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,workday_ukg_join
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-009,Vendor funding and margin mart,v4_synthetic_pack,APX-IT-006,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-009,Vendor funding and margin mart,APX-IT-006,Inventory,Inventory -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,rebate_lineage_gap
apex-retail,Retail Demo,v6.0,data_asset_integration,APX-DATA-010,Retail media performance mart,v4_synthetic_pack,APX-IT-005,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APX-DATA-010,Retail media performance mart,APX-IT-005,Loyalty,Loyalty -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,clean_room_dependency
apex-retail,Retail Demo,v6.0,data_asset_integration,APEXRETAIL-DATA-0011,POS transaction lake / expansion 1,v4_synthetic_pack,APX-IT-007,synthetic_demo,family-3-data-connectivity/F09_data-analytics-estate.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower,data_readiness|lineage|quality|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,APEXRETAIL-DATA-0011,POS transaction lake / expansion 1,APX-IT-007,Pricing,Pricing -> integration layer -> governed analytics consumption,Operations leadership; Finance; Technology; AI governance,silver,partial_lineage
