tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,evidence_id,evidence_title,evidence_type,source_location,evidence_owner,evidence_confidence
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-001,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-001,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,review_required,section-1,APX-INIT-001,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-002,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-002,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-2,APX-INIT-002,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-003,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-003,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-3,APX-INIT-003,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-004,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-004,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-4,APX-INIT-004,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-005,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-005,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-5,APX-INIT-005,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-006,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-006,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,review_required,section-6,APX-INIT-006,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-007,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-007,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-7,APX-INIT-007,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-008,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-008,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-8,APX-INIT-008,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-009,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-009,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-9,APX-INIT-009,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-010,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-010,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,approved,section-10,APX-INIT-010,medium
apex-retail,Apex Retail Group,v6.0,evidence_source,APX-INIT-011,evidence_source record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,ai-control-tower/T10_evidence-items.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves|Source,citation|source_lineage|confidence|gap,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-EVID-011,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,review_required,section-11,APX-INIT-011,medium
