tenantKey,workstreamId,workstreamName,typicalOwners,canonicalTargets,targetsPresentInActiveRoot,targetsPopulated,targetsSchemaConformant,targetsDeclared,dataRowsAcrossTargets,coverageState,schemaConformance,missingTargets,offContractTargets,smeValidationFocus,smeValidationStatus,allowedUse
meridian-health,WS01,Enterprise Strategy and Operating Model,CEO strategy; COO; CIO; enterprise transformation,00_enterprise_profile.csv; 01_business_functions.csv; 09_programs_initiatives.csv; 15_industry_context_patterns.csv,4,4,0,4,493,partial,4 target(s) off-contract,,00_enterprise_profile.csv (-8 cols); 01_business_functions.csv (-13 cols); 09_programs_initiatives.csv (-15 cols); 15_industry_context_patterns.csv (-9 cols),"Confirm business model, capability labels, strategic priorities, and which generated profiles match client language.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS02,"Organization, Workforce, and Decision Rights",HR; COO; CIO leadership; business operations,02_org_ownership.csv; 03_workforce_roles.csv; 01_business_functions.csv; 12_relationships.csv,4,4,1,4,1714,partial,3 target(s) off-contract,,02_org_ownership.csv (-12 cols); 03_workforce_roles.csv (-12 cols); 01_business_functions.csv (-13 cols),"Confirm owners, decision rights, role counts, business-line segmentation, and accountable reviewers.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS03,"Applications, Infrastructure, and Architecture",enterprise architecture; application owners; IT operations; CMDB owners,04_applications_systems.csv; 06_infrastructure_platforms.csv; 12_relationships.csv; 13_evidence_sources.csv,4,4,1,4,1801,partial,3 target(s) off-contract,,04_applications_systems.csv (-17 cols); 06_infrastructure_platforms.csv (-13 cols); 13_evidence_sources.csv (-10 cols),"Confirm current-state systems, hosting, owners, lifecycle, integrations, and whether generated capability profiles include the right systems.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS04,"Data, Integration, and Analytics",CDAO; data engineering; integration teams; BI owners; AI platform owners,05_data_assets_integrations.csv; 06_infrastructure_platforms.csv; 10_ai_automation_use_cases.csv; 12_relationships.csv; 13_evidence_sources.csv,5,5,1,5,2053,partial,4 target(s) off-contract,,05_data_assets_integrations.csv (-15 cols); 06_infrastructure_platforms.csv (-13 cols); 10_ai_automation_use_cases.csv (-12 cols); 13_evidence_sources.csv (-10 cols),"Confirm source systems, data domains, refresh frequency, semantic layer readiness, AI platform state, and lineage gaps.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS05,"Vendors, Contracts, and Procurement",procurement; vendor management; legal; contract owners,07_vendors_contracts.csv; 08_spend_value.csv; 11_risks_controls.csv; 17_service_scope_managed_services.csv; 12_relationships.csv; 13_evidence_sources.csv,6,6,1,6,2551,partial,5 target(s) off-contract,,07_vendors_contracts.csv (-16 cols); 08_it_budget_spend_value.csv (-11 cols); 11_risks_controls.csv (-13 cols); 17_managed_services_scope.csv (-12 cols); 13_evidence_sources.csv (-10 cols),"Confirm vendor/contract ownership, supported systems/functions, renewal terms, risk, spend basis, and Source readiness.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS06,"Finance, Spend, and Value",CFO; FP&A; AP; procurement finance; IT finance,08_spend_value.csv; 14_metrics_outcomes.csv; 09_programs_initiatives.csv; 07_vendors_contracts.csv; 13_evidence_sources.csv,5,5,0,5,1550,partial,5 target(s) off-contract,,08_it_budget_spend_value.csv (-11 cols); 14_metrics_outcomes.csv (-11 cols); 09_programs_initiatives.csv (-15 cols); 07_vendors_contracts.csv (-16 cols); 13_evidence_sources.csv (-10 cols),"Confirm source-of-record, calculation basis, finance attestation, KPI baselines, and blocked value claims.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS07,"Programs, Portfolio, and Change",PMO; transformation office; program sponsors; change management,09_programs_initiatives.csv; 10_ai_automation_use_cases.csv; 14_metrics_outcomes.csv; 11_risks_controls.csv; 12_relationships.csv,5,5,1,5,2050,partial,4 target(s) off-contract,,09_programs_initiatives.csv (-15 cols); 10_ai_automation_use_cases.csv (-12 cols); 14_metrics_outcomes.csv (-11 cols); 11_risks_controls.csv (-13 cols),"Confirm objectives, sponsors, phase, funding, dependencies, benefit evidence, and whether a Move is planning-ready.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS08,"Risk, Security, Controls, and Compliance",CISO; risk; audit; compliance; privacy/legal,11_risks_controls.csv; 18_operational_process_evidence.csv; 14_metrics_outcomes.csv; 04_applications_systems.csv; 13_evidence_sources.csv,5,5,0,5,1483,partial,5 target(s) off-contract,,11_risks_controls.csv (-13 cols); 18_operational_process_evidence.csv (-12 cols); 14_metrics_outcomes.csv (-11 cols); 04_applications_systems.csv (-17 cols); 13_evidence_sources.csv (-10 cols),"Confirm control ownership, blocked claims, risk severity, policy constraints, and evidence required before production use.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS09,"Operations, KPIs, and Process Evidence",COO; process owners; service management; business operations,18_operational_process_evidence.csv; 14_metrics_outcomes.csv; 17_service_scope_managed_services.csv; 01_business_functions.csv; 12_relationships.csv,5,5,1,5,1978,partial,4 target(s) off-contract,,18_operational_process_evidence.csv (-12 cols); 14_metrics_outcomes.csv (-11 cols); 17_managed_services_scope.csv (-12 cols); 01_business_functions.csv (-13 cols),"Confirm KPI definitions, baselines, process ownership, operational evidence, and whether issues are fair/current.",not_reviewed,internal_audit_and_gap_analysis_only
meridian-health,WS10,"Interviews, Questionnaires, and Executive Signals",sponsor; discovery lead; executive SMEs; functional SMEs,13_evidence_sources.csv; 16_expert_lenses.csv; 12_relationships.csv,3,3,1,3,1552,partial,2 target(s) off-contract,,13_evidence_sources.csv (-10 cols); 16_expert_lenses.csv (-9 cols),"Confirm interview-only signals, caveats, evidence requests, and what cannot become deterministic truth yet.",not_reviewed,internal_audit_and_gap_analysis_only
