tenantKey,workstreamId,workstreamName,typicalOwners,canonicalTargets,targetsPresentInActiveRoot,targetsPopulated,targetsSchemaConformant,targetsDeclared,dataRowsAcrossTargets,coverageState,schemaConformance,missingTargets,offContractTargets,smeValidationFocus,smeValidationStatus,allowedUse
skyharbor-air,WS01,Enterprise Strategy and Operating Model,CEO strategy; COO; CIO; enterprise transformation,00_enterprise_profile.csv; 01_business_functions.csv; 09_programs_initiatives.csv; 15_industry_context_patterns.csv,4,4,4,4,53,covered,conformant,,,"Confirm business model, capability labels, strategic priorities, and which generated profiles match client language.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS02,"Organization, Workforce, and Decision Rights",HR; COO; CIO leadership; business operations,02_org_ownership.csv; 03_workforce_roles.csv; 01_business_functions.csv; 12_relationships.csv,4,4,4,4,3169,covered,conformant,,,"Confirm owners, decision rights, role counts, business-line segmentation, and accountable reviewers.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS03,"Applications, Infrastructure, and Architecture",enterprise architecture; application owners; IT operations; CMDB owners,04_applications_systems.csv; 06_infrastructure_platforms.csv; 12_relationships.csv; 13_evidence_sources.csv,4,4,4,4,3629,covered,conformant,,,"Confirm current-state systems, hosting, owners, lifecycle, integrations, and whether generated capability profiles include the right systems.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS04,"Data, Integration, and Analytics",CDAO; data engineering; integration teams; BI owners; AI platform owners,05_data_assets_integrations.csv; 06_infrastructure_platforms.csv; 10_ai_automation_use_cases.csv; 12_relationships.csv; 13_evidence_sources.csv,5,5,5,5,3638,covered,conformant,,,"Confirm source systems, data domains, refresh frequency, semantic layer readiness, AI platform state, and lineage gaps.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS05,"Vendors, Contracts, and Procurement",procurement; vendor management; legal; contract owners,07_vendors_contracts.csv; 08_spend_value.csv; 11_risks_controls.csv; 17_service_scope_managed_services.csv; 12_relationships.csv; 13_evidence_sources.csv,6,6,6,6,3233,covered,conformant,,,"Confirm vendor/contract ownership, supported systems/functions, renewal terms, risk, spend basis, and Source readiness.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS06,"Finance, Spend, and Value",CFO; FP&A; AP; procurement finance; IT finance,08_spend_value.csv; 14_metrics_outcomes.csv; 09_programs_initiatives.csv; 07_vendors_contracts.csv; 13_evidence_sources.csv,5,5,5,5,153,covered,conformant,,,"Confirm source-of-record, calculation basis, finance attestation, KPI baselines, and blocked value claims.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS07,"Programs, Portfolio, and Change",PMO; transformation office; program sponsors; change management,09_programs_initiatives.csv; 10_ai_automation_use_cases.csv; 14_metrics_outcomes.csv; 11_risks_controls.csv; 12_relationships.csv,5,5,5,5,3174,covered,conformant,,,"Confirm objectives, sponsors, phase, funding, dependencies, benefit evidence, and whether a Move is planning-ready.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS08,"Risk, Security, Controls, and Compliance",CISO; risk; audit; compliance; privacy/legal,11_risks_controls.csv; 18_operational_process_evidence.csv; 14_metrics_outcomes.csv; 04_applications_systems.csv; 13_evidence_sources.csv,5,5,5,5,630,covered,conformant,,,"Confirm control ownership, blocked claims, risk severity, policy constraints, and evidence required before production use.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS09,"Operations, KPIs, and Process Evidence",COO; process owners; service management; business operations,18_operational_process_evidence.csv; 14_metrics_outcomes.csv; 17_service_scope_managed_services.csv; 01_business_functions.csv; 12_relationships.csv,5,5,5,5,3165,covered,conformant,,,"Confirm KPI definitions, baselines, process ownership, operational evidence, and whether issues are fair/current.",not_reviewed,internal_audit_and_gap_analysis_only
skyharbor-air,WS10,"Interviews, Questionnaires, and Executive Signals",sponsor; discovery lead; executive SMEs; functional SMEs,13_evidence_sources.csv; 16_expert_lenses.csv; 12_relationships.csv,3,3,3,3,3100,covered,conformant,,,"Confirm interview-only signals, caveats, evidence requests, and what cannot become deterministic truth yet.",not_reviewed,internal_audit_and_gap_analysis_only
