label,command,exit_code,status,started_at,finished_at
generate synthetic tenants,node scripts/tenant-v3/generate-rich-synthetic-tenant.mjs --tenant all,0,pass,2026-07-18T11:47:25.007Z,2026-07-18T11:47:26.443Z
audit synthetic richness,node scripts/audit/synthetic-tenant-richness.mjs --tenant all,0,pass,2026-07-18T11:47:26.444Z,2026-07-18T11:47:26.514Z
first-capital-financial candidate load dry-run,node scripts/knowledge/load-tenant-candidate-context.mjs --tenant first-capital-financial --env nonprod-not-confirmed --dry-run,0,pass,2026-07-18T11:47:26.514Z,2026-07-18T11:47:26.558Z
first-capital-financial data-plane reconciliation,node scripts/knowledge/reconcile-tenant-data-plane.mjs --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.558Z,2026-07-18T11:47:26.621Z
first-capital-financial home candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode home --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.621Z,2026-07-18T11:47:26.664Z
first-capital-financial tower candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode tower --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.664Z,2026-07-18T11:47:26.707Z
first-capital-financial intelligence candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode intelligence --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.707Z,2026-07-18T11:47:26.753Z
first-capital-financial moves candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode moves --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.753Z,2026-07-18T11:47:26.796Z
first-capital-financial source candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode source --tenant first-capital-financial,0,pass,2026-07-18T11:47:26.796Z,2026-07-18T11:47:26.840Z
skyharbor-air candidate load dry-run,node scripts/knowledge/load-tenant-candidate-context.mjs --tenant skyharbor-air --env nonprod-not-confirmed --dry-run,0,pass,2026-07-18T11:47:26.840Z,2026-07-18T11:47:26.883Z
skyharbor-air data-plane reconciliation,node scripts/knowledge/reconcile-tenant-data-plane.mjs --tenant skyharbor-air,0,pass,2026-07-18T11:47:26.883Z,2026-07-18T11:47:26.944Z
skyharbor-air home candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode home --tenant skyharbor-air,0,pass,2026-07-18T11:47:26.944Z,2026-07-18T11:47:26.987Z
skyharbor-air tower candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode tower --tenant skyharbor-air,0,pass,2026-07-18T11:47:26.987Z,2026-07-18T11:47:27.029Z
skyharbor-air intelligence candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode intelligence --tenant skyharbor-air,0,pass,2026-07-18T11:47:27.029Z,2026-07-18T11:47:27.074Z
skyharbor-air moves candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode moves --tenant skyharbor-air,0,pass,2026-07-18T11:47:27.074Z,2026-07-18T11:47:27.116Z
skyharbor-air source candidate proof,node scripts/audit/candidate-consumption-proof.mjs --mode source --tenant skyharbor-air,0,pass,2026-07-18T11:47:27.116Z,2026-07-18T11:47:27.159Z
default runtime invisibility,node scripts/audit/default-runtime-invisibility.mjs,0,pass,2026-07-18T11:47:27.159Z,2026-07-18T11:47:27.208Z
