tenant_key,display_name,layer,count,status
first-capital-financial,FS Demo,L1 source and interviews,5056,pass
first-capital-financial,FS Demo,L2 records and facts,14520,pass
first-capital-financial,FS Demo,L3 evidence and gaps,2240,pass
first-capital-financial,FS Demo,L4 relationship graph,4200,pass
first-capital-financial,FS Demo,L5 retrieval,4600,pass
first-capital-financial,FS Demo,L6 module packs,55,pass_local
skyharbor-air,Airline Demo,L1 source and interviews,5056,pass
skyharbor-air,Airline Demo,L2 records and facts,14520,pass
skyharbor-air,Airline Demo,L3 evidence and gaps,2240,pass
skyharbor-air,Airline Demo,L4 relationship graph,4200,pass
skyharbor-air,Airline Demo,L5 retrieval,4600,pass
skyharbor-air,Airline Demo,L6 module packs,55,pass_local
