data_product_id,name,platform,domain,status,trust_score,notes
DP-00001,Cargo Revenue Data Product 0001,Azure Synapse,Commercial,Pilot,88.4,sources=26; consumers=106; volume_tb=716.2; sensitivity=Restricted
DP-00002,Maintenance Planning Data Product 0002,Teradata,Maintenance,Beta,83.1,sources=25; consumers=98; volume_tb=43; sensitivity=Confidential
DP-00003,Finance Close Data Product 0003,Snowflake,Corporate,Deprecated,97.5,sources=8; consumers=158; volume_tb=553.2; sensitivity=Restricted
DP-00004,Parts & Inventory Data Product 0004,Databricks,Maintenance,Pilot,68.6,sources=4; consumers=40; volume_tb=1122.6; sensitivity=Public
DP-00005,Loyalty & FFP Data Product 0005,Teradata,Customer,Certified,88.2,sources=2; consumers=112; volume_tb=619; sensitivity=Restricted
DP-00006,Tax Data Product 0006,Azure Synapse,Corporate,Deprecated,69.7,sources=14; consumers=53; volume_tb=338.8; sensitivity=Internal
DP-00007,Crew Tracking Data Product 0007,Azure Synapse,Operations,Pilot,74.7,sources=31; consumers=175; volume_tb=1137.2; sensitivity=Internal
DP-00008,Threat Detection Data Product 0008,BigQuery,Security,Deprecated,66.8,sources=14; consumers=41; volume_tb=683.1; sensitivity=PII
DP-00009,ML Platform Data Product 0009,Fabric,Data,Pilot,80.6,sources=19; consumers=65; volume_tb=500.1; sensitivity=Internal
DP-00010,Advanced Analytics Data Product 0010,Azure Synapse,Data,Pilot,95.6,sources=6; consumers=94; volume_tb=567.1; sensitivity=Confidential
DP-00011,Heavy Maintenance Data Product 0011,Databricks,Maintenance,Production,64.5,sources=40; consumers=78; volume_tb=1088.5; sensitivity=Restricted
DP-00012,Codeshare Management Data Product 0012,BigQuery,Commercial,Pilot,78.4,sources=14; consumers=26; volume_tb=408.5; sensitivity=Public
DP-00013,Crew Scheduling Data Product 0013,Fabric,Operations,Deprecated,67.5,sources=20; consumers=31; volume_tb=1170.5; sensitivity=Restricted
DP-00014,Line Maintenance Data Product 0014,Databricks,Maintenance,Pilot,66.9,sources=23; consumers=47; volume_tb=259.2; sensitivity=PII
DP-00015,Maintenance Planning Data Product 0015,Fabric,Maintenance,Beta,92.5,sources=38; consumers=201; volume_tb=559.1; sensitivity=Internal
DP-00016,Line Maintenance Data Product 0016,Teradata,Maintenance,Deprecated,66.6,sources=14; consumers=122; volume_tb=50.7; sensitivity=PII
DP-00017,Crew Tracking Data Product 0017,Snowflake,Operations,Deprecated,72.6,sources=17; consumers=149; volume_tb=267.7; sensitivity=PII
DP-00018,Customer Service Data Product 0018,Azure Synapse,Customer,Beta,94.3,sources=28; consumers=142; volume_tb=663.1; sensitivity=Restricted
DP-00019,Finance Close Data Product 0019,BigQuery,Corporate,Pilot,78.5,sources=20; consumers=160; volume_tb=982; sensitivity=PII
DP-00020,Codeshare Management Data Product 0020,Teradata,Commercial,Deprecated,86.2,sources=9; consumers=188; volume_tb=303.7; sensitivity=Internal
DP-00021,Pricing & Yield Data Product 0021,Databricks,Commercial,Beta,64.9,sources=10; consumers=152; volume_tb=680.8; sensitivity=Confidential
DP-00022,ML Platform Data Product 0022,Fabric,Data,Pilot,98.3,sources=4; consumers=67; volume_tb=1112.8; sensitivity=PII
DP-00023,Sales & Agency Data Product 0023,Teradata,Commercial,Deprecated,81.5,sources=12; consumers=76; volume_tb=804.4; sensitivity=Confidential
DP-00024,Predictive Maintenance Data Product 0024,Databricks,Maintenance,Beta,70,sources=11; consumers=160; volume_tb=917.4; sensitivity=PII
DP-00025,Irregular Operations Data Product 0025,Databricks,Operations,Beta,86.1,sources=27; consumers=17; volume_tb=957; sensitivity=Public
DP-00026,Flight Dispatch Data Product 0026,Snowflake,Operations,Certified,71.1,sources=17; consumers=141; volume_tb=958.2; sensitivity=Restricted
DP-00027,Crew Scheduling Data Product 0027,Teradata,Operations,Pilot,76.8,sources=5; consumers=106; volume_tb=270; sensitivity=Restricted
DP-00028,Data Protection Data Product 0028,Fabric,Security,Certified,84.4,sources=27; consumers=137; volume_tb=492.6; sensitivity=Internal
DP-00029,Metadata & Catalog Data Product 0029,Azure Synapse,Data,Certified,71,sources=8; consumers=16; volume_tb=508.4; sensitivity=Restricted
DP-00030,Crew Scheduling Data Product 0030,Fabric,Operations,Certified,89.6,sources=8; consumers=182; volume_tb=1122; sensitivity=Restricted
DP-00031,Data Protection Data Product 0031,Databricks,Security,Deprecated,85.4,sources=7; consumers=72; volume_tb=1083.2; sensitivity=Confidential
DP-00032,Disruption Recovery Data Product 0032,Azure Synapse,Operations,Beta,62.1,sources=25; consumers=134; volume_tb=524.4; sensitivity=PII
