tenant_key,data_product_id,data_product_name,platform,source_system_id,source_system_name,owner_role,trust_score,lineage_basis,confidence,caveat
lakeshore-industries,LAK-DATA-001,cash positioning gold table,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,CFO,48,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-002,bank connectivity test evidence,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Treasurer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-003,payment approval lineage,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,CIO,56,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-004,liquidity forecast data product,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Chief Supply Chain Officer,60,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-005,debt and FX exposure mart,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Controller,64,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-006,close reconciliation semantic model,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,Chief Procurement Officer,68,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-007,working capital data product,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,Chief Data Officer,72,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-008,supplier spend risk mart,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,CISO,76,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-009,finance service workload lake,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,CFO,80,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAK-DATA-010,Kyriba rollout defect/evidence corpus,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,Treasurer,84,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0011,cash positioning gold table,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,CFO,48,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0012,bank connectivity test evidence,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Treasurer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0013,payment approval lineage,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,CIO,56,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0014,liquidity forecast data product,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Chief Supply Chain Officer,60,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0015,debt and FX exposure mart,Kyriba plus finance lakehouse,,Kyriba; bank portals; SAP; treasury spreadsheets,Controller,64,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0016,close reconciliation semantic model,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,Chief Procurement Officer,68,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0017,working capital data product,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,Chief Data Officer,72,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
lakeshore-industries,LAKESHORE-DATA-0018,supplier spend risk mart,semantic layer / BI,,SAP; BlackLine; Coupa; ServiceNow; Power BI,CISO,76,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
