tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
harbortrust-bank,01_business_functions,What should AbarVa know about Executive Office for business functions?,CIO,CIO responsible for Enterprise Strategy context,"business functions: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",Medium,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 01_business_functions; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 01_business_functions and must not be used as active truth until approved.
harbortrust-bank,04_applications_systems,What should AbarVa know about Executive Office for applications systems?,CDAO,CDAO responsible for Enterprise Strategy context,"applications systems: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 04_applications_systems; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",04_applications_systems,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 04_applications_systems and must not be used as active truth until approved.
harbortrust-bank,05_data_assets_integrations,What should AbarVa know about Executive Office for data assets integrations?,CFO,CFO responsible for Enterprise Strategy context,"data assets integrations: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 05_data_assets_integrations; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",05_data_assets_integrations,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 05_data_assets_integrations and must not be used as active truth until approved.
harbortrust-bank,07_vendors_contracts,What should AbarVa know about Executive Office for vendors contracts?,CRO,CRO responsible for Enterprise Strategy context,"vendors contracts: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 07_vendors_contracts; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",07_vendors_contracts,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 07_vendors_contracts and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Executive Office for it budget spend value?,Retail Banking COO,Retail Banking COO responsible for Enterprise Strategy context,"it budget spend value: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,11_risks_controls,What should AbarVa know about Executive Office for risks controls?,Payments Leader,Payments Leader responsible for Enterprise Strategy context,"risks controls: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",Medium,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 11_risks_controls; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",11_risks_controls,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 11_risks_controls and must not be used as active truth until approved.
harbortrust-bank,14_metrics_outcomes,What should AbarVa know about Executive Office for metrics outcomes?,Fraud Operations Leader,Fraud Operations Leader responsible for Enterprise Strategy context,"metrics outcomes: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 14_metrics_outcomes; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",14_metrics_outcomes,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 14_metrics_outcomes and must not be used as active truth until approved.
harbortrust-bank,01_business_functions,What should AbarVa know about Retail Deposits and Branch Operations for business functions?,CDAO,CDAO responsible for Retail Banking context,"business functions: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,HARBORTRUST-BANK-HT-RETAIL-EV01; HARBORTRUST-BANK-HT-RETAIL-EV02,"Run dimension-specific SME validation for 01_business_functions; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,FIS Core Banking Platform supports Retail Deposits and Branch Operations; Branch Teller Platform consumes Retail Deposits Branch Operations Operational Dataset; FIS provides FIS Core Banking Platform,Questionnaire answer requires validation for 01_business_functions and must not be used as active truth until approved.
harbortrust-bank,04_applications_systems,What should AbarVa know about Retail Deposits and Branch Operations for applications systems?,CFO,CFO responsible for Retail Banking context,"applications systems: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,HARBORTRUST-BANK-HT-RETAIL-EV01; HARBORTRUST-BANK-HT-RETAIL-EV02,"Run dimension-specific SME validation for 04_applications_systems; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",04_applications_systems,owner; systems; data domains; metrics; risks; evidence; relationships,FIS Core Banking Platform supports Retail Deposits and Branch Operations; Branch Teller Platform consumes Retail Deposits Branch Operations Operational Dataset; FIS provides FIS Core Banking Platform,Questionnaire answer requires validation for 04_applications_systems and must not be used as active truth until approved.
harbortrust-bank,05_data_assets_integrations,What should AbarVa know about Retail Deposits and Branch Operations for data assets integrations?,CRO,CRO responsible for Retail Banking context,"data assets integrations: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,HARBORTRUST-BANK-HT-RETAIL-EV01; HARBORTRUST-BANK-HT-RETAIL-EV02,"Run dimension-specific SME validation for 05_data_assets_integrations; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",05_data_assets_integrations,owner; systems; data domains; metrics; risks; evidence; relationships,FIS Core Banking Platform supports Retail Deposits and Branch Operations; Branch Teller Platform consumes Retail Deposits Branch Operations Operational Dataset; FIS provides FIS Core Banking Platform,Questionnaire answer requires validation for 05_data_assets_integrations and must not be used as active truth until approved.
