tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Executive Office for it budget spend value?,Retail Banking COO,Retail Banking COO responsible for Enterprise Strategy context,"it budget spend value: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Retail Deposits and Branch Operations for it budget spend value?,Payments Leader,Payments Leader responsible for Retail Banking context,"it budget spend value: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",Medium,HARBORTRUST-BANK-HT-RETAIL-EV01; HARBORTRUST-BANK-HT-RETAIL-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,FIS Core Banking Platform supports Retail Deposits and Branch Operations; Branch Teller Platform consumes Retail Deposits Branch Operations Operational Dataset; FIS provides FIS Core Banking Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Commercial Lending and Treasury for it budget spend value?,Fraud Operations Leader,Fraud Operations Leader responsible for Commercial Banking context,"it budget spend value: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",High,HARBORTRUST-BANK-HT-COMMERCIAL-EV01; HARBORTRUST-BANK-HT-COMMERCIAL-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Commercial Lending and Treasury Workflow Platform supports Commercial Lending and Treasury; Commercial Lending and Treasury Analytics Mart consumes Commercial Lending Treasury Operational Dataset; Azure provides Commercial Lending and Treasury Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Cards Operations for it budget spend value?,Compliance / Model Risk Officer,Compliance / Model Risk Officer responsible for Cards and Consumer Lending context,"it budget spend value: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,HARBORTRUST-BANK-HT-CARDS-EV01; HARBORTRUST-BANK-HT-CARDS-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Cards Operations Workflow Platform supports Cards Operations; Cards Operations Analytics Mart consumes Cards Operations Operational Dataset; ServiceNow provides Cards Operations Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Payments Operations for it budget spend value?,ServiceNow / CMDB Owner,ServiceNow / CMDB Owner responsible for Payments context,"it budget spend value: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,HARBORTRUST-BANK-HT-PAYMENTS-EV01; HARBORTRUST-BANK-HT-PAYMENTS-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Payments Hub supports Payments Operations; ACH Wire Gateway consumes Payments Operations Operational Dataset; Informatica provides Payments Hub,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Consumer Lending Operations for it budget spend value?,CIO,CIO responsible for Consumer Lending context,"it budget spend value: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,HARBORTRUST-BANK-HT-LENDING-EV01; HARBORTRUST-BANK-HT-LENDING-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Consumer Lending Operations Workflow Platform supports Consumer Lending Operations; Consumer Lending Operations Analytics Mart consumes Consumer Lending Operations Operational Dataset; NICE provides Consumer Lending Operations Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Wealth Advisory and Brokerage for it budget spend value?,CDAO,CDAO responsible for Wealth Management context,"it budget spend value: respondent identified missing proof around operating volume, owner accountability, cross-system dependency, and whether the evidence is approved for Home, Moves, Source, Tower, and Intelligence.",Medium,HARBORTRUST-BANK-HT-WEALTH-EV01; HARBORTRUST-BANK-HT-WEALTH-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Wealth Advisory and Brokerage Workflow Platform supports Wealth Advisory and Brokerage; Wealth Advisory and Brokerage Analytics Mart consumes Wealth Advisory Brokerage Operational Dataset; ServiceNow provides Wealth Advisory and Brokerage Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Fraud and Risk Operations for it budget spend value?,CFO,CFO responsible for Enterprise Risk context,"it budget spend value: respondent noted that the data should support fact-based context browsing, while advisory claims require relationship validation, module readiness checks, and source-owner attestation.",High,HARBORTRUST-BANK-HT-FRAUD-RISK-EV01; HARBORTRUST-BANK-HT-FRAUD-RISK-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Fraud Alert Platform supports Fraud and Risk Operations; AML Transaction Monitoring consumes Fraud Risk Operations Operational Dataset; Experian provides Fraud Alert Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Compliance and Model Risk Management for it budget spend value?,CRO,CRO responsible for Compliance and Model Risk context,"it budget spend value: respondent confirmed the record is useful for orientation, but asked AbarVa to verify source ownership, row-level lineage, volume baseline, and whether the data is current or target-state only.",High,HARBORTRUST-BANK-HT-COMPLIANCE-EV01; HARBORTRUST-BANK-HT-COMPLIANCE-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Compliance and Model Risk Management Workflow Platform supports Compliance and Model Risk Management; Compliance and Model Risk Management Analytics Mart consumes Compliance Model Risk Management Operational Dataset; Databricks provides Compliance and Model Risk Management Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
harbortrust-bank,08_it_budget_spend_value,What should AbarVa know about Contact Center and Servicing for it budget spend value?,Retail Banking COO,Retail Banking COO responsible for Customer Experience context,"it budget spend value: respondent said the next workshop should reconcile this context to systems, data assets, vendors, risks, metrics, and program funding before it becomes active tenant truth.",High,HARBORTRUST-BANK-HT-CONTACT-CENTER-EV01; HARBORTRUST-BANK-HT-CONTACT-CENTER-EV02,"Run dimension-specific SME validation for 08_it_budget_spend_value; confirm evidence source, owner, relationship candidates, and active-promotion blockers.",08_it_budget_spend_value,owner; systems; data domains; metrics; risks; evidence; relationships,Contact Center and Servicing Workflow Platform supports Contact Center and Servicing; Contact Center and Servicing Analytics Mart consumes Contact Center Servicing Operational Dataset; Salesforce provides Contact Center and Servicing Workflow Platform,Questionnaire answer requires validation for 08_it_budget_spend_value and must not be used as active truth until approved.
