tenant_key,dimension,question,respondent_role,respondent_persona,answer,confidence,evidence_source,follow_up_needed,mapped_dimension,mapped_fields,relationship_candidates_created,known_gaps
harbortrust-bank,01_business_functions,What should AbarVa know about Executive Office for business functions?,CIO,CIO responsible for Enterprise Strategy context,"Executive Office depends on Executive Office Workflow Platform, Executive Office Analytics Mart, Executive Office Reporting Workspace and Executive Office Operational Dataset, Executive Office Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Enterprise strategy interview and FY26 banking priorities workshop, but active truth requires owner attestation and source validation.",Medium,HARBORTRUST-BANK-HT-ENTERPRISE-EV01; HARBORTRUST-BANK-HT-ENTERPRISE-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Executive Office Workflow Platform supports Executive Office; Executive Office Analytics Mart consumes Executive Office Operational Dataset; ServiceNow provides Executive Office Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Retail Deposits and Branch Operations for business functions?,CDAO,CDAO responsible for Retail Banking context,"Retail Deposits and Branch Operations depends on FIS Core Banking Platform, Branch Teller Platform, Digital Banking Servicing Portal and Retail Deposits Branch Operations Operational Dataset, Retail Deposits Branch Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Retail banking application inventory and Branch operations workshop, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-RETAIL-EV01; HARBORTRUST-BANK-HT-RETAIL-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,FIS Core Banking Platform supports Retail Deposits and Branch Operations; Branch Teller Platform consumes Retail Deposits Branch Operations Operational Dataset; FIS provides FIS Core Banking Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Commercial Lending and Treasury for business functions?,CFO,CFO responsible for Commercial Banking context,"Commercial Lending and Treasury depends on Commercial Lending and Treasury Workflow Platform, Commercial Lending and Treasury Analytics Mart, Commercial Lending and Treasury Reporting Workspace and Commercial Lending Treasury Operational Dataset, Commercial Lending Treasury Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Commercial LOS export and Treasury services process map, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-COMMERCIAL-EV01; HARBORTRUST-BANK-HT-COMMERCIAL-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Commercial Lending and Treasury Workflow Platform supports Commercial Lending and Treasury; Commercial Lending and Treasury Analytics Mart consumes Commercial Lending Treasury Operational Dataset; Azure provides Commercial Lending and Treasury Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Cards Operations for business functions?,CRO,CRO responsible for Cards and Consumer Lending context,"Cards Operations depends on Cards Operations Workflow Platform, Cards Operations Analytics Mart, Cards Operations Reporting Workspace and Cards Operations Operational Dataset, Cards Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Cards platform extract and Dispute operations dashboard, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-CARDS-EV01; HARBORTRUST-BANK-HT-CARDS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Cards Operations Workflow Platform supports Cards Operations; Cards Operations Analytics Mart consumes Cards Operations Operational Dataset; ServiceNow provides Cards Operations Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Payments Operations for business functions?,Retail Banking COO,Retail Banking COO responsible for Payments context,"Payments Operations depends on Payments Hub, ACH Wire Gateway, Real-Time Payments Adapter and Payments Operations Operational Dataset, Payments Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Payments hub interface inventory and Settlement reconciliation extract, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-PAYMENTS-EV01; HARBORTRUST-BANK-HT-PAYMENTS-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Payments Hub supports Payments Operations; ACH Wire Gateway consumes Payments Operations Operational Dataset; Informatica provides Payments Hub,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Consumer Lending Operations for business functions?,Payments Leader,Payments Leader responsible for Consumer Lending context,"Consumer Lending Operations depends on Consumer Lending Operations Workflow Platform, Consumer Lending Operations Analytics Mart, Consumer Lending Operations Reporting Workspace and Consumer Lending Operations Operational Dataset, Consumer Lending Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Loan origination extract and Underwriting process map, but active truth requires owner attestation and source validation.",Medium,HARBORTRUST-BANK-HT-LENDING-EV01; HARBORTRUST-BANK-HT-LENDING-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Consumer Lending Operations Workflow Platform supports Consumer Lending Operations; Consumer Lending Operations Analytics Mart consumes Consumer Lending Operations Operational Dataset; NICE provides Consumer Lending Operations Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Wealth Advisory and Brokerage for business functions?,Fraud Operations Leader,Fraud Operations Leader responsible for Wealth Management context,"Wealth Advisory and Brokerage depends on Wealth Advisory and Brokerage Workflow Platform, Wealth Advisory and Brokerage Analytics Mart, Wealth Advisory and Brokerage Reporting Workspace and Wealth Advisory Brokerage Operational Dataset, Wealth Advisory Brokerage Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Wealth platform inventory and Advisor reporting catalog, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-WEALTH-EV01; HARBORTRUST-BANK-HT-WEALTH-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Wealth Advisory and Brokerage Workflow Platform supports Wealth Advisory and Brokerage; Wealth Advisory and Brokerage Analytics Mart consumes Wealth Advisory Brokerage Operational Dataset; ServiceNow provides Wealth Advisory and Brokerage Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Fraud and Risk Operations for business functions?,Compliance / Model Risk Officer,Compliance / Model Risk Officer responsible for Enterprise Risk context,"Fraud and Risk Operations depends on Fraud Alert Platform, AML Transaction Monitoring, Fraud Case Management and Fraud Risk Operations Operational Dataset, Fraud Risk Operations Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Fraud alert extract and Risk case workflow sample, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-FRAUD-RISK-EV01; HARBORTRUST-BANK-HT-FRAUD-RISK-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Fraud Alert Platform supports Fraud and Risk Operations; AML Transaction Monitoring consumes Fraud Risk Operations Operational Dataset; Experian provides Fraud Alert Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Compliance and Model Risk Management for business functions?,ServiceNow / CMDB Owner,ServiceNow / CMDB Owner responsible for Compliance and Model Risk context,"Compliance and Model Risk Management depends on Compliance and Model Risk Management Workflow Platform, Compliance and Model Risk Management Analytics Mart, Compliance and Model Risk Management Reporting Workspace and Compliance Model Risk Management Operational Dataset, Compliance Model Risk Management Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Model inventory export and Regulatory reporting evidence pack, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-COMPLIANCE-EV01; HARBORTRUST-BANK-HT-COMPLIANCE-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Compliance and Model Risk Management Workflow Platform supports Compliance and Model Risk Management; Compliance and Model Risk Management Analytics Mart consumes Compliance Model Risk Management Operational Dataset; Databricks provides Compliance and Model Risk Management Workflow Platform,Source extract and owner approval required before active promotion.
harbortrust-bank,01_business_functions,What should AbarVa know about Contact Center and Servicing for business functions?,CIO,CIO responsible for Customer Experience context,"Contact Center and Servicing depends on Contact Center and Servicing Workflow Platform, Contact Center and Servicing Analytics Mart, Contact Center and Servicing Reporting Workspace and Contact Center Servicing Operational Dataset, Contact Center Servicing Analytics Mart. Current pain points include lineage gaps, manual reconciliation, fragmented ownership, and relationship validation. Evidence exists as Call reason taxonomy and CRM case extract, but active truth requires owner attestation and source validation.",High,HARBORTRUST-BANK-HT-CONTACT-CENTER-EV01; HARBORTRUST-BANK-HT-CONTACT-CENTER-EV02,"Validate named owner, source extract as-of date, volumes, spend allocation, and relationship graph edges.",01_business_functions,owner; systems; data domains; metrics; risks; evidence; relationships,Contact Center and Servicing Workflow Platform supports Contact Center and Servicing; Contact Center and Servicing Analytics Mart consumes Contact Center Servicing Operational Dataset; Salesforce provides Contact Center and Servicing Workflow Platform,Source extract and owner approval required before active promotion.
