incident_id,opened_at,severity,affected_app_id,mttr_hours,root_cause,notes
MR-INC-001,2026-02-01,sev1,MR-APP-EPIC-HYPERSPACE,1.5,interface_error,90-day incident sample.
MR-INC-002,2026-02-02,sev2,MR-APP-EPIC-HYPERDRIVE,2.25,vendor_change,90-day incident sample.
MR-INC-003,2026-02-03,sev3,MR-APP-EPIC-BEDROCK,3,certificate_expiry,90-day incident sample.
MR-INC-004,2026-02-04,sev3,MR-APP-EPIC-COSMOS,3.75,capacity,90-day incident sample.
MR-INC-005,2026-02-05,sev1,MR-APP-MYCHART,4.5,workflow_config,90-day incident sample.
MR-INC-006,2026-02-06,sev2,MR-APP-BEAKER,5.25,interface_error,90-day incident sample.
MR-INC-007,2026-02-07,sev3,MR-APP-WILLOW,6,vendor_change,90-day incident sample.
MR-INC-008,2026-02-08,sev3,MR-APP-CUPID,6.75,certificate_expiry,90-day incident sample.
MR-INC-009,2026-02-09,sev1,MR-APP-STORK,7.5,capacity,90-day incident sample.
MR-INC-010,2026-02-10,sev2,MR-APP-ASAP,8.25,workflow_config,90-day incident sample.
MR-INC-011,2026-02-11,sev3,MR-APP-OPTIME,9,interface_error,90-day incident sample.
MR-INC-012,2026-02-12,sev3,MR-APP-ANESTHESIA,9.75,vendor_change,90-day incident sample.
MR-INC-013,2026-02-13,sev1,MR-APP-RADIANT,1.5,certificate_expiry,90-day incident sample.
MR-INC-014,2026-02-14,sev2,MR-APP-COGITO,2.25,capacity,90-day incident sample.
MR-INC-015,2026-02-15,sev3,MR-APP-RESOLUTE-HB,3,workflow_config,90-day incident sample.
MR-INC-016,2026-02-16,sev3,MR-APP-RESOLUTE-PB,3.75,interface_error,90-day incident sample.
MR-INC-017,2026-02-17,sev1,MR-APP-HEALTHY-PLANET,4.5,vendor_change,90-day incident sample.
MR-INC-018,2026-02-18,sev2,MR-APP-SECTRA-PACS,5.25,certificate_expiry,90-day incident sample.
MR-INC-019,2026-02-19,sev3,MR-APP-VISAGE-7,6,capacity,90-day incident sample.
MR-INC-020,2026-02-20,sev3,MR-APP-GE-MUSE,6.75,workflow_config,90-day incident sample.
MR-INC-021,2026-02-21,sev1,MR-APP-SUNQUEST-MERCY,7.5,interface_error,90-day incident sample.
MR-INC-022,2026-02-22,sev2,MR-APP-SUNQUEST-SUTTER,8.25,vendor_change,90-day incident sample.
MR-INC-023,2026-02-23,sev3,MR-APP-ALLSCRIPTS-MERCY,9,certificate_expiry,90-day incident sample.
MR-INC-024,2026-02-24,sev3,MR-APP-PARAGON,9.75,capacity,90-day incident sample.
MR-INC-025,2026-02-25,sev1,MR-APP-LAWSON-HCM,1.5,workflow_config,90-day incident sample.
MR-INC-026,2026-02-26,sev2,MR-APP-WORKDAY-FIN,2.25,interface_error,90-day incident sample.
MR-INC-027,2026-02-27,sev3,MR-APP-WORKDAY-HCM,3,vendor_change,90-day incident sample.
MR-INC-028,2026-02-28,sev3,MR-APP-WORKDAY-SCM,3.75,certificate_expiry,90-day incident sample.
MR-INC-029,2026-02-01,sev1,MR-APP-M365-E5,4.5,capacity,90-day incident sample.
MR-INC-030,2026-02-02,sev2,MR-APP-SERVICENOW,5.25,workflow_config,90-day incident sample.
MR-INC-031,2026-02-03,sev3,MR-APP-INNOVACCER,6,interface_error,90-day incident sample.
MR-INC-032,2026-02-04,sev3,MR-APP-OPTUM-360,6.75,vendor_change,90-day incident sample.
MR-INC-033,2026-02-05,sev1,MR-APP-CHANGE-CHC,7.5,certificate_expiry,90-day incident sample.
MR-INC-034,2026-02-06,sev2,MR-APP-PHREESIA,8.25,capacity,90-day incident sample.
MR-INC-035,2026-02-07,sev3,MR-APP-LUMA,9,workflow_config,90-day incident sample.
MR-INC-036,2026-02-08,sev3,MR-APP-PRESS-GANEY,9.75,interface_error,90-day incident sample.
MR-INC-037,2026-02-09,sev1,MR-APP-QGENDA,1.5,vendor_change,90-day incident sample.
MR-INC-038,2026-02-10,sev2,MR-APP-UKG-KRONOS,2.25,certificate_expiry,90-day incident sample.
MR-INC-039,2026-02-11,sev3,MR-APP-SYMPLR,3,capacity,90-day incident sample.
MR-INC-040,2026-02-12,sev3,MR-APP-HEALTHSTREAM,3.75,workflow_config,90-day incident sample.
MR-INC-041,2026-02-13,sev1,MR-APP-ONCORE,4.5,interface_error,90-day incident sample.
MR-INC-042,2026-02-14,sev2,MR-APP-REDCAP,5.25,vendor_change,90-day incident sample.
MR-INC-043,2026-02-15,sev3,MR-APP-TEMPUS,6,certificate_expiry,90-day incident sample.
MR-INC-044,2026-02-16,sev3,MR-APP-CITRIX,6.75,capacity,90-day incident sample.
MR-INC-045,2026-02-17,sev1,MR-APP-VMWARE,7.5,workflow_config,90-day incident sample.
MR-INC-046,2026-02-18,sev2,MR-APP-PURE,8.25,interface_error,90-day incident sample.
MR-INC-047,2026-02-19,sev3,MR-APP-AZURE,9,vendor_change,90-day incident sample.
MR-INC-048,2026-02-20,sev3,MR-APP-CONFLUENT,9.75,certificate_expiry,90-day incident sample.
