vendor,service,annual_usd,renewal_date,owner,notes
KPMG,advisory,900000,2026-05-28,CDIO,Infrastructure or managed-service contract in Meridian substrate.
Deloitte,ehr_optimization,1325000,2026-06-28,CFO,Infrastructure or managed-service contract in Meridian substrate.
Cognizant,infra_ops,1750000,2026-07-28,CISO,Infrastructure or managed-service contract in Meridian substrate.
Pythian,database_managed_service,2175000,2026-08-28,COO,Infrastructure or managed-service contract in Meridian substrate.
Tegria,revenue_cycle_ops,2600000,2026-09-28,CDIO,Infrastructure or managed-service contract in Meridian substrate.
Caradigm,population_analytics,3025000,2026-10-28,CFO,Infrastructure or managed-service contract in Meridian substrate.
CDW,network_services,3450000,2026-11-28,CISO,Infrastructure or managed-service contract in Meridian substrate.
World Wide Technology,advisory,3875000,2026-12-28,COO,Infrastructure or managed-service contract in Meridian substrate.
SHI,ehr_optimization,4300000,2026-01-28,CDIO,Infrastructure or managed-service contract in Meridian substrate.
Sirius Healthcare,infra_ops,4725000,2026-02-28,CFO,Infrastructure or managed-service contract in Meridian substrate.
KPMG,database_managed_service,5150000,2026-03-28,CISO,Infrastructure or managed-service contract in Meridian substrate.
Deloitte,revenue_cycle_ops,5575000,2026-04-28,COO,Infrastructure or managed-service contract in Meridian substrate.
Cognizant,population_analytics,6000000,2026-05-28,CDIO,Infrastructure or managed-service contract in Meridian substrate.
Pythian,network_services,6425000,2026-06-28,CFO,Infrastructure or managed-service contract in Meridian substrate.
