tenant_key,canonical_value_observation_id,business_case_id,project_id,reporting_month,success_metric,sponsor_claimed_value_usd,finance_reviewed_value_usd,finance_validated_value_usd,board_claimable_value_usd,validation_state,baseline_value,target_value,actual_value,metric_unit,reviewer_role,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2025-09,BC-MER-001,PRJ-MER-004,2025-09,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,0,count,,24_monthly_value_tracking.csv,2,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-09,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2025-10,BC-MER-001,PRJ-MER-004,2025-10,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,1,count,,24_monthly_value_tracking.csv,3,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-10,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2025-11,BC-MER-001,PRJ-MER-004,2025-11,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,1,count,,24_monthly_value_tracking.csv,4,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-11,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2025-12,BC-MER-001,PRJ-MER-004,2025-12,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,2,count,,24_monthly_value_tracking.csv,5,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2025-12,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-01,BC-MER-001,PRJ-MER-004,2026-01,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,2,count,,24_monthly_value_tracking.csv,6,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-01,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-02,BC-MER-001,PRJ-MER-004,2026-02,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,3,count,,24_monthly_value_tracking.csv,7,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-02,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-03,BC-MER-001,PRJ-MER-004,2026-03,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,3,count,,24_monthly_value_tracking.csv,8,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-03,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-04,BC-MER-001,PRJ-MER-004,2026-04,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,4,count,,24_monthly_value_tracking.csv,9,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-04,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-05,BC-MER-001,PRJ-MER-004,2026-05,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,4,count,,24_monthly_value_tracking.csv,10,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-05,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-06,BC-MER-001,PRJ-MER-004,2026-06,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,4,count,,24_monthly_value_tracking.csv,11,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-06,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-07,BC-MER-001,PRJ-MER-004,2026-07,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,4,count,,24_monthly_value_tracking.csv,12,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-07,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-001-2026-08,BC-MER-001,PRJ-MER-004,2026-08,downstream value cases enabled,0,0,0,0,not_yet_measurable,0,6,4,count,,24_monthly_value_tracking.csv,13,AI Portfolio and Business Case Tracker,VAL-BC-MER-001-2026-08,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-002-2025-09,BC-MER-002,PRJ-MER-005,2025-09,digital conversion lift,0,0,0,0,not_yet_measurable,0,3.2,0,percent,,24_monthly_value_tracking.csv,14,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-09,2026-08-24
meridian-health,VALUE_OBSERVATION:VAL-BC-MER-002-2025-10,BC-MER-002,PRJ-MER-005,2025-10,digital conversion lift,0,0,0,0,not_yet_measurable,0,3.2,0,percent,,24_monthly_value_tracking.csv,15,AI Portfolio and Business Case Tracker,VAL-BC-MER-002-2025-10,2026-08-24
