tenant_key,from_object_type,from_object_id,relationship_type,to_object_type,to_object_id,source_file,source_record_id,as_of_date,quality_state
meridian-health,Project,PROJECT:PRJ-MER-004,implements,AIUseCase,AI_USE_CASE:BC-MER-001,22_ai_business_cases.csv,BC-MER-001,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-005,implements,AIUseCase,AI_USE_CASE:BC-MER-002,22_ai_business_cases.csv,BC-MER-002,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-006,implements,AIUseCase,AI_USE_CASE:BC-MER-003,22_ai_business_cases.csv,BC-MER-003,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-007,implements,AIUseCase,AI_USE_CASE:BC-MER-004,22_ai_business_cases.csv,BC-MER-004,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-008,implements,AIUseCase,AI_USE_CASE:BC-MER-005,22_ai_business_cases.csv,BC-MER-005,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-009,implements,AIUseCase,AI_USE_CASE:BC-MER-006,22_ai_business_cases.csv,BC-MER-006,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-010,implements,AIUseCase,AI_USE_CASE:BC-MER-007,22_ai_business_cases.csv,BC-MER-007,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-011,implements,AIUseCase,AI_USE_CASE:BC-MER-008,22_ai_business_cases.csv,BC-MER-008,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-012,implements,AIUseCase,AI_USE_CASE:BC-MER-009,22_ai_business_cases.csv,BC-MER-009,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-013,implements,AIUseCase,AI_USE_CASE:BC-MER-010,22_ai_business_cases.csv,BC-MER-010,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-015,implements,AIUseCase,AI_USE_CASE:BC-MER-011,22_ai_business_cases.csv,BC-MER-011,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-016,implements,AIUseCase,AI_USE_CASE:BC-MER-012,22_ai_business_cases.csv,BC-MER-012,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-017,implements,AIUseCase,AI_USE_CASE:BC-MER-013,22_ai_business_cases.csv,BC-MER-013,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-019,implements,AIUseCase,AI_USE_CASE:BC-MER-014,22_ai_business_cases.csv,BC-MER-014,2026-08-24,synthetic_review_ready
meridian-health,Project,PROJECT:PRJ-MER-020,implements,AIUseCase,AI_USE_CASE:BC-MER-015,22_ai_business_cases.csv,BC-MER-015,2026-08-24,synthetic_review_ready
