tenant_key,canonical_evidence_id,evidence_id,related_object_type,related_object_id,evidence_type,evidence_name,owner_role,freshness_state,confidence,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,EVIDENCE:EVID-PRJ-001,EVID-PRJ-001,project,PRJ-MER-001,portfolio_record,Epic revenue cycle modernization portfolio approval record,VP Revenue Cycle,current,medium,26_evidence_register.csv,2,PMO / IT portfolio tracker,PRJ-MER-001,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-002,EVID-PRJ-002,project,PRJ-MER-002,portfolio_record,Cloud resilience and network modernization portfolio approval record,CTO,current,medium,26_evidence_register.csv,3,PMO / IT portfolio tracker,PRJ-MER-002,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-003,EVID-PRJ-003,project,PRJ-MER-003,portfolio_record,Enterprise identity and access modernization portfolio approval record,CISO,current,medium,26_evidence_register.csv,4,PMO / IT portfolio tracker,PRJ-MER-003,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-004,EVID-PRJ-004,project,PRJ-MER-004,portfolio_record,Enterprise AI platform foundation portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,5,PMO / IT portfolio tracker,PRJ-MER-004,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-005,EVID-PRJ-005,project,PRJ-MER-005,portfolio_record,Digital front door personalization portfolio approval record,Chief Digital Officer,current,medium,26_evidence_register.csv,6,PMO / IT portfolio tracker,PRJ-MER-005,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-006,EVID-PRJ-006,project,PRJ-MER-006,portfolio_record,ServiceNow operations AI rollout portfolio approval record,VP Enterprise Platforms,current,medium,26_evidence_register.csv,7,PMO / IT portfolio tracker,PRJ-MER-006,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-007,EVID-PRJ-007,project,PRJ-MER-007,portfolio_record,Epic ambulatory access optimization portfolio approval record,"President, Medical Group",current,medium,26_evidence_register.csv,8,PMO / IT portfolio tracker,PRJ-MER-007,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-008,EVID-PRJ-008,project,PRJ-MER-008,portfolio_record,Data quality and interoperability foundation portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,9,PMO / IT portfolio tracker,PRJ-MER-008,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-009,EVID-PRJ-009,project,PRJ-MER-009,portfolio_record,Contact center AI assist portfolio approval record,SVP Member Services,current,medium,26_evidence_register.csv,10,PMO / IT portfolio tracker,PRJ-MER-009,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-010,EVID-PRJ-010,project,PRJ-MER-010,portfolio_record,Workday finance close AI assistant portfolio approval record,VP Controller,current,medium,26_evidence_register.csv,11,PMO / IT portfolio tracker,PRJ-MER-010,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-011,EVID-PRJ-011,project,PRJ-MER-011,portfolio_record,Clinical documentation ambient pilot portfolio approval record,CMIO,current,medium,26_evidence_register.csv,12,PMO / IT portfolio tracker,PRJ-MER-011,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-012,EVID-PRJ-012,project,PRJ-MER-012,portfolio_record,Copilot secure productivity rollout portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,13,PMO / IT portfolio tracker,PRJ-MER-012,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-013,EVID-PRJ-013,project,PRJ-MER-013,portfolio_record,Prior authorization automation portfolio approval record,VP Claims Operations,current,medium,26_evidence_register.csv,14,PMO / IT portfolio tracker,PRJ-MER-013,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-014,EVID-PRJ-014,project,PRJ-MER-014,portfolio_record,Provider data quality remediation portfolio approval record,VP Provider Operations,current,medium,26_evidence_register.csv,15,PMO / IT portfolio tracker,PRJ-MER-014,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-015,EVID-PRJ-015,project,PRJ-MER-015,portfolio_record,Security operations automation portfolio approval record,CISO,current,medium,26_evidence_register.csv,16,PMO / IT portfolio tracker,PRJ-MER-015,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-016,EVID-PRJ-016,project,PRJ-MER-016,portfolio_record,ServiceNow knowledge article generation 1 portfolio approval record,VP Enterprise Platforms,current,medium,26_evidence_register.csv,17,PMO / IT portfolio tracker,PRJ-MER-016,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-017,EVID-PRJ-017,project,PRJ-MER-017,portfolio_record,claims intake document AI 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,18,PMO / IT portfolio tracker,PRJ-MER-017,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-018,EVID-PRJ-018,project,PRJ-MER-018,portfolio_record,population health analytics workspace 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,19,PMO / IT portfolio tracker,PRJ-MER-018,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-019,EVID-PRJ-019,project,PRJ-MER-019,portfolio_record,clinical documentation queue summarization 1 portfolio approval record,CMIO,current,medium,26_evidence_register.csv,20,PMO / IT portfolio tracker,PRJ-MER-019,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-020,EVID-PRJ-020,project,PRJ-MER-020,portfolio_record,model monitoring and prompt-risk controls 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,21,PMO / IT portfolio tracker,PRJ-MER-020,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-021,EVID-PRJ-021,project,PRJ-MER-021,portfolio_record,member identity resolution data product 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,22,PMO / IT portfolio tracker,PRJ-MER-021,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-022,EVID-PRJ-022,project,PRJ-MER-022,portfolio_record,member mobile next-best-action pilot 1 portfolio approval record,Chief Digital Officer,current,medium,26_evidence_register.csv,23,PMO / IT portfolio tracker,PRJ-MER-022,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-023,EVID-PRJ-023,project,PRJ-MER-023,portfolio_record,Microsoft 365 Copilot productivity wave 1 portfolio approval record,VP Corporate IT,current,medium,26_evidence_register.csv,24,PMO / IT portfolio tracker,PRJ-MER-023,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-024,EVID-PRJ-024,project,PRJ-MER-024,portfolio_record,finance planning analytics workspace 1 portfolio approval record,VP Controller,current,medium,26_evidence_register.csv,25,PMO / IT portfolio tracker,PRJ-MER-024,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-025,EVID-PRJ-025,project,PRJ-MER-025,portfolio_record,SOC alert summarization assistant 1 portfolio approval record,CISO,current,medium,26_evidence_register.csv,26,PMO / IT portfolio tracker,PRJ-MER-025,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-026,EVID-PRJ-026,project,PRJ-MER-026,portfolio_record,AI service management controls foundation 1 portfolio approval record,VP Enterprise Platforms,current,medium,26_evidence_register.csv,27,PMO / IT portfolio tracker,PRJ-MER-026,2026-08-24
meridian-health,EVIDENCE:EVID-PRJ-027,EVID-PRJ-027,project,PRJ-MER-027,portfolio_record,AI feature store governance uplift 1 portfolio approval record,Chief Data and AI Officer,current,medium,26_evidence_register.csv,28,PMO / IT portfolio tracker,PRJ-MER-027,2026-08-24
