tenant_key,canonical_ai_use_case_id,business_case_id,project_id,initiative_name,domain_key,business_value_type,primary_tool_or_platform,projected_annual_value_low_usd,projected_annual_value_high_usd,roi_low_multiple,roi_high_multiple,payback_months_target,success_metric,proof_needed,finance_status,readiness_score,confidence_level,gating_constraint,cost_to_build_low_usd,cost_to_build_high_usd,business_sponsor_role,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,AI_USE_CASE:BC-MER-001,BC-MER-001,PRJ-MER-004,Enterprise AI platform foundation,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,sponsor_claimed,42,low,baseline definition,14760000,20160000,Chief Data and AI Officer,22_ai_business_cases.csv,2,AI Portfolio and Business Case Tracker,BC-MER-001,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-002,BC-MER-002,PRJ-MER-005,Digital front door personalization,digital,Grow revenue,Digital front door AI decisioning,50055476,60740197,4,4.8,3,digital conversion lift,"Show conversion, retention, channel shift, and net financial impact against baseline.",finance_challenged,53,medium,data quality,9184000,12544000,Chief Digital Officer,22_ai_business_cases.csv,3,AI Portfolio and Business Case Tracker,BC-MER-002,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-003,BC-MER-003,PRJ-MER-006,ServiceNow operations AI rollout,apps,Reduce cost,ServiceNow Now Assist,51180318,65583033,4.4,5.6,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",cfo_approved_target,64,medium,workflow adoption,8528000,11648000,VP Enterprise Platforms,22_ai_business_cases.csv,4,AI Portfolio and Business Case Tracker,BC-MER-003,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-004,BC-MER-004,PRJ-MER-007,Epic ambulatory access optimization,clinical_epic,Create capacity,Epic clinical AI assist,47820856,64527782,4.8,6.5,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",not_submitted,75,high,control review,7298000,9968000,"President, Medical Group",22_ai_business_cases.csv,5,AI Portfolio and Business Case Tracker,BC-MER-004,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-005,BC-MER-005,PRJ-MER-008,Data quality and interoperability foundation,data_ai,Foundation,Enterprise AI platform,0,0,,,,downstream value cases enabled,Link this foundation to funded use cases that have measured outcomes.,finance_validated_actual,86,low,Finance value treatment,8036000,10976000,Chief Data and AI Officer,22_ai_business_cases.csv,6,AI Portfolio and Business Case Tracker,BC-MER-005,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-006,BC-MER-006,PRJ-MER-009,Contact center AI assist,digital,Reduce cost,Contact center agent assist,34548723,41923410,3.6,4.4,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",sponsor_claimed,48,medium,baseline definition,7052000,9632000,SVP Member Services,22_ai_business_cases.csv,7,AI Portfolio and Business Case Tracker,BC-MER-006,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-007,BC-MER-007,PRJ-MER-010,Workday finance close AI assistant,corporate_it,Reduce cost,Workday AI,28603129,36652370,4,5.1,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",finance_challenged,59,medium,data quality,5248000,7168000,VP Controller,22_ai_business_cases.csv,8,AI Portfolio and Business Case Tracker,BC-MER-007,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-008,BC-MER-008,PRJ-MER-011,Clinical documentation ambient pilot,clinical_epic,Create capacity,Epic clinical AI assist,35432528,47811407,4.4,5.9,3,clinical capacity released,"Show clinician time released, encounters supported, access improvement, and quality guardrails.",cfo_approved_target,70,high,workflow adoption,5904000,8064000,CMIO,22_ai_business_cases.csv,9,AI Portfolio and Business Case Tracker,BC-MER-008,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-009,BC-MER-009,PRJ-MER-012,Copilot secure productivity rollout,corporate_it,Reduce cost,Microsoft 365 Copilot,25791024,29543720,4.8,5.5,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",not_submitted,81,low,control review,3936000,5376000,VP Corporate IT,22_ai_business_cases.csv,10,AI Portfolio and Business Case Tracker,BC-MER-009,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-010,BC-MER-010,PRJ-MER-013,Prior authorization automation,apps,Reduce cost,Prior auth document AI,46018096,55841008,5.2,6.3,3,manual review hours avoided,"Show monthly hours avoided, work completed, error rate, and Finance-reviewed savings.",finance_validated_actual,43,medium,Finance value treatment,6478000,8848000,VP Claims Operations,22_ai_business_cases.csv,11,AI Portfolio and Business Case Tracker,BC-MER-010,2026-08-24
meridian-health,AI_USE_CASE:BC-MER-011,BC-MER-011,PRJ-MER-015,Security operations automation,security,Reduce cost,Security operations assistant,22898572,29342487,3.6,4.6,3,cost per resolved service case,"Show unit cost, handle time, containment, quality, and Finance-reviewed savings.",sponsor_claimed,54,medium,baseline definition,4674000,6384000,CISO,22_ai_business_cases.csv,12,AI Portfolio and Business Case Tracker,BC-MER-011,2026-08-24
