tenant_key,canonical_tool_id,tool_rollout_id,tool_name,vendor_name,domain_key,rollout_goal,linked_business_case_count,rollout_target_users,monthly_active_users,adoption_target_pct,adoption_actual_pct,rollout_stage,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,TOOL:TOOL-MER-000,TOOL-MER-000,Enterprise AI platform,Microsoft Azure / Databricks,data_ai,governed model build and serving foundation,14,520,281,54,54,pilot,23_ai_tool_rollout.csv,2,AI Portfolio and Business Case Tracker,TOOL-MER-000,2026-08-24
meridian-health,TOOL:TOOL-MER-001,TOOL-MER-001,ServiceNow Now Assist,ServiceNow,apps,case deflection and ticket resolution,5,5200,2756,61,53,funded,23_ai_tool_rollout.csv,3,Microsoft Entra ID and Microsoft 365 Admin Center,TOOL-MER-001,2026-08-24
meridian-health,TOOL:TOOL-MER-002,TOOL-MER-002,Microsoft 365 Copilot,Microsoft,corporate_it,knowledge worker productivity,2,8400,2688,48,32,scale,23_ai_tool_rollout.csv,4,AI Portfolio and Business Case Tracker,TOOL-MER-002,2026-08-24
meridian-health,TOOL:TOOL-MER-003,TOOL-MER-003,GitHub Copilot,Microsoft GitHub,data_ai,engineering productivity,0,1100,638,58,58,controlled_rollout,23_ai_tool_rollout.csv,5,AI Portfolio and Business Case Tracker,TOOL-MER-003,2026-08-24
meridian-health,TOOL:TOOL-MER-003A,TOOL-MER-003A,AI coding agents,OpenAI / Anthropic / Microsoft GitHub,architecture,product engineering throughput and build-vs-buy leverage,1,680,299,52,44,pilot,23_ai_tool_rollout.csv,6,AI Portfolio and Business Case Tracker,TOOL-MER-003A,2026-08-24
meridian-health,TOOL:TOOL-MER-004,TOOL-MER-004,Workday AI,Workday,corporate_it,finance and HR workflow assist,2,1400,378,43,27,funded,23_ai_tool_rollout.csv,7,AI Portfolio and Business Case Tracker,TOOL-MER-004,2026-08-24
meridian-health,TOOL:TOOL-MER-005,TOOL-MER-005,Epic clinical AI assist,Epic,clinical_epic,clinical workflow summarization,6,2600,962,37,37,scale,23_ai_tool_rollout.csv,8,AI Portfolio and Business Case Tracker,TOOL-MER-005,2026-08-24
meridian-health,TOOL:TOOL-MER-006,TOOL-MER-006,Databricks Mosaic AI,Databricks,data_ai,model serving and governed AI platform,0,420,193,54,46,controlled_rollout,23_ai_tool_rollout.csv,9,AI Portfolio and Business Case Tracker,TOOL-MER-006,2026-08-24
meridian-health,TOOL:TOOL-MER-007,TOOL-MER-007,Power BI Copilot,Microsoft,data_ai,self-service analytics assistance,0,2300,690,46,30,pilot,23_ai_tool_rollout.csv,10,AI Portfolio and Business Case Tracker,TOOL-MER-007,2026-08-24
meridian-health,TOOL:TOOL-MER-008,TOOL-MER-008,Contact center agent assist,Genesys,digital,member service call guidance,3,1800,936,52,52,funded,23_ai_tool_rollout.csv,11,AI Portfolio and Business Case Tracker,TOOL-MER-008,2026-08-24
meridian-health,TOOL:TOOL-MER-009,TOOL-MER-009,Prior auth document AI,Internal build,apps,authorization document triage,3,620,130,29,21,scale,23_ai_tool_rollout.csv,12,AI Portfolio and Business Case Tracker,TOOL-MER-009,2026-08-24
meridian-health,TOOL:TOOL-MER-010,TOOL-MER-010,Security operations assistant,Microsoft,security,SOC investigation summarization,3,260,65,41,25,controlled_rollout,23_ai_tool_rollout.csv,13,AI Portfolio and Business Case Tracker,TOOL-MER-010,2026-08-24
meridian-health,TOOL:TOOL-MER-011,TOOL-MER-011,Digital front door AI decisioning,Internal build,digital,personalized member navigation and offer selection,3,4100,1845,45,45,pilot,23_ai_tool_rollout.csv,14,AI Portfolio and Business Case Tracker,TOOL-MER-011,2026-08-24
