tenant_key,canonical_project_id,project_id,project_name,domain_key,domain_name,project_classification,is_ai_related,approved_budget_usd,projected_annual_value_low_usd,lifecycle_stage,committee_decision,sponsor_role,finance_partner_role,technology_owner_role,actual_spend_ytd_usd,forecast_spend_usd,start_date,target_go_live_date,realization_start_month,source_file,source_row,source_system,source_record_id,as_of_date
meridian-health,PROJECT:PRJ-MER-001,PRJ-MER-001,Epic revenue cycle modernization,clinical_epic,Clinical / Epic,clinical_epic,false,58000000,0,build,continue,VP Revenue Cycle,IT Finance Business Partner,CMIO,10440000,53940000,2026-01-01,2027-01-28,,21_it_project_portfolio.csv,2,PMO / IT portfolio tracker,PRJ-MER-001,2026-08-24
meridian-health,PROJECT:PRJ-MER-002,PRJ-MER-002,Cloud resilience and network modernization,infrastructure,Infrastructure & Cloud,infrastructure,false,46500000,0,build,continue,CTO,IT Finance Business Partner,CTO delegate,12090000,44872500,2026-02-01,2027-02-28,,21_it_project_portfolio.csv,3,PMO / IT portfolio tracker,PRJ-MER-002,2026-08-24
meridian-health,PROJECT:PRJ-MER-003,PRJ-MER-003,Enterprise identity and access modernization,security,Cybersecurity & Risk,security,false,39500000,0,build,fund,CISO,IT Finance Business Partner,CISO,13430000,39500000,2026-03-01,2027-03-28,,21_it_project_portfolio.csv,4,PMO / IT portfolio tracker,PRJ-MER-003,2026-08-24
meridian-health,PROJECT:PRJ-MER-004,PRJ-MER-004,Enterprise AI platform foundation,data_ai,Data & AI,platform_foundation,true,18000000,0,build,shape,Chief Data and AI Officer,IT Finance Business Partner,CTO delegate,7560000,18630000,2026-04-01,2027-04-28,,21_it_project_portfolio.csv,5,PMO / IT portfolio tracker,PRJ-MER-004,2026-08-24
meridian-health,PROJECT:PRJ-MER-005,PRJ-MER-005,Digital front door personalization,digital,Digital & Member Experience,ai_use_case,true,11200000,50055476,funded,fund,Chief Digital Officer,IT Finance Business Partner,CTO delegate,5600000,10416000,2026-05-01,2027-05-28,2027-09,21_it_project_portfolio.csv,6,PMO / IT portfolio tracker,PRJ-MER-005,2026-08-24
meridian-health,PROJECT:PRJ-MER-006,PRJ-MER-006,ServiceNow operations AI rollout,apps,Enterprise Applications,ai_enabled_tool_rollout,true,10400000,51180318,funded,fund,VP Enterprise Platforms,IT Finance Business Partner,CTO delegate,1872000,10036000,2026-06-01,2027-06-28,2027-01,21_it_project_portfolio.csv,7,PMO / IT portfolio tracker,PRJ-MER-006,2026-08-24
meridian-health,PROJECT:PRJ-MER-007,PRJ-MER-007,Epic ambulatory access optimization,clinical_epic,Clinical / Epic,ai_assisted_automation,true,8900000,47820856,funded,challenge,"President, Medical Group",IT Finance Business Partner,CMIO,2314000,8900000,2026-01-01,2027-07-28,2027-02,21_it_project_portfolio.csv,8,PMO / IT portfolio tracker,PRJ-MER-007,2026-08-24
meridian-health,PROJECT:PRJ-MER-008,PRJ-MER-008,Data quality and interoperability foundation,data_ai,Data & AI,data_readiness,true,9800000,0,funded,shape,Chief Data and AI Officer,IT Finance Business Partner,CTO delegate,3332000,10143000,2026-02-01,2027-08-28,,21_it_project_portfolio.csv,9,PMO / IT portfolio tracker,PRJ-MER-008,2026-08-24
meridian-health,PROJECT:PRJ-MER-009,PRJ-MER-009,Contact center AI assist,digital,Digital & Member Experience,ai_use_case,true,8600000,34548723,funded,fund,SVP Member Services,IT Finance Business Partner,CTO delegate,3612000,7998000,2026-03-01,2027-09-28,2027-04,21_it_project_portfolio.csv,10,PMO / IT portfolio tracker,PRJ-MER-009,2026-08-24
meridian-health,PROJECT:PRJ-MER-010,PRJ-MER-010,Workday finance close AI assistant,corporate_it,Corporate IT,ai_enabled_tool_rollout,true,6400000,28603129,funded,challenge,VP Controller,IT Finance Business Partner,CTO delegate,3200000,6176000,2026-04-01,2027-01-28,2027-05,21_it_project_portfolio.csv,11,PMO / IT portfolio tracker,PRJ-MER-010,2026-08-24
meridian-health,PROJECT:PRJ-MER-011,PRJ-MER-011,Clinical documentation ambient pilot,clinical_epic,Clinical / Epic,ai_use_case,true,7200000,35432528,business_case,fund,CMIO,IT Finance Business Partner,CMIO,1296000,7200000,2026-05-01,2027-02-28,2027-06,21_it_project_portfolio.csv,12,PMO / IT portfolio tracker,PRJ-MER-011,2026-08-24
