layer_order,layer_name,source_rows,accepted_rows,rejected_rows,candidate_rows,active_rows,entity_profiles,relationship_edges,evidence_refs,context_gaps,confidence_score_or_distribution,module_context_items,unresolved_gaps,sample_trace_ids,notes
1,Source Templates / Core Dimensions,1176,1176,0,1176,1176,0,0,0,309,high=29; medium=985; low=7,1176,309,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Active Meridian consolidated CSV inputs under tenant-inputs/active/meridian-health/current.
2,Source Adapters,249,6,0,6,0,0,0,6,0,high=0; medium=6; low=0,6,0,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Generated Meridian source adapter workbooks are synthetic extract templates; do not treat as active source-system truth.
3,Evidence Registry,40,40,0,40,20,0,0,40,25,high=40; medium=0; low=0,40,25,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Evidence manifest is source-backed but synthetic/candidate review only unless promoted.
4,Canonical Facts,1173,1173,0,1173,1176,0,0,40,432,high=0; medium=0; low=0,140,432,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Workbook stats from tenant_generation_manifest; no database rebuild or promotion performed.
5,Entity Profiles,268,268,0,268,0,268,0,0,0,high=0; medium=268; low=0,268,0,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Profile proxies derived from relationship-graph nodes.
6,Relationship Graph,360,360,0,360,0,268,360,360,252,high=0; medium=360; low=0,360,252,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Generated graph is useful for demo orientation; semantic risks remain candidate-only unless validated.
7,Context Gaps,741,741,0,432,309,0,0,40,741,high=0; medium=741; low=0,741,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,"Gaps are explicit caveats, validation asks, and non-production-readiness markers."
8,Context Confidence,1576,1576,0,400,1176,268,360,40,741,high=69; medium=1345; low=7,400,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,"Confidence distribution uses confidence fields present in active CSVs, evidence manifest, and generated graph."
9,Knowledge/Home Context Pack,1176,1176,0,40,1176,268,360,40,741,high=69; medium=985; low=7,1216,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Knowledge/Home Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
10,Moves Agent Assist Context Pack,1176,1176,0,40,1176,268,360,40,741,high=69; medium=985; low=7,1216,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Moves Agent Assist Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
11,Intelligence Agent Assist Context Pack,1176,1176,0,40,1176,268,360,40,741,high=69; medium=985; low=7,1216,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Intelligence Agent Assist Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
12,Source Context Pack,1176,1176,0,40,1176,268,360,40,741,high=69; medium=985; low=7,1216,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Source Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
13,Tower Context Pack,1176,1176,0,40,1176,268,360,40,741,high=69; medium=985; low=7,1216,741,MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview | MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop | MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,Tower Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
