layer_name,source_rows,accepted_rows,rejected_rows,candidate_rows,active_rows,evidence_refs,canonical_facts,entity_profiles,relationship_edges,context_gaps,module_context_items,confidence_high,confidence_medium,confidence_low,unresolved_gaps,notes
Source Templates / Core Dimensions,1176,1176,0,1176,1176,0,1176,0,0,309,1176,29,985,7,309,Active Meridian consolidated CSV inputs under tenant-inputs/active/meridian-health/current.
Source Adapters,249,6,0,6,0,6,0,0,0,0,6,0,6,0,0,Generated Meridian source adapter workbooks are synthetic extract templates; do not treat as active source-system truth.
Evidence Registry,40,40,0,40,20,40,0,0,0,25,40,40,0,0,25,Evidence manifest is source-backed but synthetic/candidate review only unless promoted.
Canonical Facts,1173,1173,0,1173,1176,40,1173,0,0,432,140,0,0,0,432,Workbook stats from tenant_generation_manifest; no database rebuild or promotion performed.
Entity Profiles,268,268,0,268,0,0,0,268,0,0,268,0,268,0,0,Profile proxies derived from relationship-graph nodes.
Relationship Graph,360,360,0,360,0,360,0,268,360,252,360,0,360,0,252,Generated graph is useful for demo orientation; semantic risks remain candidate-only unless validated.
Context Gaps,741,741,0,432,309,40,0,0,0,741,741,0,741,0,741,"Gaps are explicit caveats, validation asks, and non-production-readiness markers."
Context Confidence,1576,1576,0,400,1176,40,1176,268,360,741,400,69,1345,7,741,"Confidence distribution uses confidence fields present in active CSVs, evidence manifest, and generated graph."
Knowledge/Home Context Pack,1176,1176,0,40,1176,40,1176,268,360,741,1216,69,985,7,741,Knowledge/Home Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
Moves Agent Assist Context Pack,1176,1176,0,40,1176,40,1176,268,360,741,1216,69,985,7,741,Moves Agent Assist Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
Intelligence Agent Assist Context Pack,1176,1176,0,40,1176,40,1176,268,360,741,1216,69,985,7,741,Intelligence Agent Assist Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
Source Context Pack,1176,1176,0,40,1176,40,1176,268,360,741,1216,69,985,7,741,Source Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
Tower Context Pack,1176,1176,0,40,1176,40,1176,268,360,741,1216,69,985,7,741,Tower Context Pack can use active tenant inputs plus generated v3 candidate context; no candidate promotion performed.
