dimension,blank_client_ready_template_exists,template_has_field_instructions,filled_meridian_synthetic_example_exists,core_dimension_source_file_exists,required_enterprise_fields_exist,evidence_confidence_status_fields_exist,relationship_keys_exist,module_usage_notes_exist,active_row_count,generated_row_count,template_path,active_path,generated_path,recommended_action
00_enterprise_profile,yes,yes,yes,yes,yes,yes,yes,yes,2,1,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/00_enterprise_profile.csv,datasets/tenant-inputs/active/meridian-health/current/00_enterprise_profile.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/00_enterprise_profile.xlsx,Pass
01_business_functions,yes,yes,yes,yes,yes,yes,yes,yes,30,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/01_business_functions.csv,datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/01_business_functions.xlsx,Pass
02_org_ownership,yes,yes,yes,yes,yes,yes,yes,yes,57,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/02_org_ownership.csv,datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/02_org_ownership.xlsx,Pass
03_workforce_roles,yes,yes,yes,yes,yes,yes,yes,yes,26,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/03_workforce_roles.csv,datasets/tenant-inputs/active/meridian-health/current/03_workforce_roles.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/03_workforce_roles.xlsx,Pass
04_applications_systems,yes,yes,yes,yes,yes,yes,yes,yes,116,67,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/04_applications_systems.csv,datasets/tenant-inputs/active/meridian-health/current/04_applications_systems.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/04_applications_systems.xlsx,Pass
05_data_assets_integrations,yes,yes,yes,yes,yes,yes,yes,yes,147,80,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/05_data_assets_integrations.csv,datasets/tenant-inputs/active/meridian-health/current/05_data_assets_integrations.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/05_data_assets_integrations.xlsx,Pass
06_infrastructure_platforms,yes,yes,yes,yes,yes,yes,yes,yes,4,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/06_infrastructure_platforms.csv,datasets/tenant-inputs/active/meridian-health/current/06_infrastructure_platforms.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/06_infrastructure_platforms.xlsx,Pass
07_vendors_contracts,yes,yes,yes,yes,yes,yes,yes,yes,109,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/07_vendors_contracts.csv,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/07_vendors_contracts.xlsx,Pass
08_it_budget_spend_value,yes,yes,yes,yes,yes,yes,yes,yes,24,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/08_spend_value.csv,datasets/tenant-inputs/active/meridian-health/current/08_spend_value.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/08_it_budget_spend_value.xlsx,Pass
09_programs_initiatives,yes,yes,yes,yes,yes,yes,yes,yes,86,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/09_programs_initiatives.csv,datasets/tenant-inputs/active/meridian-health/current/09_programs_initiatives.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/09_programs_initiatives.xlsx,Pass
10_ai_automation_use_cases,yes,yes,yes,yes,yes,yes,yes,yes,63,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/10_ai_automation_use_cases.csv,datasets/tenant-inputs/active/meridian-health/current/10_ai_automation_use_cases.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/10_ai_automation_use_cases.xlsx,Pass
11_risks_controls,yes,yes,yes,yes,yes,yes,yes,yes,172,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/11_risks_controls.csv,datasets/tenant-inputs/active/meridian-health/current/11_risks_controls.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/11_risks_controls.xlsx,Pass
12_relationships,yes,yes,yes,yes,yes,yes,yes,yes,85,360,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/12_relationships.csv,datasets/tenant-inputs/active/meridian-health/current/12_relationships.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/12_relationships.xlsx,Pass
13_evidence_sources,yes,yes,yes,yes,yes,yes,yes,yes,4,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/13_evidence_sources.csv,datasets/tenant-inputs/active/meridian-health/current/13_evidence_sources.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/13_evidence_sources.xlsx,Pass
14_metrics_outcomes,yes,yes,yes,yes,yes,yes,yes,yes,116,40,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/14_metrics_outcomes.csv,datasets/tenant-inputs/active/meridian-health/current/14_metrics_outcomes.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/14_metrics_outcomes.xlsx,Pass
15_industry_context_patterns,yes,yes,yes,yes,yes,yes,yes,yes,108,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/15_industry_context_patterns.csv,datasets/tenant-inputs/active/meridian-health/current/15_industry_context_patterns.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/15_industry_context_patterns.xlsx,Pass
16_expert_lenses,yes,yes,yes,yes,yes,yes,yes,yes,15,20,datasets/tenant-inputs/templates/universal/standard-2026-07-v3/16_expert_lenses.csv,datasets/tenant-inputs/active/meridian-health/current/16_expert_lenses.csv,datasets/tenant-inputs/generated/meridian-health/standard-2026-07-v3/core-dimensions/16_expert_lenses.xlsx,Pass
