artifact_path,row_number,terms,classification,unsafe,recommended_action,evidence
datasets/tenant-inputs/active/meridian-health/current/00_enterprise_profile.csv,2,AWS; Databricks; lakehouse; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Meridian Health System | Healthcare | Integrated delivery network and health plan | not_provided | not_provided | Sacramento, CA | Sacramento, CA; Northern California service area; Central California service area; Nevada service area | Medium-to-large health organization with clinical delivery, health-plan operations, finance, and analytics modernization needs. | patients; members; providers; employer groups; clinical operations leaders; health-plan operations teams | Improve a"
datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,2,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,meridian-health | Enterprise Data and Analytics |  | CDAO | data intake; data product certification; dashboard modernization; analytics demand management |  |  |  |  |  |  | datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platf
datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,3,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Clinical Operations |  | CMO | clinical documentation; care management; longitudinal patient view |  |  |  |  |  |  | datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation e"
datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,5,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Quality and Provider Performance |  | VP Quality | measure logic; provider attribution; care gap analytics |  |  |  |  |  |  | datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security fou"
datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,7,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Contact Center and Member Experience |  | Chief Experience Officer | call handling; CRM case management; next-best-action workflows |  |  |  |  |  |  | datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform,"
datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv,8,AWS; Databricks; medallion; landing zone,target/future foundation,no,Keep target/foundation caveat visible,meridian-health | Technology Platform and Security |  | CDIO | AWS landing zone; Databricks foundation; network/security controls; interface operations |  |  |  |  |  |  | datasets/tenant-inputs/active/meridian-health/current/01_business_functions.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platfor
datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,2,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Enterprise Data and Analytics |  | CDAO |  | Owns evidence, priorities, and phase-gate facts for Enterprise Data and Analytics. |  | On-prem SQL Server reporting marts |  |  | datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loa"
datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,3,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Clinical Operations |  | CMO |  | Owns evidence, priorities, and phase-gate facts for Clinical Operations. |  | Epic Hyperspace; Epic Clarity; Epic Caboodle |  |  | datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No p"
datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,4,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Health Plan Operations |  | Health Plan COO |  | Owns evidence, priorities, and phase-gate facts for Health Plan Operations. |  | Claims administration platform |  |  | datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | "
datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv,5,AWS; Databricks; medallion,target/future foundation,no,Keep target/foundation caveat visible,"meridian-health | Quality and Provider Performance |  | VP Quality |  | Owns evidence, priorities, and phase-gate facts for Quality and Provider Performance. |  | not_loaded |  |  | datasets/tenant-inputs/active/meridian-health/current/02_org_ownership.csv | 2026-07-09 | medium | Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No pl"
