profile_type,count,source_dimensions_used,evidence_coverage_percent,relationship_coverage_percent,confidence_distribution,module_usage,sample_profile_ids,gaps
EnterpriseProfile,2,00_enterprise_profile,100,100,"{""high"":0,""medium"":2,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,EnterpriseProfile-1 | EnterpriseProfile-2,1
FunctionProfile,30,01_business_functions,100,100,"{""high"":0,""medium"":30,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,Enterprise Data and Analytics | Clinical Operations | Health Plan Operations | Quality and Provider Performance,5
OrgOwnerProfile,57,02_org_ownership,100,63,"{""high"":0,""medium"":57,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,OrgOwnerProfile-1 | OrgOwnerProfile-2 | OrgOwnerProfile-3 | OrgOwnerProfile-4,6
WorkforceRoleProfile,26,03_workforce_roles,100,100,"{""high"":0,""medium"":20,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,Analytics managed-services report maintainer | Net-new analytics delivery resource | Data steward / semantic owner | Clinical quality analyst,12
SystemProfile,116,04_applications_systems,100,31,"{""high"":0,""medium"":114,""low"":2}",Knowledge; Intelligence; Moves; Source; Tower,Epic Hyperspace | Epic Clarity | Epic Caboodle | On-prem SQL Server reporting marts,16
DataDomainProfile,147,05_data_assets_integrations,100,24,"{""high"":0,""medium"":111,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,DataDomainProfile-1 | DataDomainProfile-2 | DataDomainProfile-3 | DataDomainProfile-4,72
InfrastructureProfile,4,06_infrastructure_platforms,100,100,"{""high"":0,""medium"":0,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,InfrastructureProfile-1 | InfrastructureProfile-2 | InfrastructureProfile-3 | InfrastructureProfile-4,4
VendorProfile,109,07_vendors_contracts,100,33,"{""high"":0,""medium"":102,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,VendorProfile-1 | VendorProfile-2 | VendorProfile-3 | VendorProfile-4,14
ContractProfile,109,07_vendors_contracts,100,33,"{""high"":0,""medium"":102,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,ContractProfile-1 | ContractProfile-2 | ContractProfile-3 | ContractProfile-4,14
ProgramProfile,86,09_programs_initiatives,100,42,"{""high"":1,""medium"":85,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,ProgramProfile-1 | ProgramProfile-2 | ProgramProfile-3 | ProgramProfile-4,7
RiskProfile,172,11_risks_controls,100,21,"{""high"":0,""medium"":172,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,RiskProfile-1 | RiskProfile-2 | RiskProfile-3 | RiskProfile-4,32
MetricProfile,116,14_metrics_outcomes,100,31,"{""high"":0,""medium"":116,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower,Analytics maintenance share | Net-new analytics capacity share | Medallion certification status | Governance operating model status,12
UseCaseProfile,63,10_ai_automation_use_cases,100,57,"{""high"":20,""medium"":40,""low"":3}",Knowledge; Intelligence; Moves; Source; Tower,UseCaseProfile-1 | UseCaseProfile-2 | UseCaseProfile-3 | UseCaseProfile-4,3
ProcessProfile,10,18_operational_process_evidence,100,100,"{""high"":0,""medium"":0,""low"":0}",Knowledge; Intelligence; Moves; Source; Tower, |  |  | ,10
