artifact_path,artifact_type,standard_name,tenant_key,layer_or_usage,active_candidate_generated_or_legacy,loader_visible,module_visible,contains_legacy_name,contains_aws_or_databricks,recommended_action,evidence
datasets/tenant-inputs/active/apex-retail/current/00_enterprise_profile.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/02_org_ownership.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/03_workforce_roles.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/04_applications_systems.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/05_data_assets_integrations.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/06_infrastructure_platforms.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/07_vendors_contracts.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/08_spend_value.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/10_ai_automation_use_cases.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/11_risks_controls.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/12_relationships.csv,csv,,,code/path reference,legacy / must not load,no,no,yes,no,Historical/compatibility reference; keep out of active Meridian demo path,legacy term V4
datasets/tenant-inputs/active/apex-retail/current/13_evidence_sources.csv,csv,,,code/path reference,unknown / needs review,no,yes,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/14_metrics_outcomes.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/15_industry_context_patterns.csv,csv,,,code/path reference,legacy / must not load,no,no,yes,no,Historical/compatibility reference; keep out of active Meridian demo path,legacy term V4
datasets/tenant-inputs/active/apex-retail/current/16_expert_lenses.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/17_service_scope_managed_services.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/apex-retail/current/18_operational_process_evidence.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/00_enterprise_profile.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/01_business_functions.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/02_org_ownership.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/03_workforce_roles.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/04_applications_systems.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/05_data_assets_integrations.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/06_infrastructure_platforms.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/07_vendors_contracts.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/08_spend_value.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/09_programs_initiatives.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/10_ai_automation_use_cases.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/11_risks_controls.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/12_relationships.csv,csv,,,code/path reference,legacy / must not load,no,no,yes,no,Historical/compatibility reference; keep out of active Meridian demo path,legacy term V4
datasets/tenant-inputs/active/first-capital-financial/current/13_evidence_sources.csv,csv,,,code/path reference,unknown / needs review,no,yes,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/14_metrics_outcomes.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/15_industry_context_patterns.csv,csv,,,code/path reference,legacy / must not load,no,no,yes,no,Historical/compatibility reference; keep out of active Meridian demo path,legacy term V4
datasets/tenant-inputs/active/first-capital-financial/current/16_expert_lenses.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/17_service_scope_managed_services.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/first-capital-financial/current/18_operational_process_evidence.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/00_enterprise_profile.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/01_business_functions.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/02_org_ownership.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/03_workforce_roles.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/04_applications_systems.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/05_data_assets_integrations.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/06_infrastructure_platforms.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/07_vendors_contracts.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/08_spend_value.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/09_programs_initiatives.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/10_ai_automation_use_cases.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/11_risks_controls.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/12_relationships.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/13_evidence_sources.csv,csv,,,code/path reference,unknown / needs review,no,yes,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/14_metrics_outcomes.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/15_industry_context_patterns.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/16_expert_lenses.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/17_service_scope_managed_services.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-holdings/current/18_operational_process_evidence.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/00_enterprise_profile.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/01_business_functions.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/02_org_ownership.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/03_workforce_roles.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/04_applications_systems.csv,csv,,,code/path reference,unknown / needs review,no,no,no,yes,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/05_data_assets_integrations.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/06_infrastructure_platforms.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
datasets/tenant-inputs/active/lakeshore-industries/current/07_vendors_contracts.csv,csv,,,code/path reference,unknown / needs review,no,no,no,no,No action,no forbidden legacy term
