team_id,team_name,team_type,stack_focus,vp_owner
TEAM-MAINFRAME-LEGACY,MAINFRAME LEGACY,subsystem,legacy core,VP Core Platforms
TEAM-SAP-CORE,SAP CORE,subsystem,legacy core,VP Enterprise Apps
TEAM-ORDER-LEGACY,ORDER LEGACY,subsystem,business platforms,VP Commerce
TEAM-STORE-TECH,STORE TECH,subsystem,business platforms,VP Store Tech
TEAM-COMMERCE,COMMERCE,stream,business platforms,VP Core Platforms
TEAM-ORDER-MODERN,ORDER MODERN,stream,business platforms,VP Enterprise Apps
TEAM-CHECKOUT-DTC,CHECKOUT DTC,stream,modern product and data,VP Commerce
TEAM-DTC-WEB,DTC WEB,stream,modern product and data,VP Store Tech
TEAM-MOBILE,MOBILE,stream,modern product and data,VP Core Platforms
TEAM-ML-COMMERCE,ML COMMERCE,stream,modern product and data,VP Enterprise Apps
TEAM-DEMAND-PLANNING,DEMAND PLANNING,platform,modern product and data,VP Commerce
TEAM-DATA-PLATFORM,DATA PLATFORM,platform,modern product and data,VP Store Tech
TEAM-PLATFORM-OBS,PLATFORM OBS,platform,modern product and data,VP Core Platforms
TEAM-HRIS,HRIS,platform,modern product and data,VP Enterprise Apps
