person_key,team_id,role_family,employment_type,level,location
ROLE-0001,TEAM-MAINFRAME-LEGACY,engineer,fte,L2,US
ROLE-0002,TEAM-SAP-CORE,architect,fte,L3,India
ROLE-0003,TEAM-ORDER-LEGACY,product,fte,L4,Nearshore
ROLE-0004,TEAM-STORE-TECH,scrum_master,fte,L5,Store field
ROLE-0005,TEAM-COMMERCE,qa,fte,L6,US
ROLE-0006,TEAM-ORDER-MODERN,security,fte,L2,India
ROLE-0007,TEAM-CHECKOUT-DTC,data,fte,L3,Nearshore
ROLE-0008,TEAM-DTC-WEB,ops,fte,L4,Store field
ROLE-0009,TEAM-MOBILE,si_consultant,SI/contractor,L5,US
ROLE-0010,TEAM-ML-COMMERCE,contractor,SI/contractor,L6,India
ROLE-0011,TEAM-DEMAND-PLANNING,engineer,fte,L2,Nearshore
ROLE-0012,TEAM-DATA-PLATFORM,architect,fte,L3,Store field
ROLE-0013,TEAM-PLATFORM-OBS,product,fte,L4,US
ROLE-0014,TEAM-HRIS,scrum_master,fte,L5,India
ROLE-0015,TEAM-MAINFRAME-LEGACY,qa,fte,L6,Nearshore
ROLE-0016,TEAM-SAP-CORE,security,fte,L2,Store field
ROLE-0017,TEAM-ORDER-LEGACY,data,fte,L3,US
ROLE-0018,TEAM-STORE-TECH,ops,fte,L4,India
ROLE-0019,TEAM-COMMERCE,si_consultant,SI/contractor,L5,Nearshore
ROLE-0020,TEAM-ORDER-MODERN,contractor,SI/contractor,L6,Store field
ROLE-0021,TEAM-CHECKOUT-DTC,engineer,fte,L2,US
ROLE-0022,TEAM-DTC-WEB,architect,fte,L3,India
ROLE-0023,TEAM-MOBILE,product,fte,L4,Nearshore
ROLE-0024,TEAM-ML-COMMERCE,scrum_master,fte,L5,Store field
ROLE-0025,TEAM-DEMAND-PLANNING,qa,fte,L6,US
ROLE-0026,TEAM-DATA-PLATFORM,security,fte,L2,India
ROLE-0027,TEAM-PLATFORM-OBS,data,fte,L3,Nearshore
ROLE-0028,TEAM-HRIS,ops,fte,L4,Store field
ROLE-0029,TEAM-MAINFRAME-LEGACY,si_consultant,SI/contractor,L5,US
ROLE-0030,TEAM-SAP-CORE,contractor,SI/contractor,L6,India
ROLE-0031,TEAM-ORDER-LEGACY,engineer,fte,L2,Nearshore
ROLE-0032,TEAM-STORE-TECH,architect,fte,L3,Store field
ROLE-0033,TEAM-COMMERCE,product,fte,L4,US
ROLE-0034,TEAM-ORDER-MODERN,scrum_master,fte,L5,India
ROLE-0035,TEAM-CHECKOUT-DTC,qa,fte,L6,Nearshore
ROLE-0036,TEAM-DTC-WEB,security,fte,L2,Store field
ROLE-0037,TEAM-MOBILE,data,fte,L3,US
ROLE-0038,TEAM-ML-COMMERCE,ops,fte,L4,India
ROLE-0039,TEAM-DEMAND-PLANNING,si_consultant,SI/contractor,L5,Nearshore
ROLE-0040,TEAM-DATA-PLATFORM,contractor,SI/contractor,L6,Store field
ROLE-0041,TEAM-PLATFORM-OBS,engineer,fte,L2,US
ROLE-0042,TEAM-HRIS,architect,fte,L3,India
ROLE-0043,TEAM-MAINFRAME-LEGACY,product,fte,L4,Nearshore
