business_event,owning_module,when_emitted,required_keys,why_it_matters,migration_use,status
source.artifact_accepted,Source,A Source artifact is accepted as usable evidence,tenant_key; source_event_id; artifact_id; stage_key; actor_id; accepted_at,Proves Source evidence moved from draft/upload into accepted use,Publication trigger and legacy dormancy proof,required_before_dual_run
source.stage_advanced,Source,A Source event advances stage,tenant_key; source_event_id; from_stage; to_stage; actor_id; advanced_at,Proves workflow state and stage gates are active,Dual-run stage parity,required_before_dual_run
source.decision_published,Source,A sourcing decision is published,tenant_key; source_event_id; decision_id; selected_vendor_id; evidence_refs; published_at,Proves accepted decisions are ready to link to canonical Knowledge,Canonical promotion trigger,required_before_dual_run
moves.gate_approved,Moves,A phase/gate approval is completed,tenant_key; move_id; phase; gate_id; approver_id; approved_at; evidence_refs,Proves decision authority and phase control,Moves deliverable truth convergence,required_before_dual_run
moves.deliverable_signed_off,Moves,A deliverable is signed off,tenant_key; move_id; phase; artifact_id; version; signer_id; signed_at,Proves which deliverable path is authoritative,Deliverable path sunset evidence,required_before_dual_run
moves.program_published,Moves,A Move/program is published for cross-module use,tenant_key; move_id; program_id; published_at; evidence_refs,Proves approved program object can promote/link,Canonical program publication,required_before_dual_run
tower.metric_attested,Tower,A metric observation is attested,tenant_key; metric_key; period; value; unit; attester_id; evidence_refs,Separates observed value from definition and narrative,Metric observation publication,required_before_dual_run
tower.decision_recorded,Tower,A Tower decision/action is recorded,tenant_key; decision_id; metric_refs; actor_id; recorded_at,"Proves Tower is recording business decisions, not just page visits",Cross-module decision linking,required_before_dual_run
tower.lineage_blocked,Tower,A metric or answer is blocked by lineage validation,tenant_key; metric_key; period; blocker_code; source_refs; blocked_at,Turns advisory lineage into enforceable control,Cutover stop condition proof,required_before_dual_run
module.object_published,Cross-module,Any module publishes an enterprise-significant object,tenant_key; module; local_object_type; local_object_ref; canonical_object_type; event_time,Common publication heartbeat for migration,Identity-map and outbox monitoring,required_before_dual_run
module.identity_link_reviewed,Cross-module,A local-to-canonical identity link is reviewed,tenant_key; module; local_object_ref; canonical_object_ref; reviewer_id; review_state,Proves identity links are governed,Canonical read cutover proof,required_before_dual_run
metric.definition_published,Cross-module,A shared metric definition is published,tenant_key; metric_key; formula_version; owner; published_at,Prevents duplicated metric logic,Shared metric cutover,required_before_dual_run
metric.observation_attested,Cross-module,A metric observation is attested for consumption,tenant_key; metric_key; period; value; unit; evidence_refs; attester_id,Proves the value is safe for dashboards/aVa,Shared consumption projection refresh,required_before_dual_run
