module,schema_table,provisional_canonical_object_family,mapping_confidence,current_authority,identity_map_required,publication_trigger,required_evidence,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,status
Source,public.evidence,knowledge.evidence,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_type; confidence_level; evidence_payload,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.home_knowledge_evidence_sources,knowledge.evidence,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; source_name; source_date; source_owner; source_status; lineage; source_payload,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_artifact_chunks,knowledge.evidence_chunk,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,artifact_id; source_event_id; provenance; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_artifact_facts,knowledge.fact,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,artifact_id; source_event_id; provenance; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_evidence_manifests,knowledge.evidence_manifest,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; source_artifact_id; evidence_pack_name; source_type,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_evidence_metrics,knowledge.metric_observation,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; evidence_family; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_evidence_rows,knowledge.evidence_fragment_or_contract_fact_assertion,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; source_artifact_id; evidence_family; source_sheet; source_row_number; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_optimization_findings,knowledge.contract_finding,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; confidence; evidence_refs,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_optimization_levers,knowledge.value_driver_or_commercial_lever,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_contract_optimization_profiles,knowledge.contract_profile,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; source_type; evidence_artifact_ids; evidence_refs,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_event_facts,knowledge.fact,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; source_method; source_citation; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_meeting_outcomes,to_be_mapped_after_live_profile,unresolved,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,artifact_id; source_event_id; provenance; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_value_chain,knowledge.value_flow_step,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_value_levers,knowledge.value_driver_or_lever,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; confidence; evidence_refs; insufficient_evidence; missing_evidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_value_lines,to_be_mapped_after_live_profile,unresolved,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,evidence_artifact_id,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_value_states,knowledge.value_state_or_readiness,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; evidence_ledger_ids,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_vendor_commitments,knowledge.commercial_commitment,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,artifact_id; source_event_id; provenance; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.source_vendor_proposal_facts,knowledge.proposal_fact_assertion,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_event_id; proposal_artifact_id; source_quote; source_pointer; confidence,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Source,public.vendor_contracts,knowledge.contract,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,No parsed lineage fields; inspect write path before promotion,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.measures,knowledge.metric_definition,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,artifact_default,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,cio_tower.tool_identity_aliases,to_be_mapped_after_live_profile,unresolved,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_actions,knowledge.action_or_decision,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_agent_outcomes,knowledge.outcome,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_benefit_realization,knowledge.metric_observation,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,source_id; confidence; evidence_state,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_context_facts,knowledge.fact_assertion,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,confidence; evidence_state; evidence_keys,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
Tower,public.ai_control_context_relationships,knowledge.relationship_assertion,provisional,Candidate/domain-derived; not canonical until promoted,governance.object_identity_map,accepted/reviewed/published row state plus tenant and lineage validation,No parsed lineage fields; inspect write path before promotion,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Healthcare publication/consumption framework certified first,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,candidate_not_authorized
